# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1552864860.5993423} 
r,l,t
-27.159517,150,9.746676
-29.483573,150,10.316366
-13.020922,150,10.849991
-20.710434,150,11.4308
-30.451631,150,12.074343
-34.740829,150,12.731127
-11.383076,150,13.375113
-22.353766,150,14.008838
-2.62066,150,14.626341
3.390247,150,15.248667
-20.798894,150,15.887725
-30.31092,150,16.532385
-35.783188,150,17.164398
4.25884,150,18.773587
-24.078737,150,19.395689
-25.364327,150,20.005853
-16.485127,150,20.621956
-16.126619,150,21.265954
-16.901094,150,21.881729
-32.597211,150,22.516148
-29.606884,150,23.127781
-16.57987,150,23.749391
-3.625674,150,24.376559
-25.703967,150,25.001837
-9.702526,150,25.635177
-21.004454,150,26.273296
-15.782133,150,26.908645
-27.808302,150,27.749522
-3.671661,150,28.370309
-6.914365,150,28.997035
-32.301995,150,29.615528
-24.812689,150,30.24171
-21.960394,150,30.851593
-36.473251,150,31.46752
-4.779162,150,32.09018
-23.601037,150,32.7036
-0.600022,150,33.319318
-28.727497,150,33.928937
-37.039845,150,34.554786
-2.458722,150,35.175845
-11.679952,150,35.999367
-12.146056,150,36.624027
-5.368887,150,37.233815
-4.66332,150,37.858906
-31.987877,150,38.468976
-16.083723,150,39.124758
-23.043289,150,39.773728
-14.90646,150,40.413405
-23.976828,150,41.079905
-11.985711,150,41.728246
-22.218186,150,42.395933
-22.176531,150,43.060382
5.241736,150,43.717505
-34.761545,150,44.379775
-10.383614,150,45.222826
-29.968077,150,45.86194
-7.077594,150,46.516472
-38.724661,150,47.186704
-29.525194,150,47.83665
-5.195754,150,48.49255
-3.563546,150,49.12372
0.357249,150,49.74013
-10.021506,150,50.370656
-6.469167,150,50.998982
5.550674,150,51.630108
-20.871894,150,52.253846
-18.365922,150,52.874242
-27.753921,150,53.490448
-20.170354,150,54.327348
-6.12993,150,54.930732
-12.009159,150,55.548116
-21.17403,150,56.177567
-31.924239,150,56.812647
-14.275587,150,57.430296
5.299578,150,58.064996
-24.76293,150,58.716968
-9.753546,150,59.3396
-8.892042,150,59.982691
-21.719834,150,60.608394
-27.457663,150,61.243907
1.097465,150,61.876544
14.484782,150,62.685903
-13.614592,150,63.323623
-35.325534,150,63.94388
-9.196732,150,64.587956
-31.79586,150,65.1961
-11.96899,150,65.80015
-8.073374,150,66.444314
-23.449596,150,67.07258
-28.456912,150,67.701653
-13.753709,150,68.355019
-12.232034,150,68.982563
4.522209,150,69.617955
-21.347831,150,70.256697
-17.985414,150,70.877468
-22.264874,150,71.680256
-1.242461,150,72.335556
-27.255607,150,72.971305
-25.401472,150,73.62469
-20.871961,150,74.245917
-31.180882,150,74.878058
-8.268162,150,75.517528
-10.906459,150,76.135946
-17.03052,150,76.762613
1.978715,150,77.394501
-15.118969,150,78.035445
0.136615,150,78.657577
-11.393616,150,79.288669
-1.565591,150,79.908072
-0.846703,150,80.719737
-14.259688,150,81.342882
-13.504304,150,81.984093
-0.7088,150,82.621355
-3.283526,150,83.250731
-0.450763,150,83.889781
-21.409748,150,84.522389
-7.509485,150,85.179867
-9.308496,150,85.818088
-18.933283,150,86.459693
-17.900623,150,87.090761
-3.648042,150,87.743991
-24.278703,150,88.36403
-11.955532,150,89.154102
-13.636741,150,89.786407
-3.505949,150,90.397825
-29.787129,150,90.998322
-12.223942,150,91.627357
-23.784964,150,92.259548
-17.090335,150,92.891728
-1.431054,150,93.49496
-21.31334,150,94.111323
-15.672415,150,94.714555
-4.276316,150,95.3392
-5.931446,150,95.9604
-31.21192,150,96.580208
-15.63378,150,97.210706
-7.153257,150,98.026167
-2.005346,150,98.642823
-12.597955,150,99.262515
-19.564979,150,99.900492
-31.178739,150,100.544272
-19.572887,150,101.16883
1.960757,150,101.798618
1.404397,150,102.441438
-20.866073,150,103.086626
-14.975699,150,103.71634
-42.184893,150,104.344149
-4.264956,150,104.964481
-16.17221,150,105.580492
-0.522855,150,106.198587
0.110447,150,107.015516
0.496549,150,107.633481
-20.599306,150,108.277677
-10.86739,150,108.913098
-22.351191,150,109.537159
-36.613338,150,110.162118
-31.078532,150,110.796053
-4.739552,150,111.421726
-5.861858,150,112.047117
-5.551135,150,112.672802
-13.741761,150,113.290994
-27.755308,150,113.921572
-17.998509,150,114.565434
-16.973394,150,115.372661
-1.885591,150,116.002548
-1.108037,150,116.624962
12.197578,150,117.259996
-11.329551,150,117.883616
-12.615353,150,118.49926
-3.318109,150,119.122591
-15.519085,150,119.759552
-32.712196,150,120.378225
10.060133,150,121.004474
-22.051397,150,121.627748
-4.096142,150,122.256832
-4.122893,150,122.900985
-17.657528,150,123.519631
1.743554,150,124.332377
-2.961106,150,124.957383
0.0202,150,125.589651
-8.176565,150,126.212596
-31.144994,150,126.851354
-6.506583,150,127.48167
-4.151281,150,128.107253
-24.453081,150,128.75961
-17.261429,150,129.381712
-18.035139,150,130.011704
-24.040297,150,130.628615
-3.965725,150,131.244601
-11.682393,150,131.87498
3.831932,150,132.506357
-27.017464,150,133.325785
-17.651924,150,133.966782
-13.950434,150,134.570292
-15.297559,150,135.199977
-3.054573,150,135.843779
-3.343688,150,136.458748
-1.735198,150,137.088799
-33.608672,150,137.716742
-25.505862,150,138.342522
5.841137,150,138.991063
-26.893072,150,139.626066
5.865763,150,140.266196
-14.314917,150,140.8866
-11.162121,150,141.688868
-13.991098,150,142.308659
5.252473,150,142.933151
-13.25919,150,143.552843
-17.621885,150,144.178552
-32.402993,150,144.808989
-14.75959,150,145.428763
-20.069504,150,146.056264
4.780239,150,146.692631
4.932707,150,147.33261
-19.219553,150,147.984322
-5.641451,150,148.598443
-12.508573,150,149.215307
-12.494931,150,149.836325
-6.167607,150,150.638425
-5.609723,150,151.251983
-8.827913,150,151.86111
-0.3726,150,152.488056
-28.19309,150,153.100647
6.520886,150,153.727162
8.442562,150,154.350547
-0.047052,150,154.978727
-0.241871,150,155.602505
-20.969624,150,156.23551
-10.870972,150,156.873488
1.678618,150,157.503417
-17.648799,150,158.122447
-18.539507,150,158.745856
-12.827609,150,159.568145
-7.940828,150,160.18754
-19.15114,150,160.831511
-25.153675,150,161.465452
-7.524077,150,162.106315
-5.305851,150,162.731022
-11.77105,150,163.367034
-5.640859,150,163.995692
-5.596627,150,164.626987
-22.660253,150,165.264965
-12.05447,150,165.884626
-9.51764,150,166.529134
-26.217044,150,167.148763
-14.045458,150,167.985199
-3.617444,150,168.613471
-1.1015,150,169.232202
1.230085,150,169.856205
-14.822433,150,170.481308
-24.063352,150,171.113226
-14.439668,150,171.731672
-18.289924,150,172.351567
-12.307956,150,172.975787
-11.406831,150,173.602289
5.082767,150,174.223796
0.079767,150,174.860093
0.414131,150,175.503244
