# {"t_start": 1552807428.7203348, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-23.164614,150,8.889998
-4.198437,150,9.69636
-13.505559,150,10.693931
-84.757076,150,11.699865
-38.317023,150,12.740868
10.936,150,13.836233
-27.156139,150,14.859663
-25.607902,150,15.867282
-20.296062,150,17.023858
-7.566321,150,18.223552
-16.942109,150,19.46318
-11.019701,150,20.684232
-10.948501,150,21.873368
-13.855988,150,24.113422
-20.865836,150,25.337878
-12.986837,150,26.480103
-19.600828,150,27.624074
-16.094872,150,28.799769
-51.413805,150,29.943604
-16.685248,150,31.074885
-21.140452,150,32.213008
-27.303103,150,33.361702
1.239255,150,34.57341
-20.629783,150,35.728374
-38.712179,150,36.829035
-22.441262,150,37.963728
-25.06725,150,39.101859
-27.748522,150,40.646658
-31.777205,150,41.782121
-32.007686,150,42.941137
-19.732487,150,44.086874
-40.236155,150,45.273562
-10.392771,150,46.3937
-20.590782,150,47.463007
-7.298586,150,48.588336
-44.833194,150,49.712223
-16.31003,150,50.862827
-31.822311,150,51.988777
-11.175731,150,53.103944
3.777253,150,54.279651
-47.207053,150,55.762687
14.958027,150,56.929401
-36.23923,150,58.08308
-15.364718,150,59.280305
-10.897339,150,60.491315
-18.112436,150,61.60972
-21.96072,150,62.799129
-26.669962,150,63.92656
-15.049725,150,65.074036
-22.244864,150,66.198909
0.406398,150,67.343811
-20.002788,150,68.529048
-23.02229,150,69.717525
-30.593157,150,70.921237
-15.195212,150,72.378144
-29.027588,150,73.55466
-11.159554,150,74.721663
-34.498881,150,75.922454
-35.632055,150,77.12863
-21.167552,150,78.305602
-43.897189,150,79.424178
-45.001199,150,80.596286
-26.735595,150,81.749434
-1.515585,150,82.875415
-19.905544,150,83.976195
-29.431256,150,85.096216
-20.42461,150,86.266957
-28.697985,150,87.484755
-30.715805,150,88.927264
-13.120394,150,90.053843
4.893783,150,91.239015
-5.940711,150,92.428926
-23.217366,150,93.582189
-9.019025,150,94.768163
-5.670182,150,96.021199
-17.909315,150,97.124994
-29.272293,150,98.225391
-23.857726,150,99.372269
-24.400816,150,100.662292
-35.466491,150,101.898371
-36.834772,150,103.19771
-41.997748,150,104.685749
11.331538,150,105.880349
-23.156193,150,107.016577
-27.058232,150,108.215692
-24.076994,150,109.381845
-3.647101,150,110.515244
-15.783288,150,111.667192
-39.360565,150,112.787625
-13.757611,150,113.983849
-17.051841,150,115.135652
-38.530004,150,116.364302
-11.920615,150,117.502549
-15.593912,150,118.67924
-14.039988,150,119.840937
-22.983758,150,121.360337
17.19645,150,122.543873
-16.874892,150,123.725146
-14.457416,150,124.849357
-31.154818,150,126.013066
-8.455799,150,127.172161
-15.016932,150,128.298725
-6.946333,150,129.482947
-14.634902,150,130.635381
-43.878892,150,131.812039
-13.353088,150,132.96911
-30.890881,150,134.115522
-30.673214,150,135.294227
-5.973315,150,136.459392
-28.107206,150,137.84498
-7.489076,150,139.012315
-11.552835,150,140.134772
-18.215912,150,141.28331
-23.023159,150,142.43594
-27.628589,150,143.63057
-29.618939,150,144.791342
-22.990522,150,145.944707
-9.745311,150,147.144596
-23.77285,150,148.282719
-28.276634,150,149.413334
-40.366401,150,150.582244
-28.749855,150,151.792727
-12.68189,150,153.275935
-23.539715,150,154.4529
-14.79833,150,155.618331
-20.923069,150,156.719779
-13.375192,150,157.879845
-4.984731,150,159.102134
-27.197509,150,160.264964
-20.127669,150,161.428724
-8.819954,150,162.629251
-3.442589,150,163.822719
-25.448276,150,165.051583
-44.143773,150,166.27601
-6.939298,150,167.496802
-34.481044,150,168.696781
-1.861972,150,170.162596
1.187638,150,171.341407
-28.865153,150,172.523257
-35.652639,150,173.645714
-0.32546,150,174.769383
-26.868711,150,175.94244
-19.031441,150,177.066167
-15.464874,150,178.285374
-20.140586,150,179.441411
0.115754,150,180.625541
0.585779,150,181.763461
-1.971815,150,182.937633
-27.399589,150,184.109363
-6.050085,150,185.242024
-9.043235,150,186.714814
-35.699581,150,187.917062
-30.9785,150,189.061422
-18.638196,150,190.201882
-15.36962,150,191.32515
-32.812463,150,192.448712
4.217301,150,193.632813
-18.365567,150,194.778683
-28.974017,150,195.907658
-9.741889,150,197.032984
-17.265476,150,198.161534
-0.54698,150,199.418591
-41.223473,150,200.584027
-14.716788,150,202.014956
-0.600796,150,203.179111
-46.873717,150,204.317044
-5.393439,150,205.43561
-34.994032,150,206.608168
11.35617,150,207.727388
-5.835412,150,208.885054
-25.709692,150,210.020532
-25.413311,150,211.16874
-12.213343,150,212.306833
-9.548083,150,213.526043
-8.513312,150,214.632907
-14.262888,150,215.783305
-21.382249,150,216.923328
-21.493877,150,218.385625
-0.265459,150,219.568919
-27.43625,150,220.643442
-29.079548,150,221.808299
-13.974737,150,222.971437
-0.938689,150,224.09738
-2.957223,150,225.278849
-8.084405,150,226.42213
-1.812771,150,227.530996
4.102507,150,228.697585
-14.532928,150,229.836318
-33.163706,150,230.975254
-24.183762,150,232.102497
-20.773049,150,233.247096
-23.761126,150,234.754214
-14.425754,150,235.893485
-19.262671,150,237.063209
-7.546696,150,238.204909
-20.947663,150,239.374759
-7.346656,150,240.504054
-15.94227,150,241.706405
-9.923945,150,242.858676
-15.685058,150,244.096001
-12.17938,150,245.252085
-7.353142,150,246.480045
-13.540847,150,247.648795
-4.507004,150,248.884129
-17.472449,150,250.324477
2.625842,150,251.524831
-4.998569,150,252.696602
-11.114489,150,253.852995
-17.76284,150,255.084583
-17.69992,150,256.216241
5.851718,150,257.339326
-22.022562,150,258.52919
-13.663291,150,259.719514
-16.590566,150,260.888351
-25.104764,150,262.090173
-18.605188,150,263.274488
-7.442942,150,264.492844
-8.183991,150,265.635495
-26.932194,150,267.067638
-7.581725,150,268.208283
-23.337281,150,269.392004
3.558592,150,270.551485
-23.704497,150,271.746218
-30.541323,150,272.916845
2.314196,150,274.083368
-16.016486,150,275.271821
-19.820454,150,276.417915
-5.759791,150,277.594074
-15.811664,150,278.765926
-9.669759,150,280.027575
-23.826015,150,281.175657
2.847085,150,282.345551
-19.439084,150,283.814782
4.238346,150,285.034657
-19.443128,150,286.181188
-26.721622,150,287.340212
-7.56888,150,288.509502
-15.561128,150,289.70837
-26.228876,150,290.864139
-4.936257,150,292.061548
-19.377419,150,293.246887
-18.781931,150,294.389366
-15.237884,150,295.581493
-11.379219,150,296.754097
-5.570067,150,297.86956
-6.181277,150,299.298833
-46.481156,150,300.531837
-1.831896,150,301.680746
-12.589043,150,302.839383
-0.119622,150,303.987555
-5.085402,150,305.197006
-24.832563,150,306.346569
4.29748,150,307.534315
-28.561036,150,308.718589
8.601538,150,309.877261
-1.61064,150,311.14766
-1.448687,150,312.300384
-5.924686,150,313.455548
-10.089704,150,314.633706
-38.197397,150,316.091504
-0.827901,150,317.249834
-10.252033,150,318.37723
-9.795343,150,319.57554
-10.663826,150,320.845508
-7.793895,150,322.037131
-2.01353,150,323.229985
2.784384,150,324.497529
-6.294839,150,325.72865
-13.973702,150,326.917104
-3.58378,150,328.079617
-20.613879,150,329.27215
-6.011787,150,330.526461
-16.434606,150,331.658271
1.144093,150,333.149693
-19.066784,150,334.349335
-7.614764,150,335.625487
-4.655524,150,336.765716
-31.969699,150,337.938787
-16.015317,150,339.08654
-16.303895,150,340.265116
-17.364532,150,341.453001
-21.534518,150,342.625964
-5.067382,150,343.732937
-10.845889,150,344.905984
-4.614692,150,346.0793
-13.212497,150,347.290381
-10.27761,150,348.778921
-11.214158,150,349.994607
-7.310167,150,351.217555
-11.933738,150,352.396396
7.915637,150,353.606623
-6.003811,150,354.761167
-13.680327,150,355.967906
-7.425482,150,357.172253
-32.864691,150,358.318183
-17.202539,150,359.455864
-13.965305,150,360.639143
4.214393,150,361.909127
-15.320463,150,363.064761
-48.411257,150,364.199022
-13.986433,150,365.696272
-15.305973,150,366.89738
-24.555586,150,368.034527
-3.409128,150,369.254307
-27.273574,150,370.428592
-19.647862,150,371.694091
7.098335,150,372.803186
-1.812105,150,373.98773
-15.77879,150,375.146356
-19.149836,150,376.334085
-17.748268,150,377.535957
-13.577819,150,378.710532
-9.605505,150,379.861224
-36.807409,150,381.020191
-25.84339,150,382.479024
-9.401452,150,383.635953
-0.261975,150,384.747028
-2.649417,150,385.886086
-26.887854,150,387.078928
-13.343819,150,388.255774
-8.179378,150,389.405851
-11.27809,150,390.547628
1.141815,150,391.699944
-22.027081,150,392.879247
-6.555963,150,394.041648
-26.877748,150,395.247442
-10.520083,150,396.449725
-9.893167,150,397.923996
-24.719068,150,399.13166
-4.771348,150,400.273791
6.031794,150,401.423394
-13.945541,150,402.627265
4.023472,150,403.832385
-25.604062,150,404.939994
-5.758287,150,406.156799
-8.669964,150,407.368106
-40.663594,150,408.555798
-15.458094,150,409.717727
-12.561202,150,410.907361
-9.591671,150,412.133048
-1.164561,150,413.33196
-0.979407,150,414.787722
-7.379555,150,415.941552
-1.495855,150,417.113061
-7.742595,150,418.339504
-11.292056,150,419.556124
-5.524425,150,420.702289
-16.844233,150,421.865979
-27.779146,150,423.081499
-18.455702,150,424.291717
-12.013569,150,425.447895
-11.683474,150,426.606106
-4.744083,150,427.798452
-14.933693,150,428.998647
-13.258603,150,430.488318
-15.913882,150,431.619355
-45.877228,150,432.805912
-33.389067,150,433.95018
-43.134585,150,435.163498
0.172264,150,436.290677
0.790285,150,437.439344
4.651971,150,438.676663
-5.356134,150,439.903296
-7.109059,150,441.097322
-6.492362,150,442.320986
-8.516284,150,443.527795
0.334849,150,444.713632
-18.827902,150,445.88589
-10.198847,150,447.33694
-26.639839,150,448.543658
-15.590156,150,449.759123
9.853702,150,450.911553
4.838055,150,452.111381
-36.070964,150,453.327864
-23.114754,150,454.466378
-6.043885,150,455.678392
-1.04919,150,456.815264
-8.391051,150,458.026963
-12.401849,150,459.190088
-4.698465,150,460.363177
-7.25729,150,461.584792
-1.872885,150,462.74862
-37.964934,150,464.162727
-16.22789,150,465.311694
-14.669893,150,466.463826
-24.015258,150,467.600978
-7.246062,150,468.80346
-12.350126,150,469.967031
-8.26424,150,471.211613
-14.092593,150,472.342298
-12.684711,150,473.480734
5.609524,150,474.656438
-3.825062,150,475.840142
-38.234401,150,476.966908
-23.939334,150,478.111499
-15.474674,150,479.583437
-14.13279,150,480.762287
-1.510679,150,481.960001
-8.628661,150,483.120328
-21.032108,150,484.308614
-4.399483,150,485.536445
-18.029461,150,486.727282
-13.331328,150,487.8641
-37.561506,150,489.0934
-2.769481,150,490.295115
-41.765372,150,491.490086
-21.333246,150,492.661326
8.323933,150,493.832863
-15.951683,150,495.002807
8.963074,150,496.428705
5.819948,150,497.610195
-15.115451,150,498.794588
-1.54139,150,499.990996
-8.473472,150,501.148786
-20.533113,150,502.367602
-2.469907,150,503.555281
-13.659921,150,504.802715
-15.739652,150,506.000476
-25.245473,150,507.212305
-16.718649,150,508.362633
-4.433321,150,509.532129
-22.201318,150,510.717744
7.828006,150,511.908697
-15.477927,150,513.328609
-19.791913,150,514.514145
-15.039022,150,515.65519
-13.659538,150,516.824044
-0.67993,150,517.959661
-15.84606,150,519.113538
2.195192,150,520.320079
-11.354999,150,521.479264
-16.889885,150,522.663556
-31.89621,150,523.871816
-7.202556,150,525.084441
-17.973253,150,526.216388
-29.82147,150,527.390108
-28.742574,150,528.802541
-15.826256,150,530.018523
-5.12722,150,531.173524
-21.428372,150,532.380216
-16.191799,150,533.556683
-12.775525,150,534.720825
-16.826792,150,535.918456
-3.63672,150,537.100804
-11.151961,150,538.329581
-27.544867,150,539.490202
8.452314,150,540.70071
-20.018604,150,541.796965
-1.702886,150,542.977478
-3.813784,150,544.145451
1.557332,150,545.599436
-18.623857,150,546.767522
3.47591,150,547.926284
-24.525604,150,549.077728
-24.027973,150,550.296134
-10.631568,150,551.446524
-1.615859,150,552.683702
-3.21462,150,553.909508
-2.406595,150,555.103481
-24.480945,150,556.255669
-7.895088,150,557.359003
-18.449262,150,558.520182
-4.075079,150,559.727746
-36.621302,150,560.990362
-14.880352,150,562.457824
-18.872326,150,563.638859
-9.043033,150,564.811366
-4.510633,150,566.02063
0.651264,150,567.218143
-18.903251,150,568.392618
-32.187844,150,569.545953
1.660241,150,570.83401
-16.878411,150,571.995556
-27.44223,150,573.185019
-32.952765,150,574.337564
-4.430144,150,575.525929
-12.903741,150,576.698662
-11.209729,150,578.133649
-26.223641,150,579.321076
-18.408199,150,580.526738
-32.989412,150,581.754227
-18.13388,150,582.901651
-29.862591,150,584.090414
-16.690594,150,585.315536
-17.552185,150,586.531331
-0.081207,150,587.738657
-7.646445,150,588.916808
-9.715657,150,590.124352
-21.974059,150,591.345726
-6.301083,150,592.532367
-17.529711,150,593.657415
-13.889739,150,595.061381
-8.290601,150,596.287227
-19.385032,150,597.486391
-3.105844,150,598.617024
-20.417553,150,599.759637
-17.518392,150,600.986945
-19.316607,150,602.166821
-30.751648,150,603.329369
-21.431671,150,604.539583
5.15681,150,605.691632
-16.756204,150,606.891904
-35.32374,150,608.014053
4.35777,150,609.201194
-25.813977,150,610.358215
-12.024694,150,611.861233
-19.470375,150,613.083538
-19.75704,150,614.214251
-30.063724,150,615.364031
-24.398833,150,616.605362
-8.28055,150,617.821482
-13.216245,150,618.96385
-12.999752,150,620.146504
-31.132613,150,621.318117
-43.209661,150,622.539578
-22.985571,150,623.713361
-31.632485,150,624.86981
8.215558,150,626.043543
-15.285406,150,627.498913
-28.281497,150,628.637242
-24.876068,150,629.844113
-17.453793,150,631.008946
-13.832416,150,632.16923
-15.287117,150,633.353453
-9.437476,150,634.533963
-7.527441,150,635.660655
-3.023176,150,636.796004
4.440447,150,637.949967
-22.444601,150,639.159789
-16.37522,150,640.383964
-0.380064,150,641.516828
-22.346713,150,642.712163
-7.558535,150,644.152191
1.650094,150,645.343449
-0.25764,150,646.489109
-10.535421,150,647.708031
-20.712138,150,648.878413
-14.419265,150,650.047936
-15.574851,150,651.215011
-10.200876,150,652.388557
-27.341192,150,653.650094
-7.548995,150,654.789238
-12.076475,150,655.941257
-16.049447,150,657.068883
-9.816193,150,658.326516
-32.335437,150,659.445166
-8.806564,150,660.860273
-13.997596,150,662.003282
-8.50008,150,663.202081
-5.733835,150,664.364045
-0.408209,150,665.57644
-11.936456,150,666.718302
-10.777499,150,667.876693
-23.921327,150,669.023489
-15.261231,150,670.189821
-15.910149,150,671.35791
-2.378733,150,672.532696
-18.7368,150,673.695389
-5.808078,150,674.865699
-8.813004,150,676.309238
-22.932037,150,677.395927
-16.291269,150,678.60044
-27.147106,150,679.713407
-17.101893,150,680.881676
-9.892108,150,681.998858
8.354974,150,683.157389
-16.662442,150,684.258847
-2.2659,150,685.432056
3.684498,150,686.59239
-6.46597,150,687.757224
-26.93575,150,688.9366
-4.633329,150,690.066878
0.46454,150,691.198485
-14.703015,150,692.65882
-7.873347,150,693.806755
-9.947531,150,694.962708
-15.468763,150,696.064031
-27.353981,150,697.243727
-20.400332,150,698.358019
2.683812,150,699.515382
-2.252965,150,700.665906
4.87705,150,701.781497
-18.876191,150,702.935567
-21.018699,150,704.10026
-6.447034,150,705.271379
-2.9637,150,706.445658
-8.470751,150,707.623295
-33.544962,150,709.121354
-6.427533,150,710.380077
-3.535454,150,711.473305
1.292061,150,712.625832
-34.998368,150,713.782424
-2.645673,150,714.980303
-3.266562,150,716.129014
-4.315515,150,717.291617
-2.918955,150,718.447266
-29.614993,150,719.655543
-26.285112,150,720.826847
-9.207888,150,721.970829
-0.526922,150,723.152741
-20.146124,150,724.633672
-22.430503,150,725.809098
3.546721,150,726.955863
-2.61807,150,728.09131
-2.860299,150,729.252671
-23.597061,150,730.415405
