# {"t_start": 1552695495.277269, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-30.090027,150,2.799263
-26.044773,150,3.579732
-37.102453,150,4.383058
-33.330312,150,5.162433
-21.068842,150,5.96489
-14.308275,150,6.768639
-23.04756,150,7.69949
-13.026635,150,8.662832
-12.935,150,9.648728
-62.073239,150,10.691154
-56.500993,150,11.639789
-9.323555,150,12.594886
-23.56011,150,13.564469
-0.484578,150,14.889885
-22.162189,150,15.866412
-14.813854,150,16.856975
-29.196846,150,18.016922
-32.25903,150,19.160508
-28.24741,150,20.294486
-17.446833,150,21.395062
-3.587936,150,22.557116
-22.966325,150,23.693941
-22.530937,150,24.822081
-23.523378,150,25.931607
-13.917344,150,27.021743
-10.62674,150,28.150152
-20.011987,150,29.269726
-21.162208,150,30.629858
-15.031293,150,31.753962
-43.090004,150,32.908601
-20.016123,150,34.036914
-30.017753,150,35.144407
-13.235439,150,36.251089
-14.166753,150,37.364707
-10.042976,150,38.518078
-24.116203,150,39.652727
-5.700034,150,40.755217
-12.332491,150,41.870294
-37.929901,150,42.962345
-6.626002,150,44.104994
-28.280225,150,45.488868
-29.372206,150,46.650211
-2.014372,150,47.765072
-27.981045,150,48.948152
-28.015679,150,50.078738
-37.101839,150,51.258044
-6.136214,150,52.431879
-32.705255,150,53.501884
2.200313,150,54.660616
-15.768345,150,55.79092
3.417731,150,56.949683
-19.899352,150,58.062784
-2.904711,150,59.251943
-12.68015,150,60.402179
-2.203218,150,61.78785
-20.118858,150,62.934479
-24.120854,150,64.049107
-33.723559,150,65.254716
-28.712114,150,66.356272
-18.036454,150,67.495495
-20.482568,150,68.6105
-8.124385,150,69.731086
-17.322561,150,70.815916
-12.730573,150,71.943848
-28.424715,150,73.088814
-24.843781,150,74.227777
-27.538928,150,75.392879
-23.986794,150,76.517854
4.152559,150,77.899527
-45.724529,150,78.991056
-21.438466,150,80.157068
-20.842555,150,81.268325
-36.924254,150,82.420964
-30.679012,150,83.561888
-22.889086,150,84.72962
-7.374586,150,85.850994
-12.776504,150,86.973876
-35.410908,150,88.121686
3.855786,150,89.215696
-10.046957,150,90.3904
-9.102698,150,91.523945
-17.18146,150,92.915367
-13.706892,150,94.042039
-30.559864,150,95.216927
-26.282733,150,96.339324
-14.050499,150,97.456596
-16.47106,150,98.584491
-42.582541,150,99.712446
-25.826691,150,100.838282
-13.900685,150,102.00786
-21.774833,150,103.120373
-14.192334,150,104.242934
-1.614808,150,105.352991
-10.295037,150,106.473113
-21.408966,150,107.594991
-17.752083,150,108.993253
1.466726,150,110.110992
-13.966441,150,111.246416
-38.866214,150,112.406163
-11.974896,150,113.583547
-38.331561,150,114.702875
-20.284701,150,115.837366
-20.203636,150,116.9573
-1.355454,150,118.043859
-11.185143,150,119.129643
-13.365751,150,120.305282
-19.891121,150,121.458856
3.836653,150,122.615382
-18.317742,150,123.720633
-20.525689,150,125.117698
2.503481,150,126.248005
-2.159427,150,127.333611
-22.380679,150,128.416302
-13.965506,150,129.522119
-29.694593,150,130.650291
-20.595321,150,131.819605
-33.622461,150,132.929236
-1.520569,150,134.078916
-30.964865,150,135.208452
-1.264143,150,136.385177
-16.235221,150,137.51339
-37.121819,150,138.646631
-25.736735,150,140.002472
-39.848867,150,141.096375
-25.927705,150,142.258619
-30.445684,150,143.377879
-14.937416,150,144.447446
-5.729717,150,145.546282
-39.382257,150,146.686891
-21.105486,150,147.819869
-21.262,150,148.927194
-19.178783,150,150.06846
-33.98245,150,151.21148
0.498501,150,152.359732
10.551593,150,153.475664
-4.698762,150,154.595657
-23.168933,150,155.985153
-22.422036,150,157.155885
-28.481153,150,158.263529
-3.594473,150,159.369433
-26.373892,150,160.509956
-30.410493,150,161.619936
-17.88559,150,162.721678
-12.895453,150,163.841313
13.201761,150,165.016119
-25.531343,150,166.142012
-13.188507,150,167.276016
-21.259361,150,168.381704
-20.270776,150,169.514384
-10.364343,150,170.605422
-21.088587,150,172.072504
-16.838618,150,173.228569
-24.8683,150,174.347924
-39.326079,150,175.465082
-21.663237,150,176.609603
-11.665802,150,177.736379
-13.53414,150,178.930185
-27.815744,150,180.031237
-11.590807,150,181.221734
-35.678338,150,182.361598
2.962405,150,183.538507
-25.091856,150,184.630863
-21.545834,150,185.773798
-8.767227,150,187.206452
-10.541976,150,188.34637
-22.048651,150,189.455129
-16.348012,150,190.578876
-51.642205,150,191.710831
-24.678813,150,192.813607
-32.136069,150,193.933423
-32.17464,150,195.053685
-12.906318,150,196.199003
-11.795347,150,197.330759
-25.962246,150,198.520391
-10.350013,150,199.67068
-5.11699,150,200.815459
-16.681329,150,201.934211
-32.075762,150,203.440806
-12.889467,150,204.560829
-24.783687,150,205.792867
5.435008,150,206.949383
-5.652637,150,208.047551
-5.312148,150,209.180857
-18.254787,150,210.336642
-30.858713,150,211.492208
-21.764729,150,212.738467
-7.902186,150,213.88353
-15.428079,150,215.017959
-15.175897,150,216.130092
2.461851,150,217.237635
-35.999332,150,218.410339
-43.377626,150,219.814032
-22.279104,150,220.917412
-16.146637,150,222.111327
-19.079144,150,223.28574
-43.334304,150,224.424186
-9.241748,150,225.64862
-21.14143,150,226.868364
-9.073452,150,227.958364
-17.287617,150,229.034797
-32.307885,150,230.167883
-8.735213,150,231.30072
-20.623614,150,232.472534
-37.376252,150,233.607514
-2.803104,150,235.008342
-15.725372,150,236.158251
-19.370201,150,237.302565
-33.880481,150,238.428935
-6.498379,150,239.527691
-4.51651,150,240.685923
-3.297113,150,241.750433
-15.55237,150,243.043135
-2.168361,150,244.448793
1.118501,150,245.787568
-30.206641,150,247.090367
-20.941078,150,248.394173
-14.057657,150,249.49572
-19.15,150,250.820226
-23.10828,150,252.299624
-27.137267,150,253.416641
-15.489037,150,254.544015
-12.19326,150,255.642878
16.365207,150,256.883742
-14.170355,150,258.211593
-16.007019,150,259.534736
-2.152642,150,260.829275
-5.780287,150,262.166361
7.159535,150,263.456946
-7.470376,150,264.81459
-24.509538,150,266.080878
-10.478101,150,267.210201
-23.650137,150,268.350791
-36.360974,150,269.937507
-4.709252,150,271.055929
-41.755301,150,272.196773
1.395684,150,273.346038
-14.551789,150,274.495086
-6.302546,150,275.582675
-6.22011,150,276.7321
-23.093136,150,277.860632
-28.663592,150,278.989622
-20.91979,150,280.102419
-24.268365,150,281.217005
1.21065,150,282.311596
-5.931275,150,283.503696
-15.820288,150,284.93737
-6.313533,150,286.117243
-0.009864,150,287.253555
-0.222542,150,288.397922
-25.305654,150,289.530196
-7.744107,150,290.636141
-29.27379,150,291.759858
-39.480676,150,292.912023
-8.84779,150,294.056255
5.234124,150,295.182454
-5.195467,150,296.290872
-20.868432,150,297.488967
-9.413982,150,298.642813
-31.486233,150,299.751341
-13.880546,150,301.156146
-6.188813,150,302.261491
-8.825005,150,303.395455
-14.870855,150,304.520946
-1.379716,150,305.668377
-15.58512,150,306.757818
-11.612466,150,307.876036
-30.930661,150,309.001951
-15.472996,150,310.097281
-23.972085,150,311.230259
-11.751819,150,312.373615
-17.505106,150,313.491509
6.188848,150,314.62136
-25.070531,150,315.759603
-44.548346,150,317.122741
-5.387147,150,318.270924
-15.179119,150,319.384478
-21.902625,150,320.511641
-25.627081,150,321.644365
11.092851,150,322.748081
2.00209,150,323.859355
-11.278754,150,324.992204
-17.982916,150,326.149553
-23.509218,150,327.285608
-12.680854,150,328.397623
10.873842,150,329.530478
-41.622766,150,330.637031
-12.615405,150,332.043673
-29.64675,150,333.144933
-3.599995,150,334.292574
-1.233247,150,335.401035
-23.157398,150,336.543706
-11.935035,150,337.69739
-2.111497,150,338.831838
-9.649607,150,339.93363
-28.106935,150,341.046008
-6.956832,150,342.188885
2.32744,150,343.279919
5.298711,150,344.377253
-24.676605,150,345.4464
-4.655041,150,346.580046
-4.234892,150,347.923203
-30.792265,150,349.059695
-7.076795,150,350.11194
-25.006259,150,351.249005
-34.739486,150,352.360981
-26.120946,150,353.504669
-24.896903,150,354.660369
-28.930148,150,355.804569
-10.010968,150,356.932366
-1.552472,150,358.028767
-12.07761,150,359.205813
-4.096507,150,360.341109
-1.445325,150,361.442828
-9.541141,150,362.567122
-17.546805,150,363.961237
1.122507,150,365.114663
-36.095474,150,366.232975
2.784001,150,367.371836
-14.200577,150,368.475468
-4.438482,150,369.603872
-24.005028,150,370.723997
0.735494,150,371.853273
-18.471847,150,372.943571
-29.079828,150,374.058264
1.34441,150,375.207346
-20.54103,150,376.345655
-11.343366,150,377.475165
-27.46185,150,378.862577
-19.911109,150,379.934136
-28.795945,150,381.040688
-10.806671,150,382.148299
-37.428429,150,383.292011
-18.542364,150,384.478253
-21.39706,150,385.627605
5.195531,150,386.74087
-20.567272,150,387.832152
0.718894,150,388.970234
-1.107053,150,390.117556
-15.298444,150,391.205872
-16.17054,150,392.288002
1.469815,150,393.406261
-32.688536,150,394.791443
-29.515837,150,395.926162
-7.44356,150,397.058869
-2.170692,150,398.236334
3.346051,150,399.359254
-30.69194,150,400.505255
-2.777606,150,401.609741
-6.570164,150,402.779786
-8.813843,150,403.921259
-11.890018,150,405.074277
-7.124985,150,406.187362
-0.663431,150,407.288031
-9.510309,150,408.41354
-24.67057,150,409.805554
-25.35358,150,410.915961
-15.385876,150,411.985484
-16.141156,150,413.096201
-12.031158,150,414.244855
-1.200095,150,415.386517
-1.544567,150,416.510175
-31.080148,150,417.647364
-22.918857,150,418.744952
-0.762062,150,419.879469
-12.785348,150,420.995085
-36.204636,150,422.103271
-17.097857,150,423.223883
-6.866562,150,424.321504
6.648448,150,425.703014
-5.048381,150,426.82191
-16.4185,150,427.945569
