approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0003775705,2.0345053e-05,150.0,-18.791993358974363,-0.0019303560256958008,2289,1,2.8360655,-0.0008798934,2048,5.367854833602905,12288,22.917522
0.0006762878,0.0,150.0,-12.508483140000001,0.0053375959396362305,1387,10,2.7834334,-0.0012074679,20480,81.5555009841919,122880,7.524696
0.000783675,6.1035156e-05,150.0,-10.206528850000002,0.014567255973815918,1369,20,2.6726751,-0.00035539764,40960,171.07837319374084,245760,3.3246567
0.004871768,0.013122558,150.0,-10.703678259999998,0.03563332557678223,1362,30,2.6047103,-0.0015232472,61440,260.99388313293457,368640,3.9496262
0.0007045211,0.000101725265,150.0,-9.39985724,0.05685234069824219,1378,40,2.5068984,-0.0005098175,81920,350.99222564697266,491520,3.1790748
0.00064690044,0.000101725265,150.0,-7.502250839999999,0.10324704647064209,1364,50,2.4229553,-0.0007369607,102400,440.36729311943054,614400,2.747519
0.0016166092,0.0015055339,150.0,-7.763604489999999,0.09339505434036255,1369,60,2.3630483,-0.00090802764,122880,530.3145787715912,737280,3.2027144
0.0011923533,0.00059000653,150.0,-8.366676439999999,0.15144503116607666,1359,70,2.2997522,-0.0008170722,143360,620.3477170467377,860160,3.2965178
0.002549098,0.007954915,150.0,-7.6570165900000005,0.2176804542541504,1367,80,2.2235796,-0.0014342096,163840,710.1482481956482,983040,3.0790427
0.0016633729,0.0029703774,150.0,-9.38314108,0.24260050058364868,1379,90,2.1570325,-0.0009149352,184320,799.9400281906128,1105920,3.739277
0.0042981096,0.014241536,150.0,-7.369888779999999,0.32868868112564087,1394,100,2.0875692,-0.0012384822,204800,889.273312330246,1228800,3.331973
0.0029718943,0.01159668,150.0,-7.526426029999999,0.4028472900390625,1368,110,2.0012727,-0.0021978165,225280,979.1886112689972,1351680,2.7589476
0.0020073096,0.0056762695,150.0,-4.631212059999999,0.42256104946136475,1385,120,1.9616497,-0.0013859454,245760,1068.7403299808502,1474560,3.043276
0.004973525,0.022989908,150.0,-6.1487830599999995,0.42634618282318115,1379,130,1.89816,-0.0017660969,266240,1158.2283773422241,1597440,3.0259824
0.0044392105,0.020833334,150.0,-5.45309031,0.5008220076560974,1394,140,1.834049,-0.0020173695,286720,1247.4751026630402,1720320,2.7560604
0.005932088,0.036376953,150.0,-0.32748104999999994,0.581475168466568,1383,150,1.7723607,-0.001696626,307200,1336.7326111793518,1843200,3.1038427
0.006484087,0.037109375,150.0,-1.1971927299999998,0.6380966603755951,1390,160,1.7289044,-0.0029987197,327680,1425.9658522605896,1966080,3.2899022
0.004326986,0.015014648,150.0,-1.2221729599999998,0.7200067341327667,1381,170,1.6688112,-0.001466895,348160,1514.8968179225922,2088960,2.3784096
0.0048934203,0.028157555,150.0,-1.7173456499999997,0.6501421630382538,1391,180,1.5991395,-0.0031983252,368640,1604.1277251243591,2211840,3.5776086
0.0016097842,0.0012410482,150.0,1.2326477699999998,0.7363377809524536,1378,190,1.541742,-0.0009848223,389120,1693.1566369533539,2334720,3.677228
0.0024777697,0.009806315,150.0,2.985615829999999,0.7433208525180817,1370,200,1.4918098,-0.0014308617,409600,1782.158804178238,2457600,3.5771751
0.0025984363,0.010782877,150.0,3.4863604400000003,0.8388492912054062,1363,210,1.4160038,-0.0017636631,430080,1871.4669637680054,2580480,3.0245385
0.002180427,0.008565267,150.0,5.450288380000001,0.8373717367649078,1370,220,1.3602979,-0.0014224675,450560,1960.3080322742462,2703360,2.6376393
0.004292826,0.020812988,150.0,9.12698556,0.8648280203342438,1380,230,1.2912257,-0.002118301,471040,2049.2912402153015,2826240,2.69028
0.0043277317,0.024332684,150.0,11.08408119,0.8924901410937309,1377,240,1.238185,-0.0007361445,491520,2138.5505945682526,2949120,2.106816
0.0020489013,0.0042928057,150.0,11.06638591,0.8923921808600426,1386,250,1.171486,-0.0010034865,512000,2228.0781869888306,3072000,1.733712
0.0028259906,0.012471518,150.0,10.09447028,0.908097580075264,1325,260,1.0866328,-0.00066268863,532480,2317.2803094387054,3194880,1.3683913
0.003119843,0.015482584,150.0,12.095173859999997,0.9035238772630692,1380,270,1.0098333,-0.0013739374,552960,2406.1407613754272,3317760,1.413284
0.0047079735,0.027974445,150.0,12.38531961,0.9226642325520515,1386,280,0.9189249,-0.0019860114,573440,2495.6374695301056,3440640,1.128551
0.0035787956,0.020650227,150.0,12.539432850000003,0.9254841282963753,1371,290,0.8296263,-0.0013199649,593920,2584.635684967041,3563520,1.101448
0.003074741,0.015563965,150.0,11.8175929,0.9206687584519386,1380,300,0.7721459,-0.001473289,614400,2673.867460489273,3686400,1.2117171
0.004014145,0.027791342,150.0,14.43679087,0.9410211145877838,1386,310,0.7004945,-0.002152218,634880,2762.9338784217834,3809280,0.94836277
0.0040343655,0.028930664,150.0,11.06854569,0.9388908967375755,1379,320,0.6048189,-0.0018895598,655360,2852.3195230960846,3932160,0.79554707
0.0029660258,0.017110188,150.0,14.53701257,0.9424344599246979,1397,330,0.53928745,-0.002423984,675840,2941.5056586265564,4055040,0.80013955
0.005216191,0.037272137,150.0,14.012819140000001,0.9508047550916672,1403,340,0.4517434,-0.00226523,696320,3030.1340794563293,4177920,0.7403679
0.0053151133,0.039978027,150.0,14.082839269999997,0.9588937908411026,1399,350,0.3587901,-0.0029320433,716800,3119.500947713852,4300800,0.7019834
0.0042793625,0.028706867,150.0,14.47856521,0.965315256267786,1405,360,0.284186,-0.0019318553,737280,3208.1851992607117,4423680,0.6232859
0.003951323,0.028828941,150.0,17.169104249999997,0.9637872576713562,1392,370,0.22825596,-0.0023024345,757760,3297.2625892162323,4546560,0.7222874
0.0046343217,0.03509521,150.0,14.34245012,0.9577726423740387,1387,380,0.16928187,-0.0030862577,778240,3386.3022191524506,4669440,0.68911684
0.0033587243,0.020284018,150.0,16.49107711,0.969956636428833,1386,390,0.11694563,-0.0017448717,798720,3475.8594629764557,4792320,0.5861997
0.0037684124,0.03245036,150.0,17.828557310000004,0.9608469866216183,1374,400,0.049755275,-0.0020163506,819200,3565.167944908142,4915200,0.76170206
0.00493156,0.043314617,150.0,16.829223119999998,0.9763101171702147,1382,410,-0.00399673,-0.0023452188,839680,3654.0671665668488,5038080,0.41056523
0.0029127623,0.017049154,150.0,17.371512590000002,0.9757932424545288,1377,420,-0.060365066,-0.0017974792,860160,3743.4662144184113,5160960,0.4594093
0.0040967194,0.033732098,150.0,17.01205125,0.9724461864680052,1375,430,-0.11045982,-0.0027289104,880640,3832.0289254188538,5283840,0.47615868
0.004074948,0.03153483,150.0,16.63451105,0.975904606282711,1371,440,-0.14466235,-0.002974583,901120,3921.144855260849,5406720,0.41328114
0.004191403,0.042297363,150.0,16.06538329,0.9774721004068851,1370,450,-0.20159517,-0.001996697,921600,4010.2293236255646,5529600,0.38496014
