# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1552881086.4358535} 
r,l,t
-47.085207,150,2.465258
-9.606848,150,3.111367
-10.566896,150,3.736879
-16.500331,150,4.361613
-6.912826,150,4.980037
-8.707432,150,5.606958
-9.850241,150,6.238015
-28.720115,150,6.867467
-1.793456,150,7.51244
-20.680834,150,8.161474
-19.349942,150,8.806442
-22.725064,150,9.465425
-37.625209,150,10.090004
-12.426703,150,11.020061
-27.130783,150,11.658855
-15.272395,150,12.318937
-17.726273,150,12.941105
-13.589839,150,13.582183
-10.805043,150,14.244101
-36.864948,150,14.856425
-23.369382,150,15.476356
-22.847624,150,16.127898
-10.099044,150,16.756392
-37.967911,150,17.365851
-23.605617,150,18.027748
-40.060493,150,18.637156
-5.145578,150,19.254823
-32.423582,150,20.062108
-18.48344,150,20.695092
-6.688768,150,21.324901
4.645297,150,21.945204
0.581308,150,22.585077
-19.652993,150,23.231815
-25.859638,150,23.85452
-39.171562,150,24.494515
-9.143617,150,25.107015
-21.598818,150,25.724571
-13.696643,150,26.342815
-22.695593,150,26.938223
-15.310981,150,27.562701
-6.306306,150,28.393116
-27.430968,150,29.015714
-15.731565,150,29.638872
-19.663828,150,30.269584
-29.039321,150,30.899647
13.9022,150,31.523584
-17.389042,150,32.148134
-12.51956,150,32.766989
-25.941491,150,33.418438
-29.164469,150,34.045068
-11.833126,150,34.644972
-0.643165,150,35.273063
-29.325188,150,35.911722
5.720892,150,36.550669
-1.330202,150,37.349338
-28.501298,150,38.019454
-25.962796,150,38.698081
4.988883,150,39.359747
1.909728,150,39.98389
-42.181036,150,40.596274
-8.741386,150,41.203201
-24.021734,150,41.832144
-8.003069,150,42.456527
5.167774,150,43.081997
-4.580406,150,43.711705
0.833002,150,44.332261
-15.539264,150,44.947433
-7.105325,150,45.581369
-15.43516,150,46.395642
-13.472467,150,47.040431
-11.644642,150,47.65513
-23.662075,150,48.270742
-4.925877,150,48.917451
-58.712017,150,49.552003
-12.713313,150,50.160268
-33.604731,150,50.77049
-18.339416,150,51.383578
-21.504806,150,51.997422
-11.451593,150,52.61084
-5.860417,150,53.220256
-26.759696,150,53.864418
-11.603894,150,54.68073
-32.800805,150,55.291281
-20.689256,150,55.912851
-8.422811,150,56.547774
-19.112756,150,57.167409
-9.284343,150,57.774059
-8.095282,150,58.389008
-17.312469,150,59.01282
-1.67923,150,59.634672
-23.637853,150,60.256685
-28.301374,150,60.898113
-15.450893,150,61.528346
-11.691594,150,62.163404
-14.640131,150,62.804086
-10.619123,150,63.634953
-12.939842,150,64.268444
-28.906485,150,64.898004
-16.430214,150,65.526865
-29.246901,150,66.146499
-3.907204,150,66.76529
-10.421742,150,67.386941
-31.384875,150,68.03527
-24.041221,150,68.694748
-15.26411,150,69.332356
-2.305336,150,69.951328
-11.477568,150,70.575919
-15.729528,150,71.191771
-9.20718,150,71.823177
-7.076085,150,72.62613
14.849995,150,73.259675
-12.067987,150,73.889827
-17.005763,150,74.520387
-28.959257,150,75.143045
-23.046301,150,75.777519
-7.458403,150,76.383564
-42.864859,150,77.014319
3.520479,150,77.642297
-20.302395,150,78.269185
-7.94795,150,78.926922
-14.121828,150,79.570953
-14.389116,150,80.201239
-17.562923,150,81.009174
-4.116463,150,81.63606
-11.658562,150,82.269583
0.932495,150,82.894458
-19.182316,150,83.496747
-13.16706,150,84.139755
-16.669405,150,84.769979
5.569478,150,85.388895
-0.286481,150,86.020205
-2.258827,150,86.656809
-19.171657,150,87.267897
-13.30969,150,87.889339
-14.186772,150,88.502445
13.449405,150,89.128228
-12.693666,150,89.971576
-30.695115,150,90.603531
-5.083914,150,91.228585
-36.956319,150,91.86436
-53.164996,150,92.481852
-15.54291,150,93.136667
-10.634307,150,93.776911
-7.802077,150,94.419131
-13.027167,150,95.044485
-13.195642,150,95.671221
-15.189963,150,96.298839
-1.767574,150,96.922199
-13.665154,150,97.553957
-3.553338,150,98.229301
-24.724212,150,99.041126
-37.396902,150,99.704152
-33.932555,150,100.310072
-32.344401,150,100.934771
2.712602,150,101.556523
-28.098833,150,102.173901
-10.103871,150,102.786766
-2.515648,150,103.410062
-32.613491,150,104.049769
-23.897582,150,104.71111
-15.866299,150,105.354495
-0.462093,150,106.004005
-0.997665,150,106.658702
-14.075567,150,107.525295
-19.650414,150,108.192734
-4.149731,150,108.816891
-2.071814,150,109.456261
-20.073878,150,110.109883
1.973995,150,110.731995
-37.244974,150,111.354177
-15.124586,150,111.967262
-8.29033,150,112.582074
-13.109397,150,113.215846
14.071895,150,113.832722
-10.425223,150,114.454729
-3.402472,150,115.105228
-21.819979,150,115.727484
1.245073,150,116.520374
-5.332418,150,117.14293
-11.167741,150,117.749071
-1.355446,150,118.379031
-21.142518,150,119.005456
-0.1073,150,119.634087
-20.64458,150,120.283391
-26.562472,150,120.921323
-22.785773,150,121.562741
-4.621991,150,122.186614
-18.676607,150,122.811944
-24.382739,150,123.460866
-16.660945,150,124.082283
1.442214,150,124.711347
-14.332561,150,125.529966
-4.866986,150,126.152721
-21.873545,150,126.773892
-5.773719,150,127.398502
-12.889881,150,128.065631
-15.871658,150,128.727419
-36.5254,150,129.352571
-15.040438,150,130.006275
-20.065888,150,130.63858
-34.067314,150,131.254194
-28.486697,150,131.881966
-12.124819,150,132.507494
-24.711608,150,133.111321
-14.618243,150,133.917127
-26.142239,150,134.54322
-25.258716,150,135.159497
-10.806359,150,135.837932
-24.725816,150,136.464133
-33.579041,150,137.09246
8.423908,150,137.712775
-17.555798,150,138.337797
-15.615997,150,138.962118
-13.21093,150,139.583768
-25.339311,150,140.215194
-13.888229,150,140.876489
-33.145159,150,141.509988
-0.22097,150,142.133014
-26.069944,150,142.934443
-35.62715,150,143.563599
-8.566712,150,144.193305
-15.382737,150,144.825407
-2.730215,150,145.442459
-18.123353,150,146.091602
-26.012607,150,146.715934
-14.310299,150,147.336838
3.199557,150,147.934462
-14.182082,150,148.566317
-0.284072,150,149.189256
-4.058216,150,149.783895
-2.055836,150,150.435936
-9.758215,150,151.109115
-15.079283,150,151.933682
-14.248741,150,152.58361
-22.431807,150,153.1974
-22.94324,150,153.847836
-5.68293,150,154.474798
-29.750759,150,155.141067
-13.744036,150,155.817115
-23.280856,150,156.4922
-11.043147,150,157.164768
-1.080029,150,157.831216
-22.1952,150,158.501584
-4.394948,150,159.230956
-24.626658,150,159.881903
0.91897,150,160.7004
1.203597,150,161.35957
-22.673168,150,161.989463
0.548898,150,162.594371
-15.094179,150,163.231108
-1.691001,150,163.856689
6.10856,150,164.482311
5.372693,150,165.120426
-1.130274,150,165.765701
-17.574603,150,166.425769
-0.735087,150,167.066603
-4.35835,150,167.712288
0.160321,150,168.345253
-15.357403,150,168.958956
-5.282243,150,169.752223
-7.39441,150,170.373782
4.636155,150,171.012424
-4.245195,150,171.655259
1.50708,150,172.261265
-7.400054,150,172.88687
-31.064078,150,173.520542
-24.746139,150,174.140303
-10.47719,150,174.774555
-7.621483,150,175.407598
-7.720686,150,176.028669
3.079639,150,176.677966
-4.490913,150,177.314613
-35.590589,150,177.94981
-13.368673,150,178.750148
-3.29967,150,179.380449
-28.320428,150,180.009638
-20.785686,150,180.630795
-19.015015,150,181.253093
-10.037772,150,181.914588
-9.212873,150,182.552595
1.666217,150,183.184734
-5.031219,150,183.809373
6.032776,150,184.437918
-4.626362,150,185.061009
-6.523683,150,185.691249
0.446772,150,186.33218
-22.641442,150,187.175143
-16.957422,150,187.793298
-10.390195,150,188.40854
-11.560161,150,189.069541
-19.728379,150,189.735076
-27.234925,150,190.369537
8.874223,150,190.995566
-10.220835,150,191.649201
1.555369,150,192.273861
-18.898139,150,192.884271
-7.376916,150,193.519852
-15.408133,150,194.14527
2.044833,150,194.770114
6.2686,150,195.398839
-1.290768,150,196.18197
-16.902477,150,196.840451
-7.536086,150,197.452738
-19.144384,150,198.076006
5.055464,150,198.694052
-7.744585,150,199.322958
-30.845535,150,199.951002
-6.725371,150,200.577354
-19.691827,150,201.224613
-23.414351,150,201.877385
5.919139,150,202.49879
-13.913325,150,203.118183
-17.602917,150,203.740239
-14.805169,150,204.375937
-16.033108,150,205.18408
3.079902,150,205.810268
0.191995,150,206.448102
1.844804,150,207.105157
-30.119526,150,207.72504
-0.318039,150,208.339517
-11.583363,150,208.970726
20.104675,150,209.594602
-8.808646,150,210.213258
1.445557,150,210.837154
-10.428297,150,211.461235
-13.827357,150,212.122257
-29.122479,150,212.772507
2.17675,150,213.587827
3.714644,150,214.198631
-10.862395,150,214.827515
4.323418,150,215.45627
-18.984668,150,216.0631
-23.958398,150,216.684298
1.326773,150,217.335222
-38.393694,150,217.955613
-1.816055,150,218.595947
-3.484212,150,219.28189
-11.356547,150,219.960221
-4.885167,150,220.577125
-14.258997,150,221.194978
-21.552465,150,221.840671
2.077285,150,222.648124
-36.600822,150,223.270203
-24.600346,150,223.877856
-6.937705,150,224.502934
-5.538129,150,225.138086
-6.454594,150,225.780548
-8.399246,150,226.403352
1.014045,150,227.029586
-17.436993,150,227.707481
-14.699947,150,228.339784
-31.64676,150,228.965089
-1.479244,150,229.569232
-14.110986,150,230.212731
-14.216284,150,231.019582
-12.530112,150,231.649014
-23.730721,150,232.254591
-5.51154,150,232.917336
-7.270792,150,233.549156
-12.898536,150,234.152401
-29.304719,150,234.798331
-5.689857,150,235.414214
-21.463956,150,236.035734
-8.820219,150,236.657008
-26.34488,150,237.298456
-6.446151,150,237.953508
-9.250475,150,238.592202
-18.987905,150,239.222672
-19.871867,150,240.039279
-9.309213,150,240.69591
-7.168397,150,241.32342
-11.871738,150,241.977026
-4.195544,150,242.629983
4.47757,150,243.251448
-9.519047,150,243.888999
-17.937479,150,244.51334
-0.529958,150,245.14326
-5.442046,150,245.762087
-3.16338,150,246.397904
-18.520947,150,247.01932
1.362365,150,247.647138
-24.793956,150,248.297969
-11.627701,150,249.101228
-12.804654,150,249.772237
-6.304294,150,250.373938
4.492598,150,251.010521
4.041454,150,251.64289
-14.907733,150,252.259093
-21.585891,150,252.921328
-15.765951,150,253.546295
-12.27229,150,254.189672
-17.966507,150,254.827967
-29.655755,150,255.460637
-4.384359,150,256.091169
-6.945867,150,256.727838
-9.789492,150,257.554214
-3.973991,150,258.212903
-6.393717,150,258.86433
-12.94455,150,259.500752
1.855178,150,260.125608
7.701854,150,260.748008
-13.622677,150,261.354088
-19.074393,150,261.987803
-15.630655,150,262.615632
-3.325279,150,263.263298
-5.518865,150,263.880305
1.793919,150,264.497506
-2.81452,150,265.117124
-11.708566,150,265.753932
-0.330109,150,266.564308
-0.112787,150,267.173088
2.300736,150,267.806234
-18.161875,150,268.447747
-33.439194,150,269.090727
-8.005826,150,269.718321
-10.65,150,270.32258
1.698357,150,270.942434
3.002754,150,271.575054
-16.750255,150,272.225124
-13.743643,150,272.863003
-18.645405,150,273.557836
2.697701,150,274.229422
-7.775175,150,274.873798
-33.68659,150,275.723351
-24.119924,150,276.384518
-9.620938,150,277.056373
6.133824,150,277.719406
-10.866193,150,278.363919
-15.516257,150,279.068959
6.203494,150,279.812883
-22.007905,150,280.478391
-13.842858,150,281.144717
0.760863,150,281.811049
-19.902768,150,282.484862
-11.567982,150,283.161291
-17.041687,150,283.820179
-2.121259,150,284.624586
-25.581305,150,285.247482
2.099078,150,285.873445
-14.742555,150,286.512795
-5.834615,150,287.151674
-18.207023,150,287.783197
