# {"t_start": 1552945736.8967984, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-27.293868,150,1.840986
-5.509018,150,2.342323
-22.916934,150,2.870906
-27.488572,150,3.346462
-6.57818,150,3.827209
-14.501361,150,4.346821
-3.205752,150,4.834915
-21.423447,150,5.333205
-24.419784,150,5.833543
-22.595201,150,6.306634
-45.48287,150,6.788026
-8.70773,150,7.31726
-1.249806,150,7.789503
-20.185289,150,9.003912
-38.508898,150,9.466514
-22.918826,150,9.912142
-40.629416,150,10.381479
-25.597155,150,10.861303
-23.978355,150,11.375505
-23.25303,150,11.898664
-26.566894,150,12.374319
-9.886036,150,12.827658
-18.032381,150,13.317593
-22.810232,150,13.800581
1.443435,150,14.289874
-16.084117,150,14.765067
-9.003175,150,15.832422
-17.058278,150,16.295273
-22.868433,150,16.776819
-21.444972,150,17.254064
-23.194597,150,17.742745
-27.069994,150,18.232747
-14.776085,150,18.716705
-28.446021,150,19.196875
-4.861791,150,19.6667
-12.983533,150,20.140321
-12.361918,150,20.618145
-21.784634,150,21.098395
-38.104056,150,21.576246
-25.048353,150,22.036646
-29.642168,150,23.107787
-10.18885,150,23.592921
-24.897754,150,24.072393
-9.892297,150,24.549896
-10.967595,150,25.038818
-18.732543,150,25.530691
-20.66607,150,26.040031
-40.966739,150,26.496782
-27.583997,150,26.977509
-11.163434,150,27.466906
-14.081463,150,27.963937
-22.470143,150,28.452909
-7.09406,150,28.933542
-2.282631,150,30.0293
-10.440154,150,30.522012
-0.060071,150,31.001373
-32.36415,150,31.485681
-3.369244,150,31.98285
-11.750956,150,32.475811
-3.135856,150,32.961767
-1.684256,150,33.441862
-13.479045,150,33.919161
-20.234647,150,34.387064
-16.788234,150,34.858868
-0.556665,150,35.332886
-29.372008,150,35.807572
-23.266294,150,36.89975
-35.010374,150,37.398181
-21.214804,150,37.883052
-38.122241,150,38.363914
-26.795019,150,38.843214
-30.978016,150,39.321535
-17.923402,150,39.816998
-12.553619,150,40.300019
-7.650126,150,40.776193
-2.153533,150,41.267124
-2.487449,150,41.745928
-17.726319,150,42.248633
-20.602369,150,42.739708
-22.928857,150,43.216449
-10.613972,150,44.28013
-12.754833,150,44.760189
-15.242552,150,45.242051
-38.593531,150,45.734007
-4.259208,150,46.224373
-18.959286,150,46.70444
-44.697384,150,47.186817
1.595585,150,47.678185
-8.376162,150,48.1689
-22.156687,150,48.654332
-38.629907,150,49.140504
-44.90456,150,49.617094
-17.473664,150,50.0978
-8.476859,150,51.170121
-22.919515,150,51.653063
-10.344029,150,52.139153
-2.125292,150,52.616408
-5.377451,150,53.091
-10.113465,150,53.57256
-27.526746,150,54.063457
1.517689,150,54.566442
-1.513079,150,55.065323
-26.058602,150,55.539001
-24.296317,150,56.029003
-22.264645,150,56.51251
-9.468817,150,57.007046
-7.558188,150,58.12625
-39.16292,150,58.62144
-17.194149,150,59.096455
-32.927193,150,59.584755
-22.221125,150,60.066769
4.119265,150,60.559318
-37.09373,150,61.045849
-3.235944,150,61.524119
-35.033371,150,62.013835
-22.099769,150,62.501629
-1.157163,150,62.980638
-16.920672,150,63.471912
-23.152992,150,63.954159
-8.234303,150,64.434994
-9.307734,150,65.520821
-16.630179,150,66.001289
-18.31853,150,66.491337
-3.828174,150,66.98851
-13.915104,150,67.485656
-13.330422,150,67.97974
-8.591759,150,68.460437
-15.31863,150,68.933331
-19.905555,150,69.409115
-27.269487,150,69.894447
-16.356312,150,70.397024
-10.920283,150,70.881677
-19.745365,150,71.3819
-16.94705,150,72.479351
-3.640267,150,72.969353
5.397694,150,73.463976
-8.568758,150,73.943177
-9.565793,150,74.425534
-4.444715,150,74.919546
-30.227142,150,75.412843
-10.860562,150,75.914729
-21.545011,150,76.384789
-18.362904,150,76.86287
-3.225185,150,77.347484
-7.720006,150,77.81578
-1.388467,150,78.306602
-2.804284,150,79.40705
-3.517385,150,79.900177
1.749852,150,80.400198
-4.306993,150,80.888399
-9.735477,150,81.384731
-15.665265,150,81.870039
0.755366,150,82.374656
-19.918132,150,82.882395
-7.090274,150,83.360056
-20.205207,150,83.833493
-12.969526,150,84.325343
-12.983742,150,84.813392
-23.438601,150,85.303787
-7.435016,150,85.791975
-13.170569,150,86.879683
0.885085,150,87.376938
3.583546,150,87.842747
-27.876249,150,88.317178
-1.885087,150,88.796971
-6.285025,150,89.280346
-13.959082,150,89.76193
-11.77567,150,90.266687
-5.557498,150,90.748516
4.834727,150,91.235164
-21.647644,150,91.72335
-4.608751,150,92.212639
-21.189734,150,92.691887
-13.198814,150,93.806479
1.768665,150,94.310769
-15.672697,150,94.810025
-14.866255,150,95.298498
-1.074537,150,95.777172
-10.131755,150,96.269071
-16.284334,150,96.75221
-4.116529,150,97.229288
-16.205554,150,97.711786
-5.226054,150,98.19309
-13.53231,150,98.673545
-1.438985,150,99.145265
-3.888881,150,99.627957
-15.852587,150,100.764271
-5.912515,150,101.243194
-7.225104,150,101.735877
-9.118437,150,102.216689
-0.78312,150,102.6847
-22.202399,150,103.16217
5.524887,150,103.644675
2.055813,150,104.131621
-19.271719,150,104.604367
-19.911678,150,105.083417
