# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1552523414.7040138} 
r,l,t
-11.52364,150,1.634321
-31.410977,150,1.997864
-24.686931,150,2.373812
-5.636897,150,2.73086
-18.423624,150,3.07123
-8.072433,150,3.411844
-22.818088,150,3.756121
0.35134,150,4.105712
-11.261141,150,4.450112
10.27371,150,4.80409
-14.626509,150,5.157806
-30.832515,150,5.511735
-10.384819,150,5.879728
-0.568091,150,6.429936
-11.940535,150,6.780152
-19.907561,150,7.128982
0.231853,150,7.489956
-25.745371,150,7.846197
-4.373369,150,8.196215
-15.514645,150,8.539379
-16.734161,150,8.902984
-8.007133,150,9.260582
-25.693022,150,9.626805
-32.300659,150,9.985444
-22.135283,150,10.332715
11.783713,150,10.696529
-5.148727,150,11.04204
-24.801899,150,11.503177
-22.7161,150,11.862173
-25.336394,150,12.218709
-16.875495,150,12.558531
-33.383891,150,12.911996
-15.796198,150,13.252492
-13.163261,150,13.60268
1.472311,150,13.942739
-26.831292,150,14.316319
-3.793054,150,14.690092
-34.393313,150,15.069061
-17.814883,150,15.419547
-24.852103,150,15.759316
-30.448344,150,16.225159
-6.658036,150,16.550028
-5.872608,150,16.875171
-8.887296,150,17.207771
-23.391595,150,17.541735
-23.657126,150,17.87002
2.26031,150,18.196194
3.004884,150,18.526466
-25.444159,150,18.865537
-10.523585,150,19.207808
-17.213586,150,19.565829
-17.23129,150,19.929587
13.669066,150,20.26833
-28.317503,150,20.611494
-4.886173,150,21.067798
-26.740165,150,21.412645
-4.640243,150,21.747043
-41.846997,150,22.091005
-28.056165,150,22.443471
-3.20554,150,22.791234
-1.66121,150,23.14316
4.593904,150,23.47554
-18.818765,150,23.807757
-14.333784,150,24.149377
-20.080152,150,24.489291
-30.749285,150,24.83493
-22.415283,150,25.162218
-17.793119,150,25.490832
-21.106199,150,25.953081
2.772766,150,26.30611
-12.706872,150,26.662301
-20.097246,150,27.028172
-13.717826,150,27.385652
-8.266031,150,27.716573
-13.893465,150,28.063988
-25.573803,150,28.415086
-18.836712,150,28.75691
3.304055,150,29.111708
-30.535254,150,29.466108
-13.549674,150,29.825294
-5.188358,150,30.155826
-2.250395,150,30.622337
-36.5095,150,30.971811
-28.50489,150,31.303437
-17.278277,150,31.639003
-16.481176,150,31.983973
-29.249889,150,32.342743
-5.885704,150,32.701757
-37.628506,150,33.038531
-31.462689,150,33.378051
-1.859857,150,33.713174
-14.981131,150,34.057695
-13.331969,150,34.420713
-28.355597,150,34.776173
-12.284736,150,35.116586
-27.033011,150,35.604933
3.479882,150,35.990189
-14.863064,150,36.353454
-15.540304,150,36.729604
-15.795544,150,37.116008
-32.261707,150,37.489918
-13.557712,150,37.882485
-8.672708,150,38.283833
-22.710679,150,38.648028
3.600037,150,39.037433
-13.394816,150,39.410547
-5.236672,150,39.783292
-1.999831,150,40.158867
-24.15866,150,40.537971
-13.462708,150,41.038369
-28.76751,150,41.369431
-7.595678,150,41.730722
-3.552009,150,42.075351
0.216891,150,42.408949
-3.277564,150,42.751127
-9.938968,150,43.090325
-16.867697,150,43.440589
-11.661369,150,43.782002
-20.040485,150,44.156612
-23.594854,150,44.51345
-19.146938,150,44.874071
-31.332486,150,45.207772
-13.83404,150,45.661124
-19.189752,150,45.997602
-4.847991,150,46.344642
-17.168653,150,46.703809
-9.083488,150,47.039265
-20.934836,150,47.380803
-8.521909,150,47.713972
-16.038691,150,48.045963
-29.359067,150,48.366308
-17.447169,150,48.703362
-18.704486,150,49.026684
-4.484213,150,49.362771
-40.571411,150,49.689317
-26.152579,150,50.021083
-22.846973,150,50.501004
5.779536,150,50.841136
-24.175576,150,51.189948
-23.556814,150,51.552428
-20.142258,150,51.910527
-18.236198,150,52.252649
-18.865821,150,52.595006
-15.705045,150,52.941307
-16.295014,150,53.289117
-26.238229,150,53.6333
-27.294284,150,53.990315
-5.596573,150,54.349108
-12.374582,150,54.696212
-11.462093,150,55.029884
-23.36209,150,55.492309
-0.505045,150,55.819638
-39.553549,150,56.153034
-14.351697,150,56.506505
-7.296487,150,56.848176
-33.340527,150,57.188487
-42.022088,150,57.538901
-13.824352,150,57.879851
-8.701202,150,58.21885
-9.948169,150,58.567003
-18.810769,150,58.916649
-27.040232,150,59.290452
-19.885677,150,59.6547
-8.344154,150,60.134756
8.104849,150,60.489887
-10.183621,150,60.835173
-11.045427,150,61.199325
-8.656984,150,61.541304
-15.31748,150,61.88513
-2.64604,150,62.229713
-8.132886,150,62.618505
-12.025348,150,62.97439
-2.735849,150,63.311763
-40.195284,150,63.674816
-7.046434,150,64.015614
-11.856342,150,64.35248
-22.36224,150,64.684496
2.203909,150,65.141552
-6.101158,150,65.464766
-6.682139,150,65.811756
-9.097838,150,66.147685
-47.456315,150,66.455482
6.51099,150,66.782778
-11.892115,150,67.120639
-23.451539,150,67.47158
-17.037434,150,67.836869
1.465875,150,68.274842
-18.168467,150,68.659841
-11.649885,150,69.018084
-7.599959,150,69.397138
-0.486371,150,69.787695
-20.960593,150,70.370821
-18.308899,150,70.755579
-9.11927,150,71.165358
-14.995112,150,71.614584
-3.728492,150,72.102824
-20.707049,150,72.596922
-6.777957,150,73.097292
-32.772842,150,73.579767
-25.126534,150,74.10138
7.358462,150,74.595317
-29.401357,150,75.084881
0.570579,150,75.565276
-22.060572,150,76.04394
-11.208262,150,76.675269
-12.54641,150,77.160067
-0.284189,150,77.637841
-13.987754,150,78.145605
-15.4586,150,78.629014
-28.494716,150,79.141008
-1.479011,150,79.656477
-15.813151,150,80.171587
1.701566,150,80.690325
-0.35805,150,81.203522
-18.91572,150,81.723228
-2.814732,150,82.239992
-9.66,150,82.769023
-14.589663,150,83.288713
-3.715633,150,83.956639
-10.654603,150,84.472632
-5.535754,150,84.992394
15.782763,150,85.505204
-29.503746,150,86.014446
-2.047829,150,86.521448
-7.345032,150,87.043771
-2.613296,150,87.576677
-8.698963,150,88.071333
-20.737309,150,88.57251
-11.037011,150,89.05503
-6.213012,150,89.554276
-20.526045,150,90.044315
-33.17293,150,90.542182
-17.719905,150,91.194021
-5.635152,150,91.696447
-23.72074,150,92.193998
-25.094448,150,92.688002
-8.242425,150,93.17835
-11.206544,150,93.666908
-6.71167,150,94.154502
-30.581843,150,94.649682
-1.605512,150,95.140111
-2.014545,150,95.626984
-13.757695,150,96.121823
-16.812772,150,96.607101
-30.650388,150,97.092071
-15.78079,150,97.711441
-10.01974,150,98.193586
3.428671,150,98.69238
-5.144006,150,99.1858
-20.610407,150,99.664307
-23.938689,150,100.140599
-10.491351,150,100.621574
-9.934943,150,101.134477
-11.848099,150,101.630437
-37.062548,150,102.107818
-14.490025,150,102.596907
-2.425055,150,103.09177
0.232617,150,103.577853
2.934738,150,104.050819
-24.810181,150,104.679105
-7.98708,150,105.158821
-10.926095,150,105.643687
1.394424,150,106.122219
-5.631724,150,106.60492
-5.529276,150,107.104326
-20.512414,150,107.596633
-5.786466,150,108.0863
-13.303871,150,108.569061
-0.046721,150,109.04785
-2.408628,150,109.532993
-11.5021,150,110.005552
-10.063904,150,110.479786
-12.976593,150,110.958607
-6.20998,150,111.587908
-13.318049,150,112.071997
-11.368796,150,112.566258
-14.0509,150,113.049752
-0.412339,150,113.53648
-29.480321,150,114.00276
-23.834971,150,114.472649
-13.942723,150,114.951052
-3.453664,150,115.430606
-24.012947,150,115.907572
-22.111496,150,116.381449
-20.040138,150,116.848963
0.039151,150,117.321687
-0.272635,150,117.92919
-19.687923,150,118.408415
-20.840147,150,118.881612
5.211156,150,119.361865
-16.811937,150,119.836179
-16.714954,150,120.315476
-2.010628,150,120.802473
-25.492089,150,121.273471
-13.300518,150,121.742224
2.189449,150,122.212809
-14.254327,150,122.692569
-10.489866,150,123.167587
-7.511304,150,123.645579
-0.379054,150,124.134165
-23.02317,150,124.76019
-15.960045,150,125.23631
-17.360038,150,125.706164
-10.335671,150,126.189343
-38.416548,150,126.664953
-13.189227,150,127.137017
-16.349874,150,127.618512
-12.95269,150,128.104393
1.744539,150,128.587193
-12.748376,150,129.063989
-31.353471,150,129.531429
-14.175129,150,130.007599
-8.526523,150,130.479315
-12.800804,150,130.963453
-18.433542,150,131.582191
-22.449452,150,132.060562
-9.378922,150,132.536103
-11.985986,150,133.006815
-21.775234,150,133.486967
-7.560901,150,133.959635
-27.818771,150,134.459519
-17.938637,150,134.930145
-8.710441,150,135.412848
-6.289119,150,135.894356
-14.589254,150,136.36766
-6.570491,150,136.848163
-16.533022,150,137.329127
-18.836573,150,137.938922
-20.0046,150,138.4182
-6.383184,150,138.87526
-25.04387,150,139.375937
-6.149691,150,139.852741
-33.308861,150,140.332093
-9.660929,150,140.808892
-29.905605,150,141.287808
4.502358,150,141.767749
-16.557745,150,142.244948
-4.982924,150,142.724735
-9.264768,150,143.212661
-6.565834,150,143.691226
-24.411434,150,144.162513
-15.934542,150,144.780425
-7.270056,150,145.257612
-20.497974,150,145.733453
-10.804231,150,146.209866
-16.643211,150,146.69223
-9.953923,150,147.177564
-17.326545,150,147.662684
-15.99702,150,148.141453
-3.176056,150,148.611521
-13.082195,150,149.090204
-28.312654,150,149.564732
-2.846032,150,150.045434
-0.709291,150,150.517225
-0.736331,150,151.14548
-14.846753,150,151.631643
-21.119994,150,152.10176
1.153915,150,152.596223
3.25589,150,153.072327
-7.024231,150,153.558855
1.754845,150,154.027637
-20.980405,150,154.517864
5.026038,150,154.99536
3.386592,150,155.470126
-28.604845,150,155.948704
6.48417,150,156.436052
-19.974877,150,156.914688
-28.485753,150,157.389867
-32.548521,150,158.00081
-6.949626,150,158.475751
-15.496857,150,158.963127
-13.822304,150,159.451115
1.271597,150,159.927819
-29.076419,150,160.408615
-22.972272,150,160.881316
2.060101,150,161.355751
-23.367904,150,161.831795
-10.303795,150,162.308748
-18.057299,150,162.780704
-24.315082,150,163.257307
-23.328204,150,163.732827
3.404293,150,164.210215
-12.11977,150,164.837378
-15.891671,150,165.318814
-3.257384,150,165.805134
-11.681024,150,166.296853
-24.31666,150,166.78156
-44.200084,150,167.266458
-15.440626,150,167.74701
-16.657763,150,168.218701
4.298069,150,168.695188
0.872872,150,169.169113
-13.755768,150,169.645602
-11.940549,150,170.121002
0.784352,150,170.59567
-23.663919,150,171.232005
-13.048738,150,171.702858
13.263913,150,172.192538
-29.282675,150,172.663933
-10.569154,150,173.143811
-11.060268,150,173.629817
-34.414889,150,174.117935
-11.338693,150,174.59867
-2.667488,150,175.078626
-17.698601,150,175.557598
8.076985,150,176.026021
-25.228685,150,176.503312
-9.868238,150,176.972694
-15.332765,150,177.446767
-6.540919,150,178.063306
8.679518,150,178.541743
-12.365655,150,179.030625
-9.109112,150,179.511548
-12.865542,150,179.99078
-32.512404,150,180.463115
-15.436514,150,180.93752
-38.76707,150,181.407208
-27.681169,150,181.871371
-0.563888,150,182.353596
-14.863072,150,182.834816
-20.697221,150,183.307736
-27.064017,150,183.781216
-10.837376,150,184.256119
-11.526867,150,184.884308
-2.262306,150,185.372841
-3.929141,150,185.863306
1.845726,150,186.347559
-29.091528,150,186.823539
-19.168965,150,187.299944
-14.218781,150,187.771862
-12.155517,150,188.266682
-15.265747,150,188.74862
-17.406996,150,189.242826
-38.861062,150,189.739537
-13.74898,150,190.234401
2.336646,150,190.722197
-19.330582,150,191.347318
-18.523382,150,191.833348
2.009494,150,192.332239
-16.365258,150,192.828952
-10.702996,150,193.318223
-15.642747,150,193.814086
-5.065725,150,194.323262
-19.171436,150,194.825522
-15.290073,150,195.329655
-8.767533,150,195.83048
-25.970683,150,196.317378
-32.941132,150,196.806735
-2.453945,150,197.300021
-2.672561,150,197.788437
-10.683641,150,198.445446
-16.365806,150,198.938769
-8.4203,150,199.424413
-10.763441,150,199.905359
-5.385659,150,200.387897
-10.523003,150,200.873256
-13.627295,150,201.366588
-8.139777,150,201.850124
3.788845,150,202.340463
-7.984549,150,202.839761
3.773645,150,203.336487
-11.661055,150,203.825417
-17.867025,150,204.313295
-8.094221,150,204.815929
-18.196573,150,205.451676
-17.585969,150,205.943581
-21.638882,150,206.436978
-12.70211,150,206.933417
-19.277044,150,207.429996
0.420625,150,207.925533
-8.5273,150,208.405209
-10.362973,150,208.906627
-13.708816,150,209.408581
-5.101744,150,209.90094
