# {"t_start": 1552631274.1713006, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-13.110955,150,12.586208
8.942168,150,13.071249
-9.028754,150,13.636623
-19.880962,150,14.178565
-24.578695,150,14.747362
-9.121948,150,15.331913
-3.129533,150,15.907455
-24.478909,150,16.580292
-24.719653,150,17.175849
-35.228522,150,17.790112
-1.621337,150,18.450811
-12.721881,150,19.128407
-24.855045,150,19.787036
-50.772804,150,21.340295
-14.938796,150,21.972008
2.560831,150,22.638332
-22.215525,150,23.31901
-11.344717,150,23.967248
-18.498477,150,24.611533
-14.572954,150,25.266591
-4.272523,150,25.918376
-37.731321,150,26.549271
-23.15227,150,27.197767
-11.13091,150,27.841659
-32.470602,150,28.519952
-7.418104,150,29.181791
-48.297093,150,29.839678
-13.79489,150,30.707628
-35.640643,150,31.364071
-17.391595,150,31.993268
-46.810916,150,32.639847
-23.940861,150,33.292139
-23.894657,150,33.955372
-52.481072,150,34.617682
-6.895451,150,35.266419
-35.51504,150,35.915766
-23.301094,150,36.573246
-26.832343,150,37.217807
-32.290102,150,37.881039
-22.680757,150,38.521344
-22.091409,150,39.366052
-30.628386,150,40.022678
-6.489523,150,40.682192
-23.200205,150,41.325494
-7.121237,150,41.974202
-42.59036,150,42.66965
-11.906816,150,43.338751
-19.413367,150,43.974257
-19.733311,150,44.607531
-42.589532,150,45.255806
-32.625214,150,45.90599
-22.429392,150,46.549038
-8.754595,150,47.189215
-41.416011,150,47.834119
-3.539166,150,48.679621
-1.141582,150,49.328777
-19.023411,150,49.977988
-21.84402,150,50.628901
-18.599656,150,51.292994
-27.134927,150,51.937195
-24.666318,150,52.57725
-35.750527,150,53.247199
-21.421169,150,53.897809
-27.118912,150,54.555203
-10.547567,150,55.205174
-29.69665,150,55.86031
-16.433783,150,56.516724
-4.022204,150,57.163087
-11.409086,150,58.006607
-36.011078,150,58.650337
12.511356,150,59.304471
-27.641413,150,59.958184
-23.47957,150,60.615638
-35.265566,150,61.25434
-2.247741,150,61.893703
3.516459,150,62.558568
2.336334,150,63.201002
-20.008574,150,63.853112
-19.742437,150,64.506456
-15.621353,150,65.145298
-27.573106,150,65.809476
-5.615794,150,66.632502
-5.055169,150,67.278255
-35.185654,150,67.927451
-25.420302,150,68.549108
-8.532023,150,69.216066
4.166557,150,69.876969
-16.246188,150,70.510154
-15.828595,150,71.17648
-12.722597,150,71.812838
-8.116334,150,72.478709
-16.637751,150,73.128659
-13.490154,150,73.784594
-3.036597,150,74.443106
-13.344657,150,75.100664
-30.044253,150,75.960759
-13.234907,150,76.618718
-17.979032,150,77.262517
-7.667901,150,77.908132
-22.236305,150,78.560741
-11.932585,150,79.207434
5.616067,150,79.841914
-3.756932,150,80.47219
-12.504003,150,81.096248
-8.68496,150,81.75824
-21.921507,150,82.399759
-47.379193,150,83.04334
-15.807551,150,83.69231
10.541354,150,84.34647
-13.409741,150,85.187078
-18.381209,150,85.829891
