# {"t_start": 1552807428.7219756, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-17.375632,150,8.848577
-23.925054,150,9.604518
-19.234882,150,10.645401
0.338866,150,11.625515
-30.087121,150,12.643983
-18.971082,150,13.732759
-39.186211,150,14.676736
-33.965689,150,15.638094
-8.615324,150,16.714968
-4.557961,150,17.896807
-30.896383,150,19.201103
-17.723868,150,20.376096
-15.863609,150,21.573805
-25.990709,150,24.092511
2.135366,150,25.195901
-35.490887,150,26.333183
-16.186821,150,27.563876
-35.181721,150,28.720568
-16.640917,150,29.932872
-29.741747,150,31.130496
-31.078385,150,32.284958
-31.067783,150,33.439446
-21.263523,150,34.643019
-12.091442,150,35.79549
-29.525792,150,36.966446
-16.041233,150,38.073608
-15.62142,150,39.199737
10.316854,150,40.639768
-13.267323,150,41.726419
-6.29554,150,42.892647
-12.358859,150,44.036436
-18.114676,150,45.145597
-10.764639,150,46.290278
-16.353527,150,47.383427
-20.996929,150,48.542221
-20.905149,150,49.662915
-14.418224,150,50.85624
-34.549124,150,52.036984
-10.746528,150,53.20798
-21.955865,150,54.382991
-5.830806,150,55.878102
-23.725661,150,57.024742
-15.785159,150,58.221081
-15.581579,150,59.429857
-29.08183,150,60.680814
-38.128912,150,61.85495
-11.717476,150,62.991782
-25.446099,150,64.168757
-25.569416,150,65.333394
-11.055013,150,66.479501
-4.833503,150,67.639257
-2.388136,150,68.767068
-29.993139,150,69.991508
-30.74657,150,71.192233
-7.196828,150,72.595949
-6.63473,150,73.811831
-15.636841,150,74.969224
-33.79062,150,76.130642
-18.812623,150,77.377588
-14.265113,150,78.501935
-15.808841,150,79.636926
-33.050783,150,80.843029
-31.091325,150,82.001461
-29.427383,150,83.159872
-12.189708,150,84.340694
-7.613545,150,85.49078
-24.90602,150,86.658436
-29.130288,150,87.851269
-28.976179,150,89.325257
-17.480149,150,90.572014
-27.404877,150,91.734961
-18.26332,150,92.87865
-11.560161,150,94.062456
-6.716575,150,95.280337
2.243164,150,96.562341
-26.578214,150,97.744395
-18.589641,150,98.903552
-0.781762,150,100.094557
-36.336089,150,101.326239
-21.42349,150,102.473072
2.25272,150,103.734042
-3.163298,150,105.157858
-23.383507,150,106.353746
-37.747956,150,107.504531
-42.755404,150,108.687348
-25.253286,150,109.863102
-10.81909,150,110.992768
-21.989278,150,112.181594
5.027119,150,113.302053
-35.022559,150,114.465782
-36.110473,150,115.627154
-21.044109,150,116.825439
-16.636247,150,117.965416
-14.085513,150,119.148018
-38.995841,150,120.291318
-18.182628,150,121.696082
-27.750885,150,122.833562
10.039866,150,123.995211
-11.281018,150,125.216603
-17.14809,150,126.445833
-7.465513,150,127.605854
-10.432756,150,128.729582
-3.255867,150,129.896505
-6.087616,150,131.081065
-21.612559,150,132.22668
-22.131807,150,133.326762
-22.998467,150,134.453526
-24.476967,150,135.56513
-26.853608,150,136.737899
3.502788,150,138.135424
-32.852693,150,139.273241
-15.925987,150,140.37863
7.695715,150,141.547717
-28.386389,150,142.718551
-12.440499,150,143.869381
-13.147522,150,145.03952
-1.620663,150,146.193038
-13.401461,150,147.423621
-39.360255,150,148.522755
-4.764812,150,149.682879
-19.895741,150,150.828143
-43.522466,150,152.058299
-29.431006,150,153.44191
-14.94,150,154.557439
-7.582803,150,155.701886
-15.539288,150,156.87012
0.105821,150,157.915057
-24.780695,150,159.047928
-12.905006,150,160.209715
-21.49056,150,161.36036
-26.628436,150,162.54414
-30.530814,150,163.763534
-20.092885,150,164.923988
-22.741179,150,166.141436
-12.062311,150,167.368558
