# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1552881067.5738308} 
r,l,t
-5.891555,150,1.658735
-12.9679,150,2.02996
-26.397345,150,2.384962
-18.974551,150,2.750208
-38.006339,150,3.096182
-10.861506,150,3.475003
-6.392586,150,3.835554
-24.889718,150,4.170071
-27.388043,150,4.527489
-11.448527,150,4.882105
-17.128983,150,5.235916
-25.885327,150,5.59918
-8.238266,150,6.038432
-15.936434,150,6.64416
-24.353022,150,7.016201
-15.622083,150,7.418801
-16.025962,150,7.827687
-11.966117,150,8.256214
-12.29362,150,8.683646
-26.227082,150,9.071688
-19.361965,150,9.485894
2.280291,150,9.949141
-41.127566,150,10.443551
-14.269219,150,10.96207
-10.29906,150,11.466498
-7.06216,150,11.956248
0.729102,150,12.451915
-15.330889,150,13.088523
-23.413522,150,13.581244
-29.296619,150,14.06373
-38.251487,150,14.544279
6.653961,150,15.034755
-4.797387,150,15.505725
-9.963987,150,16.111114
-11.774341,150,16.640772
-17.267809,150,17.199379
-13.413639,150,17.75909
-13.366996,150,18.337143
-23.274947,150,18.927064
-12.654645,150,19.528603
-27.669503,150,20.268474
-28.800055,150,20.898252
-3.930967,150,21.578553
-31.949319,150,22.224171
-9.432921,150,22.859757
6.391106,150,23.504866
-40.982864,150,24.137736
-13.872617,150,24.766507
-34.52943,150,25.394625
2.060819,150,26.028709
-40.729922,150,26.713067
-18.156963,150,27.415349
-3.046849,150,28.080438
-4.309166,150,28.69612
-15.093352,150,29.480741
-34.938956,150,30.107672
-11.282598,150,30.750333
-38.020033,150,31.394497
-15.897766,150,32.036459
10.241908,150,32.672101
-0.557928,150,33.284615
-22.445915,150,33.921758
-16.994343,150,34.559376
-18.404943,150,35.202098
-38.684655,150,35.837869
-14.224528,150,36.513575
-20.604949,150,37.157543
-23.096143,150,37.803466
-20.91897,150,38.607478
-18.15059,150,39.244173
-16.434787,150,39.893777
-16.032117,150,40.518227
-9.355669,150,41.152977
0.827182,150,41.800248
-22.626911,150,42.43724
-17.265118,150,43.076899
-5.826198,150,43.712792
-27.177592,150,44.356725
3.915973,150,44.991314
-12.826702,150,45.623827
-12.288398,150,46.24945
2.478074,150,47.070679
5.508608,150,47.711792
-8.693534,150,48.347417
-23.074276,150,48.977418
-11.072289,150,49.603106
-5.022006,150,50.217864
-19.582335,150,50.851653
-32.442902,150,51.494189
-20.863679,150,52.162208
-19.338189,150,52.810886
-18.57333,150,53.455753
-31.55111,150,54.08204
-16.318624,150,54.715118
-13.397586,150,55.335376
-2.246883,150,56.159878
-20.974575,150,56.792693
-7.097758,150,57.514381
-19.729577,150,58.192851
4.386048,150,58.826145
-12.35384,150,59.454913
-1.02911,150,60.098825
-20.818048,150,60.719343
-16.561712,150,61.359652
-11.631552,150,61.990728
-4.523452,150,62.657414
-6.052427,150,63.305473
-15.368028,150,63.940066
-25.959012,150,64.578691
-25.96535,150,65.385986
-6.20973,150,66.016891
-1.792573,150,66.674276
-16.961758,150,67.335906
-35.109905,150,67.995632
-5.659798,150,68.631407
-13.295481,150,69.249163
0.686673,150,69.890067
-14.916904,150,70.524549
-17.603198,150,71.159534
-11.840432,150,71.793292
-26.815862,150,72.437118
0.761027,150,73.074076
-14.630852,150,73.891975
-32.40129,150,74.533584
-10.145155,150,75.161645
-6.643242,150,75.789403
-38.22936,150,76.420853
-0.474772,150,77.04479
-19.487716,150,77.691567
-15.131064,150,78.327737
6.419203,150,78.962687
-12.965042,150,79.606214
-27.5805,150,80.251114
-18.973207,150,80.880375
-17.750502,150,81.523748
-18.680477,150,82.146436
-14.130883,150,82.972757
-10.134881,150,83.603039
-18.592655,150,84.225083
4.910345,150,84.855926
-15.825294,150,85.494733
-30.567332,150,86.13868
-6.82183,150,86.800419
-14.597915,150,87.481662
-1.088177,150,88.12186
-34.315491,150,88.750795
-0.451882,150,89.375637
-15.268037,150,90.015416
-2.717431,150,90.646255
-11.862487,150,91.28283
-6.962832,150,92.103847
-8.725751,150,92.75873
-8.707329,150,93.433532
