# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1552523484.6182528} 
r,l,t
-13.110955,150,2.055375
8.942168,150,2.532043
-9.028754,150,3.01366
-19.880962,150,3.497581
-24.578695,150,3.981643
-9.121948,150,4.503101
-3.129533,150,4.983929
-24.478909,150,5.47232
-24.719653,150,5.947038
-35.228522,150,6.440465
-1.621337,150,6.925108
-12.721881,150,7.413315
-24.855045,150,7.895648
-50.839412,150,8.636128
-17.599682,150,9.135707
3.508745,150,9.648328
-21.997026,150,10.156057
-10.984388,150,10.670439
-18.515753,150,11.181838
-14.171151,150,11.690354
8.272597,150,12.19947
-40.045384,150,12.702747
-23.678924,150,13.21851
-11.29816,150,13.731334
-32.188402,150,14.245606
-8.937699,150,14.756409
-47.611961,150,15.280764
-14.832473,150,15.955127
-36.639834,150,16.464385
-16.216976,150,16.983631
-46.883021,150,17.500059
-24.372403,150,18.015467
-29.461227,150,18.501387
-50.507137,150,18.981492
-11.56607,150,19.459924
-40.148204,150,19.951797
-21.854246,150,20.441269
-35.320428,150,20.921276
-32.420839,150,21.415304
-20.587146,150,21.906835
-16.450851,150,22.541108
-29.726564,150,23.007749
-13.848451,150,23.482958
-21.554203,150,23.953509
-9.536961,150,24.436026
-36.868117,150,24.91285
-17.721233,150,25.388663
-18.754708,150,25.872895
-21.795523,150,26.349934
-30.148542,150,26.826714
-31.368164,150,27.295172
-22.744238,150,27.780442
-20.294186,150,28.25604
-44.866773,150,28.743856
-6.260658,150,29.385056
-1.455338,150,29.887707
-15.164674,150,30.363255
-26.688262,150,30.841039
-18.596918,150,31.312537
-22.627984,150,31.783896
-30.22685,150,32.265389
-34.071019,150,32.736921
-20.531684,150,33.214213
-15.339237,150,33.694274
-9.297035,150,34.1707
-26.957206,150,34.637317
-12.504041,150,35.123636
-7.784379,150,35.602558
-10.827052,150,36.22388
-36.568244,150,36.686596
13.437778,150,37.168988
-24.20975,150,37.646056
-20.075915,150,38.126077
-28.388146,150,38.60171
0.920891,150,39.086584
6.141702,150,39.565
6.967041,150,40.043593
-33.137145,150,40.52485
-24.959163,150,40.997861
-30.793555,150,41.480803
-23.419798,150,41.959367
-5.34527,150,42.592224
-7.306486,150,43.073154
-33.137443,150,43.549358
-25.979873,150,44.024823
-10.133167,150,44.51119
3.735039,150,45.001139
-22.25821,150,45.482627
-13.956485,150,45.949662
1.45037,150,46.428437
-6.13339,150,46.897952
-11.314166,150,47.370027
-8.745626,150,47.850468
-7.984357,150,48.323258
-14.995099,150,48.796651
-27.843756,150,49.410511
-9.348315,150,49.900288
7.539957,150,50.374555
-8.549438,150,50.832567
-21.169722,150,51.306546
-13.323228,150,51.779727
14.380444,150,52.254689
-8.315629,150,52.73137
-23.334282,150,53.196889
-6.143237,150,53.66127
-20.571176,150,54.129123
-26.930986,150,54.608088
-14.768377,150,55.074728
-6.985321,150,55.55196
-13.695303,150,56.162048
-12.350371,150,56.636123
6.630212,150,57.107399
4.27134,150,57.58309
-32.289674,150,58.049352
-8.972003,150,58.530251
-14.967461,150,59.005871
-21.735587,150,59.485859
-5.162081,150,59.957636
-18.100453,150,60.436282
-33.383845,150,60.907915
-8.545399,150,61.375628
-4.570292,150,61.84375
-29.600006,150,62.463249
15.832226,150,62.94067
