# {"t_start": 1553042474.1981504, "env_id": "HopperBulletEnv-v0"} 
r,l,t
17.357082,11,1.478505
13.965301,7,1.51456
13.658588,6,1.544005
7.56829,9,1.586879
13.966326,10,1.635209
14.780694,8,1.670856
12.271239,15,1.739444
13.669938,10,1.786025
6.698683,8,1.822844
8.484072,10,1.871254
13.362379,8,1.909629
9.010289,13,1.969879
13.482458,7,2.004654
17.720594,6,2.032809
13.211589,20,2.126568
17.334812,12,2.18384
10.724592,7,2.216135
14.661681,23,2.327743
7.926922,9,2.368135
7.661733,10,2.417546
14.609988,9,2.461024
9.194762,15,2.529613
13.0522,6,2.557338
13.90445,7,2.590671
9.892233,9,2.637801
16.230094,22,2.754006
16.366775,9,2.80082
12.480055,7,2.83659
14.640316,7,2.873007
16.470038,19,2.970467
14.713035,15,3.044806
15.638272,9,3.091284
15.548965,19,3.184361
11.55275,9,3.229796
16.43652,8,3.271205
11.333967,15,3.343764
8.662607,15,3.423681
10.646926,16,3.512213
11.983497,9,3.561974
12.660888,12,3.624691
3.312376,11,3.68352
16.719346,13,3.757116
14.709003,9,3.805697
17.697555,12,3.867432
2.930291,13,3.938437
13.889726,15,4.020507
11.38724,12,4.085698
7.499862,12,4.150574
15.333546,8,4.192302
15.623188,9,4.239275
18.628389,12,4.302527
12.778757,6,4.334384
15.707304,7,4.369859
16.700459,19,4.47204
9.536321,13,4.541121
13.716421,8,4.582823
14.205223,8,4.625546
16.976915,7,4.662709
4.677634,17,4.75427
15.213892,6,4.786655
15.727094,12,4.848916
12.072099,16,4.936643
5.626245,21,5.053536
2.661163,16,5.139424
14.887022,13,5.215266
9.178428,13,5.282991
16.712265,18,5.377708
11.894142,15,5.461573
8.166906,8,5.505123
11.441669,9,5.553241
14.993864,13,5.621669
20.165275,10,5.675588
12.521579,10,5.730546
15.235049,14,5.807401
11.032686,13,5.876494
14.195818,30,6.038392
10.329103,11,6.098039
11.124175,15,6.175789
15.477113,10,6.2296
14.793732,5,6.254904
14.683187,15,6.334278
5.95283,21,6.442072
13.637607,6,6.473624
17.504065,6,6.505927
10.720376,10,6.556085
13.513686,7,6.595155
13.120016,12,6.657158
20.163009,9,6.705471
12.192896,7,6.743176
10.596958,13,6.813619
12.865248,14,6.886965
6.932479,10,6.941307
16.880104,18,7.039764
11.82601,9,7.092871
14.630358,9,7.145179
7.853423,12,7.216022
10.753557,10,7.278507
10.993127,6,7.313969
20.952999,12,7.392124
15.482402,9,7.448135
9.320894,10,7.513405
13.523854,6,7.549075
18.174461,11,7.615105
8.613915,13,7.6908
11.939006,8,7.73974
8.203687,10,7.797446
18.411415,8,7.848318
15.699166,7,7.889491
14.594643,10,7.947398
14.958515,6,7.979568
14.172121,9,8.028023
8.577307,7,8.067547
14.360491,13,8.136699
14.954665,14,8.209353
11.865528,18,8.307192
15.213086,9,8.356963
12.376915,5,8.38604
8.639975,18,8.481968
17.317658,16,8.569446
11.975788,11,8.627813
9.899059,10,8.683546
12.75755,12,8.748401
12.135085,11,8.810502
19.229364,21,8.924428
14.388905,12,8.989944
9.701438,14,9.062851
13.666669,11,9.125285
15.065037,9,9.171705
11.155752,9,9.219409
14.731677,19,9.319823
12.896429,15,9.400729
17.432592,8,9.444404
16.444297,16,9.52935
9.729747,6,9.563594
10.551875,7,9.600417
1.772358,11,9.661435
4.000044,9,9.709378
14.103438,14,9.7856
3.059102,20,9.891217
16.9935,12,9.957612
14.140034,10,10.011987
15.77423,15,10.093126
7.570982,14,10.168505
13.657856,7,10.205249
19.122065,12,10.26924
13.815491,14,10.346386
1.484911,16,10.430203
7.463916,12,10.492804
-5.083531,43,10.71577
13.507295,12,10.778456
13.924058,13,10.846262
13.184721,14,10.9225
11.881387,6,10.954343
13.08822,14,11.028635
11.66277,17,11.121817
16.122858,11,11.182871
14.326181,22,11.301745
19.043933,13,11.369084
13.156893,11,11.425269
8.562294,10,11.478238
16.1722,21,11.591465
11.653869,7,11.630677
12.96103,8,11.676781
11.424869,12,11.742967
8.138196,13,11.81281
4.891728,14,11.8848
8.381844,8,11.927949
6.508135,14,12.005078
15.541785,9,12.052666
15.498065,13,12.120979
8.859942,12,12.187147
15.683618,6,12.218522
18.143246,11,12.278989
11.975111,13,13.071098
15.268295,16,13.15497
16.751779,14,13.228088
18.907104,9,13.275753
11.612516,8,13.319621
14.43104,13,13.389864
13.624371,12,13.457956
15.636006,13,13.528665
12.238712,8,13.570124
16.307942,6,13.603275
14.500995,8,13.642572
12.746649,14,13.717901
6.729818,15,13.799885
13.053329,8,13.841544
12.348162,19,13.941508
17.282388,10,13.995622
9.626685,11,14.054743
11.71449,9,14.104498
10.681986,5,14.131602
17.440874,17,14.221581
16.983142,9,14.271427
14.900882,10,14.326261
18.332129,6,14.358979
15.421091,6,14.393493
15.438508,7,14.429286
16.831199,11,14.493655
17.028572,5,14.520536
9.024545,17,14.611082
18.053508,13,14.678127
5.003229,16,14.765655
10.227909,12,14.828303
19.234133,10,14.883452
14.792465,6,14.915835
17.451611,11,14.975872
15.678674,9,15.021955
15.036974,7,15.058005
16.583926,8,15.102267
15.832402,10,15.156912
14.014798,7,15.196758
15.418356,8,15.239679
15.464387,13,15.306607
15.714395,7,15.343969
7.300176,11,15.404775
17.394213,12,15.467543
8.334667,12,15.532096
14.898267,10,15.586452
11.441362,9,15.637643
19.18552,9,15.685059
14.740538,6,15.719863
9.763967,9,15.7668
21.090856,12,15.834189
15.092338,11,15.894991
12.14251,19,15.999394
20.801159,12,16.064755
14.961951,8,16.111241
14.796708,11,16.171632
11.584103,15,16.251805
16.169872,8,16.295274
15.088058,8,16.337873
18.424029,7,16.37578
12.029277,19,16.481915
8.562561,7,16.521582
