# {"env_id": "HopperBulletEnv-v0", "t_start": 1553038872.5361378} 
r,l,t
9.749675,7,1.348355
5.898519,9,1.396097
15.473421,12,1.457672
12.890501,7,1.493993
14.125976,7,1.527591
12.995604,13,1.592497
15.385823,11,1.646044
19.086943,8,1.685681
14.923933,9,1.727381
13.532406,9,1.770484
13.780018,13,1.834721
10.103735,6,1.863756
13.801893,6,1.893042
8.784704,6,1.923516
6.954483,8,1.96478
13.876259,6,1.994122
12.351241,6,2.022719
16.9129,5,2.046251
8.601216,9,2.095298
12.364003,6,2.127043
8.06694,13,2.190604
10.20329,8,2.233885
16.010405,11,2.287507
17.940876,6,2.31626
9.279126,15,2.391102
15.096241,7,2.426613
6.849429,6,2.456856
11.716598,11,2.51042
16.46354,7,2.545806
11.834911,19,2.639894
6.158381,6,2.668633
18.53445,13,2.730341
10.961802,12,2.786317
15.100709,16,2.865427
13.988536,11,2.917759
14.394061,8,2.955742
4.533553,12,3.014865
10.886719,22,3.121317
17.203322,10,3.174657
12.912698,12,3.23326
12.191959,9,3.280111
18.372959,12,3.345468
16.235135,9,3.390746
11.824913,13,3.454397
18.806876,10,3.506119
16.807473,13,3.57145
5.180074,13,3.638795
11.170343,15,3.716538
14.521857,10,3.766229
8.863493,9,3.811326
15.82433,8,3.851345
12.475686,11,3.906409
16.365027,8,3.94801
14.255318,7,3.98179
7.878388,15,4.058646
19.475255,10,4.109947
6.981935,13,4.177262
15.890172,7,4.21499
14.499077,11,4.271345
11.743611,11,4.328279
10.385915,13,4.395376
10.606041,10,4.449458
8.983145,10,4.501571
11.385729,6,4.530674
9.421734,11,4.589199
10.347545,9,4.635249
10.113897,10,4.685817
15.311809,9,4.732375
16.027216,11,4.789589
12.542515,5,4.813553
16.354356,12,4.872631
11.086221,14,4.94364
14.99271,12,5.005119
13.753739,10,5.058848
12.337367,7,5.095839
13.401939,15,5.176743
13.67987,7,5.213117
14.401339,12,5.27731
7.721516,7,5.31264
15.350062,8,5.353488
7.372968,15,5.431998
10.831411,5,5.456841
15.127067,12,5.518953
7.221172,12,5.581484
8.274765,12,5.646964
13.6472,9,5.692774
12.260227,9,5.740442
12.997289,6,5.770367
18.782142,9,5.815655
6.729849,9,5.859133
6.276968,14,5.929476
11.933547,6,5.959034
13.975975,5,5.985354
11.969641,11,6.040778
14.440807,13,6.108429
13.956932,17,6.196527
-0.238518,20,6.295762
15.216155,8,6.336965
16.071676,9,6.386067
12.019234,7,6.422921
10.460754,13,6.490035
15.448964,8,6.53068
14.857171,10,6.582145
4.545847,13,6.651818
3.340128,13,6.71669
15.233523,9,6.765255
17.559559,10,6.819242
11.193236,8,6.865129
12.221329,7,6.905307
16.31583,12,6.977623
7.178902,16,7.073403
12.552826,6,7.111192
10.447317,11,7.175391
17.577858,12,7.249398
9.958167,9,7.30369
12.99351,8,7.350698
5.401352,12,7.421029
0.5899,13,7.496549
8.438105,13,7.569164
16.413151,8,7.613141
12.95569,5,7.640073
15.417607,7,7.676133
14.281248,7,7.712337
17.238443,17,7.795903
14.99332,9,7.84211
18.959526,8,7.881927
10.683554,11,7.938385
11.431321,14,8.008779
13.283497,15,8.086488
11.040769,8,8.128312
15.269322,9,8.174398
3.977653,14,8.247194
14.153433,9,8.292644
7.570206,12,8.356273
11.853804,12,8.41815
13.420053,6,8.447699
15.793263,11,8.503968
15.453295,13,8.571789
17.754312,12,8.631655
13.353303,18,8.718368
11.593414,10,8.766706
6.933015,13,8.830227
16.24683,19,8.925883
13.85294,11,8.979936
10.763617,11,9.035382
3.538491,10,9.083803
9.709151,7,9.118633
7.994138,11,9.174894
12.499749,5,9.201744
12.611593,8,9.242595
5.385352,11,9.298645
10.036618,9,9.343577
19.878911,7,9.379203
17.785671,16,9.459699
20.979567,8,9.498566
10.393906,16,9.578067
9.452372,8,9.622272
2.500258,11,9.677156
12.551418,8,9.717273
2.458472,11,9.774246
11.972554,8,9.816095
4.818541,17,9.901327
14.974167,9,9.945436
8.646345,8,9.986745
10.2609,17,10.073299
9.824841,10,10.125734
10.195527,11,10.178634
17.403615,10,10.228741
14.617392,8,10.269328
17.585918,18,10.360825
15.485731,9,10.403561
4.722914,14,10.474482
14.025007,7,10.509148
16.137243,12,10.570791
0.285778,18,10.660205
14.012227,20,10.760907
11.857278,13,10.824618
-5.882284,23,10.940605
12.845974,9,10.986632
-0.22201,15,11.064229
19.690909,14,11.138377
8.110273,6,11.169563
12.33325,9,11.217764
17.485883,11,11.275501
5.475152,24,11.397209
14.091923,9,11.44289
10.91082,12,11.501689
8.022768,8,11.541635
9.42914,13,12.287162
14.94841,11,12.345623
