# {"t_start": 1553035894.0510619, "env_id": "HopperBulletEnv-v0"} 
r,l,t
15.835462,7,1.433724
13.930403,9,1.482622
11.202761,7,1.520309
17.080589,11,1.578904
13.913211,9,1.628167
14.065161,11,1.682823
17.789156,17,1.771619
9.035844,14,1.84024
16.211848,13,1.904505
11.672491,5,1.929984
12.536288,15,2.002132
12.447273,7,2.03483
-1.733789,21,2.140958
18.945106,7,2.178879
15.180875,10,2.230246
11.007774,8,2.270093
15.921862,6,2.300862
14.439404,5,2.327477
17.032581,8,2.36745
13.766821,8,2.408636
13.248824,9,2.450811
14.514177,11,2.502054
16.596344,7,2.534562
5.432774,15,2.605623
10.8981,9,2.649433
19.676801,14,2.715925
12.370084,7,2.749245
18.277322,9,2.791921
2.512551,10,2.841101
14.922341,9,2.890162
3.713638,13,2.954344
11.095175,11,3.006918
14.973306,6,3.034769
13.47021,7,3.06756
12.862024,6,3.098474
8.149297,16,3.174844
12.259376,13,3.237832
13.774157,13,3.301751
10.835875,9,3.349217
17.614038,10,3.402142
16.194965,9,3.448212
14.485858,9,3.494168
18.7662,15,3.571778
15.465701,8,3.61319
15.065273,13,3.683332
22.412509,18,3.775774
14.224273,17,3.862067
10.519472,10,3.914523
7.086739,10,3.966925
11.967803,10,4.01798
12.896186,8,4.060097
14.213135,14,4.134684
7.388003,11,4.188389
11.032912,9,4.234096
15.134727,7,4.268133
12.415763,12,4.330183
12.63695,10,4.379957
13.957134,8,4.41943
14.244568,10,4.469993
15.227545,14,4.539724
14.528763,6,4.569664
17.49452,14,4.638385
21.134873,15,4.716205
8.262102,16,4.796284
11.556444,11,4.851746
15.075089,16,4.930815
8.629433,6,4.961369
12.876619,9,5.006905
12.606853,7,5.043598
9.476596,7,5.078997
13.517456,7,5.114974
15.127224,6,5.146173
6.491866,6,5.176818
10.545658,6,5.209097
12.734034,7,5.24277
14.907333,5,5.268216
8.947616,10,5.319775
11.795003,11,5.37747
5.930359,11,5.43297
8.492087,16,5.513439
12.370105,5,5.539885
17.782996,6,5.569489
11.608826,8,5.610547
15.764261,10,5.663208
13.395241,10,5.715495
19.01526,15,5.794851
12.735979,13,5.861019
19.34971,10,5.911062
12.316975,8,5.952042
7.725394,25,6.080905
15.816528,9,6.127767
10.778651,9,6.17313
14.382536,20,6.276279
9.761718,14,6.347715
12.175813,9,6.393527
15.914529,6,6.424713
13.38939,5,6.451215
13.058096,7,6.486954
17.410659,10,6.53716
16.344429,11,6.592287
12.506109,7,6.629396
12.373289,8,6.670517
11.648889,10,6.723072
13.450642,10,6.777437
15.165309,15,6.859665
14.681873,15,6.944316
18.665848,15,7.03134
13.900478,10,7.089231
16.491696,5,7.118307
14.248386,8,7.164524
4.847958,7,7.208746
13.732541,8,7.255104
17.605711,10,7.317801
10.070103,12,7.390266
11.410529,21,7.508687
9.815834,5,7.536855
