# {"t_start": 1553150634.886743, "env_id": "HopperBulletEnv-v0"} 
r,l,t
15.835462,7,1.914604
13.930403,9,1.997872
11.202761,7,2.058881
17.080589,11,2.15554
13.913211,9,2.233802
14.065161,11,2.344766
17.789156,17,2.509248
9.035844,14,2.675338
16.211848,13,2.804021
11.672491,5,2.851489
12.536288,15,2.982738
12.447273,7,3.042301
-1.733789,21,3.22789
18.945106,7,3.290981
15.180875,10,3.374602
11.007774,8,3.445652
15.921862,6,3.495588
14.439404,5,3.542932
17.032581,8,3.609028
13.766821,8,3.681951
13.248824,9,3.763125
14.514177,11,3.858478
16.596344,7,3.922002
5.432774,15,4.058084
10.8981,9,4.140054
19.676801,14,4.25666
12.370084,7,4.318422
18.277322,9,4.397716
2.512551,10,4.486957
14.922341,9,4.566909
3.713638,13,4.679438
11.095175,11,4.766227
14.973306,6,4.815735
13.47021,7,4.881077
12.862024,6,4.929929
8.149297,16,5.083388
12.259376,13,5.197191
13.774157,13,5.308293
10.835875,9,5.379882
17.614038,10,5.467804
16.194965,9,5.540298
14.485858,9,5.623876
18.7662,15,5.753439
15.465701,8,5.817425
15.065273,13,5.930859
22.412509,18,6.098296
14.224273,17,6.255011
10.519472,10,6.337969
7.086739,10,6.421669
11.967803,10,6.505327
12.896186,8,6.578449
14.213135,14,6.706438
7.388003,11,6.802456
11.032912,9,6.884034
15.134727,7,6.947549
12.415763,12,7.065129
12.63695,10,7.153993
13.957134,8,7.222017
14.244568,10,7.3155
15.227545,14,7.443423
14.528763,6,7.49851
17.49452,14,7.636295
21.134873,15,7.773242
8.262102,16,7.944883
11.556444,11,8.07934
15.075089,16,8.228186
8.629433,6,8.278882
12.876619,9,8.363142
12.606853,7,8.422091
9.476596,7,8.480297
13.517456,7,8.538754
15.127224,6,8.582317
6.491866,6,8.630874
10.545658,6,8.686329
12.734034,7,8.743132
14.907333,5,8.788319
8.947616,10,8.875601
11.795003,11,8.97675
5.930359,11,9.064356
8.492087,16,9.202976
12.370105,5,9.247231
17.782996,6,9.298142
11.608826,8,9.36585
15.764261,10,9.459941
13.395241,10,9.548854
19.01526,15,9.674797
12.735979,13,9.7913
19.34971,10,9.879596
12.316975,8,9.950861
7.725394,25,10.177199
15.816528,9,10.255382
10.778651,9,10.33815
14.382536,20,10.522446
9.761718,14,10.644255
12.175813,9,10.717242
15.914529,6,10.770752
13.38939,5,10.822128
13.058096,7,10.886835
17.410659,10,10.97693
16.344429,11,11.071488
12.506109,7,11.136838
12.373289,8,11.207092
11.648889,10,11.295246
13.450642,10,11.390594
15.165309,15,11.515779
14.681873,15,11.632855
18.665848,15,11.758029
13.900478,10,11.839643
16.491696,5,11.884264
14.248386,8,11.953926
4.847958,7,12.020437
13.732541,8,12.089438
17.605711,10,12.175901
10.070103,12,12.280749
11.410529,21,12.465885
9.815834,5,12.508743
11.291401,6,12.55588
17.620723,9,12.633558
10.072433,7,12.697516
11.579877,8,12.761683
14.432787,11,12.873426
15.16582,16,12.998895
14.952852,16,13.140877
11.355226,9,13.240606
7.070776,9,13.341577
5.699583,8,13.440068
7.200582,9,13.517268
14.392088,8,13.58192
15.276114,7,13.647038
17.417711,11,13.744537
15.137601,16,13.88222
11.450078,7,13.942755
15.879147,13,14.059601
16.355381,5,14.107909
17.900734,9,14.185953
9.14675,12,14.291116
5.465979,12,14.404079
2.421033,15,14.538722
14.273632,12,14.63749
14.819825,17,14.784949
13.550663,6,14.83981
12.234051,10,14.921885
8.160426,11,15.018017
13.365852,14,15.131939
14.153534,12,15.239576
17.409364,6,15.292922
15.198757,9,15.369015
16.893472,13,15.486347
16.610464,8,15.555183
17.271694,6,15.600227
10.60423,10,15.691299
11.542548,8,15.754097
15.815895,10,15.836915
18.81784,16,15.953722
9.162794,6,15.998167
12.960203,6,16.04583
16.52092,15,16.161948
12.942278,5,16.19704
13.765559,8,16.260707
14.189869,12,16.343664
10.378238,9,16.408999
18.337835,7,16.463032
15.807697,13,16.552571
14.977727,26,16.735636
16.691136,8,16.791838
19.551086,8,16.851798
3.301067,18,16.978099
10.105194,6,17.021606
17.398601,17,17.143119
17.335535,8,17.202759
17.546827,14,17.297802
14.704673,8,17.352469
11.864015,10,17.427014
7.766778,11,17.505919
5.612515,10,17.576552
8.896253,14,17.673178
16.167891,11,17.750545
8.994881,17,17.859451
12.259638,9,17.918325
6.723961,19,18.058464
12.023209,8,18.120077
9.975397,10,18.184406
15.763395,11,18.261137
11.638754,6,18.304566
13.545684,15,18.414013
9.513774,11,18.498329
15.442611,16,18.648532
11.394879,8,18.722031
15.332904,14,18.843014
11.108325,12,18.926269
12.400486,13,19.0179
11.807693,13,19.113555
11.330022,13,19.204941
7.934011,14,19.308551
13.499539,6,19.34958
16.35121,11,27.616965
14.402085,12,27.719615
14.766707,12,27.818079
13.924559,6,27.875946
13.727312,12,27.975305
13.118077,9,28.04879
14.565332,7,28.107052
11.736189,13,28.21758
13.916409,6,28.2642
0.554007,17,28.403464
11.289877,6,28.454082
15.895569,21,28.632077
15.831273,14,28.761452
16.34282,9,28.844234
14.40007,9,28.931025
13.901206,10,29.021993
14.239887,7,29.088218
15.562882,9,29.169086
13.838535,9,29.247986
8.373372,9,29.349139
16.999495,10,29.464347
16.659,8,29.549138
11.241696,7,29.614825
8.411871,5,29.660476
15.542436,8,29.731652
16.570734,9,29.809477
14.32316,10,29.894813
13.952249,10,29.983961
14.046854,7,30.050984
-1.056908,26,30.278623
17.470522,14,30.402275
17.936098,11,30.493263
15.586345,8,30.558696
11.678405,7,30.610625
10.833986,7,30.672706
9.595182,5,30.717373
7.82645,8,30.78164
16.684581,9,30.865986
13.770102,8,30.947346
14.59904,19,31.123121
15.567106,9,31.217712
14.789661,19,31.380934
13.357269,7,31.439885
9.428786,8,31.511024
20.13897,18,31.658823
21.751373,11,31.760043
8.409973,5,31.803216
21.611988,14,31.929325
22.641017,10,32.02226
-1.058602,12,32.129976
14.743105,6,32.186875
8.365944,10,32.279771
8.47482,11,32.378179
