# {"t_start": 1553150567.2230396, "env_id": "HopperBulletEnv-v0"} 
r,l,t
17.73915,9,1.454826
15.978348,9,1.506224
14.398441,9,1.557817
16.614958,14,1.635213
13.171398,19,1.739725
16.074447,15,1.82183
15.340427,8,1.865269
11.808912,8,1.908215
6.691343,7,1.946003
19.613486,8,1.989067
10.83941,6,2.022038
14.467947,8,2.066331
13.137601,7,2.104038
9.729569,7,2.144762
16.230105,12,2.206838
14.054826,6,2.240078
15.642826,7,2.27693
16.731108,6,2.308468
-3.065921,14,2.383392
16.808644,15,2.458333
5.762554,9,2.503318
8.715949,14,2.574956
5.761782,5,2.604225
13.591851,6,2.636805
10.461373,7,2.67203
17.37376,9,2.717444
8.804911,21,2.824853
10.302656,9,2.872374
15.760652,15,2.945398
13.029144,6,2.974935
12.177193,8,3.016622
6.608876,18,3.108823
15.707784,18,3.198572
17.220874,6,3.228214
12.050426,8,3.267867
8.096111,12,3.329678
16.487022,7,3.365499
12.482368,6,3.396105
14.958907,10,3.44672
16.67299,7,3.483639
12.189108,5,3.509365
9.412154,9,3.555381
16.957158,7,3.592058
18.292069,8,3.632918
13.635678,13,3.699022
10.785109,9,3.742447
17.316226,8,3.782985
12.127533,9,3.828697
18.046806,14,3.8995
13.837093,12,3.959514
7.867253,11,4.017056
6.478955,10,4.067472
15.780603,16,4.14832
15.599272,8,4.188593
15.731311,7,4.223861
18.227049,10,4.274585
12.614321,14,4.346775
17.277354,10,4.398218
15.407795,13,4.466012
16.807242,5,4.492768
14.587484,9,4.5374
13.456581,7,4.572655
9.90616,13,4.64001
7.334153,12,4.700216
20.473389,8,4.742068
13.461996,15,4.818558
10.270755,19,4.914792
11.452425,14,4.984559
10.967944,7,5.022539
12.298978,8,5.06421
1.231806,15,5.142646
17.974313,14,5.217185
16.41291,7,5.256915
15.658183,12,5.319739
21.360505,12,5.380286
17.663444,11,5.436992
21.386828,10,5.489039
17.525142,6,5.519732
12.7162,8,5.560819
18.419569,19,5.659695
16.530155,10,5.711579
5.11513,12,5.772917
9.994194,15,5.84718
5.905101,17,5.93237
15.265317,9,5.975229
12.266971,9,6.020549
17.762419,6,6.051884
-2.022428,7,6.088876
15.417548,7,6.124845
13.466615,8,6.164153
10.917054,10,6.217917
14.39123,6,6.253886
14.174056,20,6.390087
9.282456,6,6.429241
11.947325,6,6.465137
4.620563,14,6.557909
12.737602,13,6.632487
8.384258,10,6.690765
14.13246,6,6.728631
10.26047,7,6.762887
11.949054,27,6.898998
9.570113,21,7.004781
15.914857,12,7.064611
10.608448,8,7.105469
13.401388,6,7.137519
12.535952,6,7.167455
8.35991,7,7.201571
15.743443,5,7.22691
17.870062,9,7.273401
19.699378,14,7.346337
12.533365,10,7.397053
14.934519,14,7.467216
13.620202,6,7.497966
15.596126,10,7.551368
4.893261,12,7.613302
17.646697,7,7.6494
17.915188,7,7.686124
9.6793,13,7.753081
8.86007,7,7.789715
15.489214,6,7.822495
13.494254,8,7.860741
11.706269,10,7.91173
16.178768,8,7.952893
13.16995,7,7.987377
14.935757,5,8.011934
6.626233,16,8.093431
14.104519,18,8.184647
13.937006,10,8.23475
17.725834,9,8.281364
9.868835,14,8.352655
12.793779,6,8.384836
12.622557,9,8.429324
13.372024,8,8.472442
14.514613,8,8.51412
12.31864,5,8.540409
12.463199,9,8.585143
14.619612,12,8.649474
18.044922,17,8.737024
15.031867,7,8.771492
14.162051,7,8.807703
13.112912,13,8.873041
16.396751,11,8.928165
17.983862,16,9.009637
12.57373,5,9.03602
3.954506,6,9.06668
15.909415,8,9.107719
14.761529,11,9.163453
11.988594,9,9.209809
14.796444,11,9.26737
16.609085,14,9.337752
3.828201,11,9.394333
17.824886,9,9.440557
14.830949,11,9.496068
12.750193,6,9.526364
12.057204,5,9.554398
14.378964,6,9.585125
15.724342,9,9.632395
17.71567,13,9.699129
10.602436,8,9.741172
7.769241,10,9.792822
14.484126,14,9.865864
0.789068,12,9.928446
0.848323,18,10.019079
-1.171687,13,10.085001
16.737506,6,10.116143
16.039897,10,10.171601
13.314798,8,10.212862
8.510732,12,10.275276
11.834641,13,10.342065
13.143143,12,10.403862
9.083895,10,10.453469
13.444423,9,10.50056
6.119888,6,10.53058
12.670077,12,10.592983
11.720353,7,10.62953
3.05099,13,10.697363
11.58526,5,10.725335
7.031062,12,10.789986
18.019272,11,10.849503
7.302158,13,10.916216
11.977891,12,10.978942
14.194536,9,11.024444
9.723146,17,11.112609
13.510249,10,11.166104
17.226752,19,11.263057
14.170795,6,11.292756
14.621994,13,11.357702
9.525892,5,11.384718
13.783427,5,11.409317
13.64521,7,11.447075
14.344711,13,11.512429
16.327486,6,11.544615
15.849279,5,11.57103
15.401832,6,11.609158
16.3656,9,11.671645
13.545449,8,11.72319
17.555358,10,11.789985
19.270686,13,11.877841
13.603352,7,11.912899
10.747681,17,12.001207
15.981252,14,12.072863
13.9842,6,12.10524
14.729309,12,17.894527
12.804382,7,17.931311
12.614733,9,17.977416
12.237475,7,18.0127
16.655468,11,18.070864
17.463182,19,18.168279
13.404793,6,18.200377
18.617918,6,18.230995
