# {"env_id": "HopperBulletEnv-v0", "t_start": 1553197442.3758945} 
r,l,t
18.003887,7,2.794151
6.393298,13,2.861451
10.862881,14,2.934424
15.822923,6,2.967099
9.951266,13,3.029235
17.486763,9,3.074721
13.447784,5,3.100701
13.971418,7,3.135954
16.084992,6,3.167184
5.85599,9,3.211659
10.249475,6,3.242656
12.995107,19,3.341535
11.754724,8,3.382756
12.319035,10,3.433001
18.446033,7,3.466804
3.381827,13,3.53048
10.377636,9,3.575521
14.316504,7,3.625229
12.98769,9,3.672612
17.312434,9,3.71882
13.223773,9,3.766829
17.858454,14,3.849745
16.680444,8,3.889511
12.197648,9,3.93428
11.076301,7,3.971815
18.87963,6,4.002603
15.827635,9,4.047068
12.417559,10,4.096974
5.792729,18,4.186137
8.462751,13,4.252604
15.238882,7,4.286299
2.763439,19,4.387585
14.772261,6,4.422456
14.162612,9,4.469506
17.774731,10,4.519428
8.469741,6,4.548973
17.919784,11,4.604254
15.847689,13,4.6717
16.990918,9,4.716565
15.438258,5,4.743117
14.697776,7,4.779011
11.715486,11,4.834415
12.782059,7,4.870847
6.037717,12,4.932248
17.36793,6,4.963562
17.662531,7,4.998184
13.306068,8,5.034647
12.136702,11,5.085901
11.018576,10,5.131662
9.107706,13,5.198562
13.481858,14,5.26542
14.312309,11,5.321022
8.862933,11,5.378262
17.331909,11,5.442843
11.637053,9,5.487796
6.287859,14,5.559827
16.408196,9,5.604263
12.991969,9,5.647419
9.106848,11,5.701357
13.157674,5,5.726373
1.996505,11,5.779111
12.143468,9,5.823482
18.16848,9,5.868235
12.207897,10,5.918869
12.455057,9,5.963614
17.678094,8,6.001786
7.922519,25,6.123114
11.124359,9,6.165813
7.326063,13,6.229727
12.714204,9,6.272495
16.867338,9,6.317363
14.282763,8,6.356688
17.700138,12,6.413481
15.375819,9,6.456656
14.727069,10,6.505547
8.580034,13,6.570824
13.822836,10,6.617289
14.226655,7,6.648651
13.062656,5,6.675072
9.924403,10,6.723595
15.952525,7,6.755371
12.900701,8,6.794848
15.615951,18,6.882016
13.195439,7,6.918054
13.02302,10,6.962747
14.722106,5,6.985034
16.621806,9,7.021724
12.423383,17,7.095788
13.515552,11,7.141449
7.107523,17,7.214005
14.660915,6,7.24069
8.007893,14,7.298182
15.081455,9,7.337639
15.803494,10,7.380013
10.184114,11,7.427596
9.642703,13,7.481651
18.370772,13,7.537544
18.531281,6,7.561199
13.150415,12,7.612293
11.782691,8,7.647867
7.985751,12,7.697539
12.576054,10,7.73996
15.602831,9,7.777392
10.6846,12,7.82838
15.082174,9,7.866429
9.702977,7,7.894654
16.086585,6,7.918902
17.456681,9,7.95854
12.004498,22,8.053566
19.202039,9,8.090433
11.02242,12,8.142012
16.895577,11,8.190447
17.347953,15,8.251631
12.467163,5,8.272245
7.210967,12,8.32322
8.94066,16,8.389225
13.291339,7,8.419742
10.987882,15,8.48119
15.177274,11,8.528122
8.69316,20,8.612958
11.704379,9,8.653247
15.387605,8,8.689129
13.708038,7,8.718791
8.033078,11,8.766665
9.419295,11,8.814562
15.4858,7,8.842484
12.288773,25,8.957308
15.214485,10,9.002008
17.355473,9,9.041582
8.62991,6,9.068832
12.986043,6,9.093964
15.767268,7,9.122891
18.425972,9,9.162566
17.542933,13,9.22259
16.248682,11,9.270025
13.107212,8,9.303752
13.999194,12,9.359022
13.57388,12,9.417301
4.933258,14,9.480455
17.990936,17,9.554005
9.776381,7,9.584047
19.458965,13,9.640333
7.762068,18,9.717967
13.467933,7,9.750662
13.233888,9,9.79375
9.180204,14,9.854649
6.416408,12,9.907957
-1.013799,23,10.004657
13.530257,9,10.044001
8.112307,23,10.141375
14.075096,6,10.165897
5.938434,13,10.221811
16.454505,13,10.27719
13.586933,7,10.306139
15.64797,7,10.336304
14.226449,17,10.408669
13.517124,12,10.460205
17.286504,7,10.490193
17.432982,12,10.53993
10.502993,7,10.57047
13.819942,7,10.599894
13.307217,14,10.659786
8.861692,11,10.70787
20.103218,8,10.741937
11.91557,7,10.769524
15.06489,7,10.798934
12.078192,7,10.828324
18.289726,7,10.860236
14.861648,19,10.941604
10.990539,7,10.97152
12.756558,17,11.042863
15.143286,9,11.083338
10.384248,11,11.130414
6.615754,13,11.183687
17.254124,7,11.21498
17.912879,12,11.266445
14.793486,7,11.294902
14.335543,23,11.389999
16.2931,11,11.43874
11.955796,5,11.459001
6.28034,16,11.526416
12.118108,10,11.566886
1.580893,18,11.642872
11.334919,10,11.685897
16.415556,7,11.713391
10.272162,10,11.757444
14.638883,14,11.820071
10.903722,19,11.904346
6.608164,7,11.933634
15.672444,5,11.956202
12.582331,11,12.005635
0.25791,9,12.04594
14.145112,6,12.071332
18.103033,16,12.137936
11.495753,5,12.159873
14.099184,13,14.324041
11.830462,12,14.375865
5.555197,17,14.451363
17.174509,8,14.485718
14.056949,15,14.549461
12.686618,11,14.599448
12.636659,6,14.627546
16.377712,6,14.654279
15.274055,5,14.675885
9.804589,8,14.719768
16.784235,9,14.759767
10.696893,6,14.786066
12.854732,6,14.811278
12.192521,7,14.840649
12.006915,12,14.895818
15.736635,15,14.963783
11.246512,10,15.010571
15.368796,8,15.048804
17.009316,7,15.080922
11.580628,12,15.134577
13.566514,8,15.169214
18.237024,10,15.213453
15.371991,10,15.257172
18.976352,18,15.334897
15.251505,17,15.408868
14.477655,9,15.447323
14.956581,6,15.473311
15.474302,12,15.524233
14.639945,5,15.552372
11.696745,14,15.613039
10.134484,14,15.674608
14.899812,7,15.704352
11.189191,17,15.788467
13.498712,26,15.900441
16.011536,15,15.963519
9.808665,8,15.998122
17.703222,17,16.06952
20.266381,20,16.15403
12.338491,10,16.198498
21.952932,22,16.291864
17.841861,8,16.324818
17.394234,12,16.377005
13.655744,13,16.433152
14.615557,7,16.461787
17.348408,11,16.506518
11.034675,7,16.536815
14.082535,6,16.563515
15.066688,8,16.600159
15.330824,21,16.689702
13.22751,6,16.718149
16.464468,6,16.743714
14.098137,6,16.769151
7.25431,7,16.799256
15.859362,15,16.862738
13.033662,10,16.906926
18.383903,8,16.941373
13.526211,8,16.976442
8.721935,8,17.010458
12.95113,7,17.040725
11.761392,6,17.067607
12.384129,8,17.099654
16.252469,5,17.121884
8.642552,6,17.147453
11.24812,5,17.168956
14.459959,13,17.224099
11.526315,12,17.274211
16.761291,9,17.312092
10.627767,7,17.341115
15.021667,10,17.383005
17.268467,9,17.422263
15.602759,9,17.458749
14.369983,5,17.47986
3.530936,13,17.534826
12.424178,12,17.586643
4.242245,28,17.703098
21.061017,13,17.759205
14.855641,10,17.812814
6.216286,16,17.879244
17.85993,10,17.921284
17.688821,9,17.95804
15.925764,7,17.987437
11.899437,11,18.032599
14.357057,7,18.061455
14.740833,7,18.090258
8.641771,21,18.178896
21.230427,16,18.244745
13.243928,13,18.302482
9.741431,8,18.33611
12.299456,12,18.386398
13.748344,6,18.411177
13.543819,8,18.445358
