# {"env_id": "HopperBulletEnv-v0", "t_start": 1553197476.7664754} 
r,l,t
11.535923,8,1.164585
12.169431,14,1.241047
12.242542,15,1.346756
15.864879,7,1.404523
14.570999,13,1.497615
8.912864,6,1.540723
12.921074,8,1.597886
3.641385,16,1.725604
13.385594,9,1.794523
12.540531,20,1.943596
8.207735,12,2.034895
9.136885,15,2.149033
8.053531,8,2.211458
8.194291,11,2.303779
15.63159,6,2.360144
14.695194,9,2.439442
9.101374,18,2.583917
17.45665,23,2.769196
11.594547,9,2.837659
-1.426138,12,2.936027
14.78847,10,3.018148
15.243316,6,3.069588
14.202977,11,3.164726
14.16113,8,3.224836
10.805838,12,3.314006
5.198582,10,3.394187
13.846651,5,3.439805
17.610188,8,3.503069
17.137818,7,3.553677
15.553627,13,3.652421
15.84104,7,3.69986
17.290339,13,3.801974
11.216428,5,3.845533
9.187762,9,3.9159
14.720389,12,4.008243
12.897524,11,4.09225
14.181181,9,4.164543
14.386219,8,4.232434
14.055223,16,4.3531
11.620607,11,4.444095
13.139839,6,4.499773
13.895274,9,4.568266
19.662394,13,4.667724
18.522323,9,4.742564
9.994363,14,4.852575
17.289675,14,4.96489
19.44897,14,5.077683
10.297251,15,5.196321
14.743668,9,5.272309
8.066866,13,5.374879
13.740226,17,5.510045
13.316623,12,5.602053
12.60273,18,5.740329
13.49526,7,5.792747
11.88163,5,5.829001
11.509198,9,5.899698
16.303294,11,5.992806
4.864535,16,6.113739
8.759748,9,6.188944
17.131122,13,6.295087
12.971379,6,6.345614
15.036495,17,6.484782
14.189659,10,6.567497
11.765852,12,6.659542
15.857668,10,6.745527
13.469261,7,6.79299
13.927025,6,6.843498
17.702651,7,6.909273
12.415283,11,6.993118
16.829474,14,7.103934
13.357365,7,7.152599
15.138704,7,7.210179
10.504987,13,7.312531
-1.46205,19,7.464264
12.569984,7,7.522461
13.37892,10,7.601183
13.183383,8,7.665357
11.851496,14,7.77336
5.139119,10,7.847764
20.055201,13,7.939083
12.656866,6,7.989249
13.597307,10,8.05358
14.6176,9,8.119404
6.846972,23,8.302259
11.492022,10,8.388102
6.223939,8,8.449867
10.263655,9,8.51338
10.324233,12,8.604612
14.273797,8,8.674124
12.249374,12,8.761594
14.734514,13,8.86249
5.284617,7,8.915699
12.420951,8,8.976444
10.064063,15,9.09665
13.253313,12,9.183519
19.160877,8,9.252604
13.451893,9,9.324224
10.538026,13,9.425568
10.972914,5,9.461267
14.269742,15,9.586399
13.242325,19,9.727874
11.373082,9,9.794585
10.958803,15,9.911647
16.002884,10,9.985245
11.434669,14,10.089087
15.244914,7,10.146017
