# {"env_id": "HopperBulletEnv-v0", "t_start": 1553116843.8667629} 
r,l,t
12.92085,10,1.447395
7.400601,15,1.5246
11.971248,5,1.551763
13.240811,12,1.61312
12.02144,5,1.637892
15.528308,16,1.71632
15.123349,10,1.768691
17.378746,11,1.822854
13.970226,14,1.890829
11.647913,13,1.951522
13.484004,6,1.98009
13.265718,8,2.023541
17.002414,10,2.074253
8.37668,14,2.148301
15.866169,7,2.188127
10.770621,13,2.258253
12.889374,21,2.372496
3.633269,19,2.474598
15.78546,5,2.505398
8.197161,12,2.569333
10.115704,18,2.663642
15.072217,9,2.715118
11.883986,6,2.746866
16.131877,9,2.793006
6.236704,5,2.818577
18.48027,16,2.90447
13.28829,7,2.943929
1.515501,25,3.081021
14.245111,24,3.210486
13.360893,8,3.252252
7.728863,11,3.314784
12.056787,11,3.372864
14.887502,10,3.424199
15.534331,7,3.460415
9.735251,13,3.527042
13.494166,7,3.564682
10.255369,6,3.596899
14.002197,16,3.684639
14.330883,8,3.727305
9.340207,10,3.782177
11.999293,6,3.815047
17.80677,8,3.857156
6.179088,10,3.909544
11.082845,18,4.004581
14.881037,10,4.055764
15.908589,6,4.086008
17.021098,8,4.126976
11.771155,11,4.184294
12.086469,14,4.260937
7.148526,11,4.318692
15.960327,7,4.359334
13.234658,8,4.402366
13.182726,11,4.459825
12.462536,21,4.569124
14.798077,7,4.604123
14.169092,7,4.642323
9.610458,11,4.70127
21.854715,19,4.804802
12.959957,8,4.84762
15.251401,9,4.894882
7.155702,22,5.012348
13.020287,6,5.044995
6.697638,7,5.08261
9.347683,7,5.116834
14.149607,5,5.144457
20.454509,10,5.195556
16.321395,9,5.241436
15.324636,9,5.28771
13.945539,6,5.321782
9.126232,10,5.374614
17.979416,9,5.420262
15.506985,11,5.477483
13.801898,8,5.51872
16.118994,6,5.550098
11.68566,7,5.586185
18.966509,10,5.636021
14.894175,15,5.714776
11.271698,9,5.760532
10.824838,6,5.794039
-0.054164,6,5.826039
15.173743,8,5.867938
15.47285,5,5.893285
15.241378,12,5.956105
14.989146,6,5.988918
18.301795,8,6.03059
18.111432,13,6.098253
16.728396,9,6.146427
13.681677,7,6.18283
13.75017,8,6.224349
12.262787,7,6.260301
3.989435,15,6.338057
