# {"t_start": 1553116882.8663943, "env_id": "HopperBulletEnv-v0"} 
r,l,t
13.774242,9,2.080582
12.683145,10,2.211351
10.855986,16,2.40462
13.929563,6,2.482911
15.255239,5,2.540316
15.451866,10,2.668479
16.305633,13,2.835139
11.838508,7,2.913614
6.312971,14,3.070094
8.465524,15,3.247253
10.863811,7,3.32607
4.433091,12,3.454287
11.903883,11,3.563584
8.032081,7,3.641675
15.68345,6,3.711238
9.918093,11,3.835913
-0.391566,10,3.966306
14.187042,7,4.057045
15.534923,6,4.127302
7.837997,19,4.354449
6.96417,6,4.418841
9.147375,16,4.621415
18.693727,8,4.72288
17.460815,7,4.795695
3.459409,16,4.993276
15.689133,7,5.075352
4.117944,11,5.208209
15.150534,5,5.268694
10.647045,10,5.388407
16.599249,13,5.561888
14.229835,5,5.632143
27.125865,26,5.966939
6.74017,11,6.091926
8.129588,12,6.247342
12.350391,15,6.426229
16.329769,7,6.51529
2.312546,29,6.871875
17.342541,10,7.005451
19.241547,11,7.146248
15.157843,10,7.265615
12.412823,9,7.38256
14.628547,11,7.516977
16.307889,6,7.593876
11.705895,11,7.734525
9.876613,6,7.802367
13.63264,10,7.917624
13.723867,10,8.045651
16.421506,8,8.142876
10.844776,10,8.277552
11.515995,7,8.357192
18.40211,16,8.560116
12.898001,8,8.664215
16.366123,7,8.746953
15.203014,16,8.943275
16.847576,6,9.016984
14.416503,8,9.107101
10.131082,6,9.173196
14.919753,10,9.284992
8.882792,10,9.393679
8.948643,18,9.613603
6.036453,13,9.76497
15.683207,7,9.857325
11.834804,7,9.943151
12.430731,7,10.020313
13.759254,7,10.111014
12.374075,7,10.198275
22.569189,13,10.358114
15.747347,7,10.454221
9.875068,11,10.594578
12.419001,11,10.72551
12.067119,16,10.926517
16.799126,15,11.102683
13.216772,9,11.205873
15.707857,8,11.309719
13.477822,10,11.436192
14.217082,14,11.606864
11.474629,12,11.753829
4.384512,17,11.967794
9.314303,9,12.084934
6.510942,7,12.16498
14.75471,6,12.232124
19.886272,13,12.38742
13.30987,9,12.493304
16.503721,11,12.626515
14.419586,8,12.721878
10.03649,18,12.930765
20.700768,18,13.145511
17.137943,7,13.231384
14.824186,8,13.325843
11.495862,10,13.421671
19.295518,19,13.642053
17.535488,14,13.804696
15.698845,7,13.898422
16.393277,12,14.039021
15.822772,5,14.097141
15.03024,10,14.216865
13.651538,13,14.397478
10.845991,12,14.550867
12.940378,15,14.732276
17.531016,9,14.841037
13.761476,13,15.011185
11.242911,9,15.108992
17.058644,10,15.218768
17.699705,6,15.285407
16.968099,8,15.375502
8.041388,23,15.632309
15.216257,6,15.701109
4.469685,13,15.850782
7.175344,8,15.950299
12.255212,7,16.031606
13.016591,8,16.137998
12.38744,6,16.211493
7.334776,29,16.574096
16.974482,10,16.687111
13.261304,14,16.843894
16.842788,11,16.971166
12.716479,12,17.106918
24.856192,26,17.375625
16.275214,12,17.512974
11.67093,9,17.606931
14.998027,11,17.730363
11.409179,6,17.797415
-1.786732,10,17.902834
12.971103,6,17.966661
18.755808,9,18.045259
2.006271,15,18.239883
8.992752,10,18.357195
13.87185,10,18.471455
17.077328,7,18.557822
16.09037,11,18.699374
16.737198,11,18.826044
16.268546,8,18.945133
17.930045,11,19.06421
10.533858,6,19.149048
10.192418,13,19.302667
11.283988,11,19.419968
12.794347,10,19.532619
12.302999,8,19.621308
16.430877,8,19.716244
12.748612,8,19.802481
15.839528,10,19.932702
10.791258,6,19.992403
19.497801,8,20.087574
15.877559,6,20.165889
13.970121,11,20.29056
3.628181,7,20.370829
12.383806,10,20.486866
16.535678,6,20.559402
12.962654,9,20.670444
13.079583,6,20.738593
11.645235,11,20.879638
11.92333,8,20.981102
16.267877,9,21.100431
12.104477,7,21.177945
15.840792,15,21.344149
7.225772,6,21.41204
12.402558,6,21.48042
13.111912,6,21.548501
16.238939,13,21.701147
14.376466,11,21.821588
14.059435,10,21.934061
11.429027,11,22.054005
12.359566,8,22.148169
18.073333,11,22.283162
15.324908,8,22.366452
10.043577,11,22.500674
10.926347,13,22.649167
6.792609,26,22.964691
13.027828,10,23.075058
11.899652,7,23.159818
15.105191,8,23.247048
17.784621,11,23.376435
3.751479,10,23.492358
20.148417,19,23.715675
15.465601,6,23.777944
11.726898,20,24.011898
14.016858,9,24.1098
16.446904,15,24.291693
15.091257,8,24.371309
14.048696,10,24.514139
9.034473,9,24.611973
8.322321,10,24.729411
13.53838,14,24.901808
10.918752,11,25.030121
16.477993,5,25.095115
9.968686,19,25.32651
8.697192,15,25.499651
13.882806,9,25.605535
11.50636,12,25.736448
14.614445,6,25.809462
10.503612,11,25.940198
14.373261,22,26.176487
11.795807,5,26.223258
18.29383,11,29.381029
