# {"t_start": 1553110790.8361132, "env_id": "HopperBulletEnv-v0"} 
r,l,t
13.451785,6,1.586118
17.05392,9,1.630409
13.345703,6,1.659036
9.571708,6,1.687862
16.295869,6,1.718672
12.010301,8,1.759106
15.172459,18,1.845685
15.408143,6,1.876108
14.297192,15,1.944797
17.552737,7,1.978625
18.849982,14,2.042931
11.13105,9,2.084588
14.011577,7,2.119039
12.786094,10,2.167991
18.00608,11,2.219461
11.160279,8,2.256729
11.729599,8,2.293457
6.261878,13,2.355616
13.048084,11,2.405534
13.043811,6,2.432546
12.372868,15,2.499927
8.671935,13,2.558536
10.537513,6,2.583966
16.585633,12,2.63608
1.679122,39,2.806743
19.252661,8,2.842273
12.385755,8,2.878629
11.557987,13,2.937748
21.06883,8,2.97423
12.226338,12,3.03908
15.438611,17,3.131262
9.012041,19,3.22853
13.406715,7,3.261838
3.134035,12,3.323015
11.559087,9,3.373104
17.845227,12,3.43639
14.597165,16,3.520945
8.575692,9,3.564176
-0.510245,14,3.63929
5.413018,13,3.708836
17.609096,9,3.75482
10.995452,8,3.795135
12.878346,6,3.827723
9.967465,6,3.85885
13.781293,7,3.895047
11.791096,9,3.941816
13.06522,12,4.003219
17.383566,8,4.046533
10.171364,10,4.100224
6.506592,13,4.168481
11.870927,14,4.23942
4.970143,12,4.299705
16.181463,7,4.335965
15.182308,7,4.371574
16.083748,10,4.423525
4.983941,11,4.479867
7.039688,14,4.551431
11.751758,8,4.592373
10.811769,14,4.666908
10.805634,13,4.733425
12.062684,11,4.791341
10.779667,12,4.854996
-2.284973,14,4.925051
16.408464,8,4.967478
8.813053,7,5.004895
14.155646,6,5.035974
16.203145,11,5.097206
10.099399,9,5.145816
19.64698,11,5.199878
10.398257,5,5.227618
21.272976,11,5.286115
10.532552,8,5.327982
15.524552,14,5.397564
14.889422,10,5.448947
14.576297,14,5.521771
16.373511,8,5.562471
11.045946,21,5.668169
12.111884,14,5.74086
17.147992,6,5.772038
11.905437,11,5.827723
10.605943,5,5.854557
14.479045,15,5.930341
7.145844,11,5.985593
3.316812,15,6.062278
18.002195,8,6.102808
13.121111,10,6.155409
13.884265,11,6.214534
18.63339,10,6.268763
15.990576,8,6.312543
16.226412,6,6.34675
14.088095,8,6.392707
11.953038,7,6.432547
6.324769,11,6.497237
11.298168,11,6.560142
15.112622,7,6.599712
13.235464,5,6.62722
9.550691,14,6.703288
14.880302,17,6.800057
16.52084,9,6.849075
7.642894,10,6.899255
15.045172,7,6.93388
13.397868,6,6.965683
10.219464,12,7.025845
14.119797,7,7.063701
10.068337,13,7.132969
16.97357,15,7.207487
15.526623,7,7.243538
14.266956,10,7.294953
10.561058,7,7.332921
9.120538,23,7.453085
12.024896,23,7.573227
12.856106,11,7.632889
12.810616,8,7.673027
8.92813,11,7.732896
14.374931,15,7.811375
16.553955,8,7.85344
2.112607,31,8.012951
9.439617,15,8.089678
7.691354,8,8.130962
13.590912,12,8.192907
17.477282,8,8.234095
15.947438,5,8.259956
13.331783,9,8.304809
9.126986,17,8.391424
18.294787,11,8.45057
11.820888,8,8.492826
17.237942,8,8.535454
13.020177,13,8.602564
9.91277,9,8.649652
5.746049,33,8.8201
4.340292,19,8.920351
15.657749,10,8.969344
13.945796,7,9.004741
13.049784,8,9.046952
4.943259,11,9.10545
17.958295,14,9.174736
10.485327,10,9.225922
13.700888,13,9.290145
14.853756,9,9.334804
15.859901,7,9.370287
15.366353,9,9.415639
13.615828,7,9.449429
9.499552,10,9.501222
17.343729,12,9.564758
16.706487,18,9.660079
16.475728,7,9.702013
12.89744,9,9.754028
12.943304,7,9.797194
15.850991,12,9.870961
16.812486,22,10.001467
13.145898,15,10.077628
12.363578,8,10.117826
12.118959,7,10.153079
15.151171,16,10.235518
15.843402,21,10.343786
10.09096,12,10.404588
12.024031,7,10.442093
6.66954,8,10.483505
9.731623,7,10.520309
9.066763,15,10.596464
18.347966,14,10.66768
9.476503,8,10.710274
18.053502,7,10.744824
8.026194,14,10.817055
10.913266,5,10.842077
9.040961,9,10.886992
