# {"t_start": 1553110790.8283508, "env_id": "HopperBulletEnv-v0"} 
r,l,t
15.835462,7,1.588125
13.930403,9,1.631506
11.202761,7,1.665944
17.080589,11,1.720281
13.913211,9,1.766056
14.065161,11,1.817766
17.789156,17,1.899685
9.035844,14,1.96537
16.211848,13,2.024539
11.672491,5,2.048836
12.536288,15,2.121711
12.447273,7,2.155056
-1.733789,21,2.252099
18.945106,7,2.285847
15.180875,10,2.333313
11.007774,8,2.370669
15.921862,6,2.397854
14.439404,5,2.420614
17.032581,8,2.455941
13.766821,8,2.492316
13.248824,9,2.532498
14.514177,11,2.579991
16.596344,7,2.610403
5.432774,15,2.677039
10.8981,9,2.715662
19.676801,14,2.776063
12.370084,7,2.807832
18.277322,9,2.847861
2.512551,10,2.89324
14.922341,9,2.934109
3.713638,13,2.997503
11.095175,11,3.057084
14.973306,6,3.087478
13.47021,7,3.126465
12.862024,6,3.159402
8.149297,16,3.239101
12.259376,13,3.303112
13.774157,13,3.374059
10.835875,9,3.422175
17.614038,10,3.476058
16.194965,9,3.52223
14.485858,9,3.56546
18.7662,15,3.645335
15.465701,8,3.688587
15.065273,13,3.756154
22.412509,18,3.849088
14.224273,17,3.937856
10.519472,10,3.989608
7.086739,10,4.042191
11.967803,10,4.095919
12.896186,8,4.139092
14.213135,14,4.211641
7.388003,11,4.265386
11.032912,9,4.312315
15.134727,7,4.346823
12.415763,12,4.410155
12.63695,10,4.460338
13.957134,8,4.500412
14.244568,10,4.552681
15.227545,14,4.624006
14.528763,6,4.656985
17.49452,14,4.729585
21.134873,15,4.808401
8.262102,16,4.890845
11.556444,11,4.946581
15.075089,16,5.032602
8.629433,6,5.065617
12.876619,9,5.114637
12.606853,7,5.151703
9.476596,7,5.186851
13.517456,7,5.222963
15.127224,6,5.256023
6.491866,6,5.287757
10.545658,6,5.318379
12.734034,7,5.353375
14.907333,5,5.37993
8.947616,10,5.429782
11.795003,11,5.486361
5.930359,11,5.543597
8.492087,16,5.623672
12.370105,5,5.649657
17.782996,6,5.679934
11.608826,8,5.720557
15.764261,10,5.773381
13.395241,10,5.823723
19.01526,15,5.902428
12.735979,13,5.965699
19.34971,10,6.017054
12.316975,8,6.058119
7.725394,25,6.189843
15.816528,9,6.236901
10.778651,9,6.286344
14.382536,20,6.399928
9.761718,14,6.480134
12.175813,9,6.532629
15.914529,6,6.567408
13.38939,5,6.594894
13.058096,7,6.634818
17.410659,10,6.688191
16.344429,11,6.75388
12.506109,7,6.79149
12.373289,8,6.833474
11.648889,10,6.884827
13.450642,10,6.935353
15.165309,15,7.011891
14.681873,15,7.091034
18.665848,15,7.170003
13.900478,10,7.219794
16.491696,5,7.24444
14.248386,8,7.28597
4.847958,7,7.32381
13.732541,8,7.364876
17.605711,10,7.418552
10.070103,12,7.479625
11.410529,21,7.591042
9.815834,5,7.618168
11.291401,6,7.649417
17.620723,9,7.695788
10.072433,7,7.733837
11.579877,8,7.776603
14.432787,11,7.834625
15.16582,16,7.917469
14.952852,16,7.999619
11.355226,9,8.044549
7.070776,9,8.092277
5.699583,8,8.131647
7.200582,9,8.177764
14.392088,8,8.219166
15.276114,7,8.255186
17.417711,11,8.312156
15.137601,16,8.394083
11.450078,7,8.431522
15.879147,13,8.499551
16.355381,5,8.52541
17.900734,9,8.572777
9.14675,12,8.635487
5.465979,12,8.699466
2.421033,15,8.776144
14.273632,12,8.838052
14.819825,17,8.92605
13.550663,6,8.95546
12.234051,10,9.006563
8.160426,11,9.064524
13.365852,14,9.136111
14.153534,12,9.197216
17.409364,6,9.226976
15.198757,9,9.270798
16.893472,13,9.335724
16.610464,8,9.376384
17.271694,6,9.406695
10.60423,10,9.456358
11.542548,8,9.497337
15.815895,10,9.550549
18.81784,16,9.630746
9.162794,6,9.666481
12.960203,6,9.70344
16.52092,15,9.792302
12.942278,5,9.822187
13.765559,8,9.87225
14.189869,12,9.94372
10.378238,9,9.997894
18.337835,7,10.032589
15.807697,13,10.099058
14.977727,26,10.230549
16.691136,8,10.272292
19.551086,8,10.31384
3.301067,18,10.409102
10.105194,6,10.441028
17.398601,17,10.527303
17.335535,8,10.567248
17.546827,14,10.638042
14.704673,8,10.679643
11.864015,10,10.731609
7.766778,11,10.787565
5.612515,10,10.838434
8.896253,14,10.90905
16.167891,11,10.965586
8.994881,17,11.055852
12.259638,9,11.103806
6.723961,19,11.203994
12.023209,8,11.249173
9.975397,10,11.301899
15.763395,11,11.360164
11.638754,6,11.391538
13.545684,15,11.471031
9.513774,11,11.530979
15.442611,16,11.615145
11.394879,8,11.657195
15.332904,14,11.730069
11.108325,12,11.790928
12.400486,13,11.858353
11.807693,13,11.924695
11.330022,13,11.989269
7.934011,14,12.059752
13.499539,6,12.08937
17.220156,11,14.070448
17.187316,10,14.123655
20.425761,11,14.179418
9.321385,9,14.227713
12.622735,11,14.283055
16.693721,5,14.309103
17.895162,10,14.360783
15.002426,7,14.395876
14.591318,10,14.447883
3.549011,13,14.516179
15.829063,8,14.557933
12.352864,6,14.590127
13.371332,13,14.65654
15.442303,17,14.743399
11.230571,9,14.790196
16.757044,7,14.825729
15.069569,10,14.875932
17.588929,10,14.929768
13.290014,5,14.955888
20.815374,9,15.003316
16.2364,8,15.046626
11.684292,9,15.093482
16.840116,9,15.140871
16.539732,8,15.183946
15.071477,8,15.228284
9.725311,5,15.254375
16.109253,8,15.295393
16.881625,9,15.339553
13.271083,10,15.392715
15.248359,9,15.441586
15.392772,7,15.478587
14.900067,8,15.520035
3.908141,19,15.619123
17.252716,14,15.689103
14.883991,10,15.740484
17.13948,6,15.771793
15.116111,5,15.797889
15.121547,7,15.833382
12.148239,6,15.864691
0.815632,10,15.91701
10.982554,8,15.958804
11.650148,8,15.998233
18.142984,5,16.023531
15.236398,17,16.112047
15.349638,9,16.156916
14.027624,9,16.204
10.903053,13,16.269078
12.094472,12,16.332552
19.107534,20,16.436031
19.563764,9,16.481212
10.000079,5,16.50711
20.300418,11,16.565878
17.724179,7,16.602297
17.797194,9,16.649016
8.639853,10,16.699483
11.332627,7,16.73789
12.161723,12,16.801036
13.305617,7,16.837174
12.841927,6,16.86736
15.306208,6,16.897921
18.167818,11,16.956505
16.06315,14,17.027922
13.271383,5,17.053315
11.187315,12,17.114807
12.498008,7,17.149998
17.783706,8,17.191412
14.612071,12,17.252815
18.335634,8,17.293339
13.228678,6,17.323766
16.656446,6,17.354176
20.381153,10,17.405997
13.880412,5,17.431326
12.982669,7,17.467008
11.853437,5,17.493615
23.027188,11,17.549237
12.088098,6,17.581031
16.775647,9,17.626941
13.142755,12,17.687732
13.4596,7,17.724274
14.495382,17,17.810947
15.500492,11,17.868519
14.837867,10,17.920319
17.171552,12,17.981343
14.27105,7,18.018205
17.959404,13,18.084179
10.695866,12,18.144867
13.453959,6,18.175325
15.365093,14,18.246266
17.458028,7,18.283696
16.829962,12,18.344847
16.722091,7,18.380785
11.967824,14,18.454376
18.092808,20,18.554611
18.06673,17,18.642376
2.079291,14,18.714879
15.970212,6,18.744803
17.601084,7,18.780468
17.517913,13,18.844934
16.963133,11,18.901377
17.539233,7,18.936063
14.210777,6,18.96754
11.54286,16,19.053197
15.492175,5,19.079984
15.816304,7,19.115494
10.995454,6,19.146352
16.86941,7,19.18274
13.479037,8,19.223621
19.450868,18,19.316731
13.632505,7,19.353466
14.808903,9,19.400851
13.982116,9,19.447933
15.691851,8,19.488545
17.447198,7,19.526516
17.353271,6,19.557105
14.10095,13,19.62303
9.317409,12,19.685561
14.569715,8,19.727141
16.782968,20,19.829083
17.540012,10,19.88207
19.691535,15,19.961896
14.440502,9,20.007184
3.995966,12,20.067348
16.180194,13,20.135481
26.534283,22,20.245802
15.289371,9,20.291316
15.636637,6,20.3209
15.383486,8,20.362031
17.6723,6,20.393802
16.660973,7,20.430811
6.852055,6,20.461764
8.280734,6,20.491945
14.409825,11,20.549814
15.263389,7,20.58603
6.640794,16,20.667475
10.144885,9,20.713984
19.950654,14,20.784723
15.958634,10,20.835023
16.732187,9,20.882903
16.07445,10,20.934917
11.854623,7,20.972173
13.591279,8,21.013465
16.796509,6,21.045476
12.716907,9,21.092773
10.540312,5,21.119439
17.680901,8,21.162842
15.849671,7,21.200073
17.058202,9,21.249353
12.059477,8,21.292399
12.856843,10,21.345403
15.725089,8,21.389073
16.485983,13,21.460808
18.698724,10,21.514067
18.12697,11,21.574457
12.432735,9,21.621647
10.000059,13,21.692756
13.007263,9,21.740252
15.810623,13,21.807132
5.943184,13,21.87766
9.525034,12,21.941085
13.156083,7,21.979107
3.997468,8,22.022126
13.411622,7,22.060378
17.326356,16,22.146467
16.058894,10,22.199224
12.329318,5,22.227603
5.692231,13,22.295626
17.433252,6,22.32667
20.69706,10,22.379489
14.093484,9,22.428269
9.828158,6,22.461622
8.191136,17,22.554055
17.755799,28,22.703352
19.118845,9,22.752127
17.362693,7,22.789035
21.470669,31,22.958624
19.042487,15,23.039295
16.073267,10,23.091352
14.604726,9,23.140842
17.994805,8,23.183797
12.577358,5,23.211055
14.718059,5,23.238014
13.266723,6,23.269893
13.843168,8,23.311776
16.49077,13,23.380863
18.246783,7,23.418692
18.925277,7,23.455892
18.12088,13,23.527113
13.117198,9,23.574628
10.225762,10,23.629813
14.22396,16,23.713311
12.394716,7,23.751415
17.455685,9,23.800095
13.017901,9,23.847618
15.789157,6,23.880736
13.410419,10,23.932717
14.336826,7,23.970115
14.981093,8,24.014036
9.963739,6,24.046495
13.291864,7,24.08399
18.311438,6,24.116702
4.264804,9,24.165523
14.479791,7,24.203803
13.764214,10,24.255387
11.930874,13,24.32667
12.284255,5,24.353473
11.694033,7,24.39092
17.273867,7,24.428071
15.914495,9,24.479042
13.431206,13,24.548887
8.718974,6,24.580444
12.37338,8,24.623602
14.820083,5,24.648908
18.48308,9,24.697769
12.767584,6,24.730271
17.699965,6,26.660144
18.054493,6,26.691131
18.001138,11,26.748192
16.88487,13,26.815287
13.008382,13,26.883571
20.561286,18,26.976823
21.1247,15,27.051408
13.484056,7,27.088588
18.22942,11,27.146383
15.401622,5,27.170635
15.942839,6,27.202675
9.81744,10,27.256
15.723876,7,27.295124
8.548661,8,27.335762
8.961271,6,27.367245
19.34565,7,27.405668
20.263914,8,27.44856
15.948236,7,27.488572
18.303483,11,27.543917
15.324401,11,27.604013
15.253801,6,27.637357
12.798745,9,27.684005
13.282049,11,27.739835
16.633602,14,27.812962
16.737385,6,27.845043
21.525472,11,27.901279
18.106265,16,27.985682
12.926666,9,28.033877
16.597624,9,28.07859
17.600119,7,28.115483
18.249962,13,28.183904
8.990324,12,28.246644
21.086892,11,28.303885
22.609764,11,28.361138
15.476883,9,28.407915
15.782211,8,28.447427
16.877969,6,28.478907
17.743754,6,28.50968
17.465965,7,28.547035
13.316537,5,28.57401
11.506407,6,28.606797
