# {"t_start": 1553020892.1363306, "env_id": "HopperBulletEnv-v0"} 
r,l,t
13.580363,11,6.638132
11.276987,6,6.709571
20.282677,13,6.841068
7.029577,16,7.03097
12.761291,11,7.158124
15.544291,10,7.274008
11.026079,23,7.530631
7.199563,11,7.659484
10.850594,8,7.750766
16.110207,9,7.878402
14.626313,12,8.018892
6.922861,13,8.183642
15.142187,6,8.247258
14.749045,9,8.339545
12.799414,8,8.429179
13.921937,6,8.501292
11.752872,9,8.607262
20.825275,25,8.892812
16.327924,7,8.982258
10.939605,11,9.12328
12.050209,6,9.201898
8.688951,13,9.342531
13.976098,9,9.454572
12.924559,6,9.527616
14.597252,5,9.595393
12.791503,11,9.731261
16.976199,17,9.931642
17.338688,15,10.125345
13.910425,9,10.232153
13.188631,8,10.320709
15.729053,13,10.492731
16.940456,9,10.608704
8.018872,17,10.819627
12.548303,7,10.909659
10.286107,6,10.985244
14.454594,15,11.176009
6.238345,11,11.314918
22.604431,15,11.504874
11.301552,13,11.656098
10.295797,10,11.803975
14.854165,7,11.88905
7.861612,10,12.014362
13.443034,8,12.104081
10.729908,8,12.197468
7.508877,13,12.363441
16.029821,7,12.442196
12.182059,13,12.581392
13.317577,9,12.692317
8.945047,18,12.917353
8.864825,11,13.063513
14.12421,7,13.140105
13.869824,7,13.223339
8.231115,6,13.295839
14.196985,10,13.410626
6.453639,12,13.560225
14.198494,6,13.635051
10.667615,10,13.768584
11.878815,12,13.909652
16.354774,6,13.987447
12.517686,8,14.082085
18.979564,12,14.223171
17.240258,15,14.415925
11.121916,15,14.596988
4.094507,10,14.714704
13.626479,5,14.77252
13.2728,7,14.863499
15.957168,6,14.926194
13.636236,7,15.019346
11.970412,8,15.121039
18.12681,13,15.270498
14.344687,7,15.352983
15.330241,15,15.540036
13.695047,11,15.681006
6.314827,11,15.821354
12.210456,6,15.893084
11.332635,5,15.954506
8.516798,10,16.085063
18.169884,11,16.227134
-3.678046,13,16.389348
5.62706,16,16.587867
15.914589,10,16.694375
9.556533,7,16.778469
14.570516,9,16.897765
10.901663,6,16.976896
19.470512,26,17.276904
13.548618,8,17.372877
10.752424,10,17.506184
12.603752,9,17.611096
-0.707797,14,17.774506
