approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.034589335,0.15550531,10.66,12.75519046,-0.038570523262023926,800,1,4.048064,-0.028483558,2048,30.707624673843384,24576,29.245468
0.027738497,0.14314777,12.6,24.350691379999997,0.4690466523170471,902,10,2.1480799,-0.017405683,20480,280.6075999736786,245760,37.05167
0.01586958,0.08218589,40.25,67.06433233,0.6334677934646606,940,20,0.9094127,-0.0009739088,40960,546.4260258674622,491520,69.77245
0.017479,0.10431725,46.58,78.46209866999999,0.8123612850904465,920,30,0.34506485,0.00024162912,61440,812.7034316062927,737280,44.815132
0.019581443,0.124365285,59.2,92.02651807999999,0.9101038873195648,927,40,-0.30580637,0.0036162462,81920,1078.5071558952332,983040,23.279202
0.023375284,0.14885259,103.47,152.79744284,0.900569461286068,923,50,-0.7022295,0.0010295913,102400,1345.7418115139008,1228800,40.354645
0.035591178,0.23448884,280.1,312.31723137,0.9477533027529716,913,60,-0.96820515,0.0007436024,122880,1612.862753868103,1474560,18.976524
0.05680594,0.30307603,872.46,794.4180299599998,0.6668487787246704,919,70,-1.0643164,0.009526331,143360,1879.3312361240387,1720320,19.137218
0.07391982,0.35613197,990.8,886.42353428,0.0741310715675354,904,80,-1.096203,0.014278782,163840,2148.479494333267,1966080,22.276146
0.035647277,0.23787841,1000.0,894.72446958,0.043987810611724854,924,90,-1.1344103,0.006965979,184320,2416.7122213840485,2211840,22.686457
0.019881174,0.15043536,188.78,231.12023664,0.9421164505183697,919,100,-1.1933066,0.00242376,204800,2681.823616504669,2457600,11.207563
0.02422854,0.18414302,225.85,291.47963350000003,0.9576660953462124,934,110,-1.370971,0.0029580614,225280,2948.5606656074524,2703360,11.756003
0.024053404,0.19267575,313.3,386.48758471,0.8942559659481049,921,120,-1.6224678,0.0045781573,245760,3214.6894195079803,2949120,14.79744
0.02095204,0.17079677,211.73,311.83853657,0.9528989605605602,945,130,-1.9061363,0.0052683493,266240,3477.953451395035,3194880,18.539392
0.024009058,0.19870605,191.38,312.65814568,0.9579811692237854,936,140,-2.1836545,0.0059524598,286720,3736.7127590179443,3440640,25.89921
0.025017235,0.2114096,219.54,368.02653553000005,0.9295874983072281,938,150,-2.4492407,0.0077546053,307200,3996.9577896595,3686400,38.124588
0.028566053,0.23094895,188.59,336.18936976000003,0.9466326385736465,947,160,-2.6929297,0.010268139,327680,4258.046943664551,3932160,35.959663
0.029097209,0.24826257,220.66,405.6085305599999,0.9205212369561195,961,170,-2.8671067,0.012505094,348160,4515.272058725357,4177920,54.119873
0.0355644,0.28242603,248.83,453.56238383000004,0.9023307040333748,950,180,-2.9529438,0.016076727,368640,4772.262460708618,4423680,58.378277
0.02619411,0.24147956,317.38,589.5801639299999,0.8937391117215157,967,190,-3.1254725,0.01228755,389120,5029.212615013123,4669440,69.85779
