# {"env_id": "HopperBulletEnv-v0", "t_start": 1553108514.5829182} 
r,l,t
17.357082,11,2.134106
13.965301,7,2.199042
13.658588,6,2.247916
7.56829,9,2.330812
13.966326,10,2.41817
14.780694,8,2.486933
12.271239,15,2.639355
13.669938,10,2.72977
6.698683,8,2.814477
8.484072,10,2.901875
13.362379,8,2.972562
9.010289,13,3.080837
13.482458,7,3.146694
17.720594,6,3.198574
13.211589,20,3.381403
17.334812,12,3.523175
10.724592,7,3.604484
14.661681,23,3.800676
7.926922,9,3.884202
7.661733,10,3.964534
14.609988,9,4.042719
9.194762,15,4.169538
13.0522,6,4.227377
13.90445,7,4.27906
9.892233,9,4.35435
16.230094,22,4.537344
16.366775,9,4.61326
12.480055,7,4.66391
14.640316,7,4.72496
16.470038,19,4.885809
14.713035,15,5.009673
15.638272,9,5.074973
15.548965,19,5.234162
11.55275,9,5.315917
16.43652,8,5.38474
11.333967,15,5.513294
8.662607,15,5.633866
10.646926,16,5.759851
11.983497,9,5.833233
12.660888,12,5.932669
3.312376,11,6.024994
16.719346,13,6.139182
14.709003,9,6.207942
17.697555,12,6.32532
2.930291,13,6.442438
13.889726,15,6.567442
11.38724,12,6.66434
7.499862,12,6.767775
15.333546,8,6.842824
15.623188,9,6.919232
18.628389,12,7.021695
12.778757,6,7.081657
15.707304,7,7.14342
16.700459,19,7.309419
9.536321,13,7.425725
13.716421,8,7.495165
14.205223,8,7.557881
16.976915,7,7.618364
4.677634,17,7.761756
15.213892,6,7.813185
15.727094,12,7.906362
12.072099,16,8.050282
5.626245,21,8.234158
2.661163,16,8.376582
14.887022,13,8.493019
9.178428,13,8.619624
16.712265,18,8.820863
11.894142,15,8.970584
8.166906,8,9.036168
11.441669,9,9.107213
14.993864,13,9.222564
20.165275,10,9.318799
12.521579,10,9.414392
15.235049,14,9.540867
11.032686,13,9.648361
14.195818,30,9.903174
10.329103,11,9.994883
11.124175,15,10.129265
15.477113,10,10.22457
14.793732,5,10.263942
14.683187,15,10.402348
5.95283,21,10.582835
13.637607,6,10.64501
17.504065,6,10.703221
10.720376,10,10.791996
13.513686,7,10.852473
13.120016,12,10.971826
20.163009,9,11.052291
12.192896,7,11.110942
10.596958,13,11.214637
12.865248,14,11.344278
6.932479,10,11.425913
16.880104,18,11.589865
11.82601,9,11.668749
14.630358,9,11.74058
7.853423,12,11.841527
10.753557,10,11.923726
10.993127,6,11.978303
20.952999,12,12.087737
15.482402,9,12.164432
9.320894,10,12.248499
13.523854,6,12.303053
18.174461,11,12.39473
8.613915,13,12.502655
11.939006,8,12.57898
8.203687,10,12.677429
18.411415,8,12.758459
15.699166,7,12.828371
14.594643,10,12.917702
14.958515,6,12.973668
14.172121,9,13.050195
8.577307,7,13.108048
14.360491,13,13.224746
14.954665,14,13.349424
11.865528,18,13.491063
15.213086,9,13.556842
12.376915,5,13.59535
8.639975,18,13.738236
17.317658,16,13.867244
11.975788,11,13.986897
9.899059,10,14.107151
12.75755,12,14.223217
12.135085,11,14.319588
19.229364,21,14.497961
14.388905,12,14.601746
9.701438,14,14.720859
13.666669,11,14.819579
15.065037,9,14.8995
11.155752,9,14.973549
14.731677,19,15.137527
12.896429,15,15.269559
17.432592,8,15.331116
16.444297,16,15.465338
9.729747,6,15.523023
10.551875,7,15.588004
1.772358,11,15.690394
4.000044,9,15.773012
14.103438,14,15.893912
3.059102,20,16.076008
16.9935,12,16.174211
14.140034,10,16.266308
15.77423,15,16.398884
7.570982,14,16.517811
13.657856,7,16.579273
19.122065,12,16.686346
13.815491,14,16.814245
1.484911,16,16.947618
7.463916,12,17.050754
-5.083531,43,17.417936
13.507295,12,17.523773
13.924058,13,17.642617
13.184721,14,17.768408
11.881387,6,17.823586
13.08822,14,17.952016
11.66277,17,18.098271
16.122858,11,18.204159
14.326181,22,18.386638
19.043933,13,18.490685
13.156893,11,18.585959
8.562294,10,18.667373
16.1722,21,18.855417
11.653869,7,18.915035
12.96103,8,18.985261
11.424869,12,19.096025
8.138196,13,19.227081
4.891728,14,19.380353
8.381844,8,19.446406
6.508135,14,19.559368
15.541785,9,19.637807
15.498065,13,19.744343
8.859942,12,19.851458
15.683618,6,19.904176
18.143246,11,20.001034
12.145056,13,23.007032
14.356992,15,23.134647
16.324867,14,23.256059
21.812413,10,23.348729
12.130445,8,23.421903
12.662441,16,23.555507
19.878325,23,23.763051
9.786728,6,23.819406
14.834956,7,23.884841
15.43613,6,23.943225
15.264432,8,24.009705
14.883556,9,24.081567
4.584759,15,24.217428
18.371986,8,24.297572
15.352726,9,24.39396
18.765261,12,24.530027
15.935247,7,24.622682
12.717408,11,24.731104
13.244866,9,24.809073
11.082473,5,24.853509
18.428347,15,24.980899
19.73512,10,25.068685
7.493908,10,25.15817
20.600462,7,25.224052
16.070681,6,25.277291
10.471465,6,25.334889
8.530346,14,25.461221
16.025249,11,25.564368
8.402677,9,25.648063
17.992126,13,25.761677
8.174428,16,25.904511
8.171271,11,26.002519
17.473728,9,26.084276
16.353239,7,26.148958
14.418288,14,26.283823
20.639437,13,26.397314
17.296284,7,26.454611
14.874547,5,26.502674
14.866797,9,26.579309
13.013115,5,26.62374
16.045635,8,26.700213
15.478724,13,26.815115
16.282406,7,26.874053
11.857977,10,26.969579
15.603132,7,27.027278
17.816645,8,27.100722
8.916507,12,27.212699
14.307638,10,27.299858
14.890003,6,27.348934
15.646389,10,27.44698
15.106019,6,27.498996
10.599242,11,27.595319
20.658888,10,27.692176
17.860789,11,27.78297
8.276463,19,27.956618
20.41502,10,28.045763
16.954037,7,28.10874
11.065967,14,28.226095
15.76131,10,28.316102
13.79589,11,28.410881
14.077419,6,28.456548
17.712965,8,28.529671
3.451839,28,28.770643
15.652369,8,28.846861
15.129107,9,28.934665
17.737122,6,28.985845
13.172388,12,29.086538
17.310534,6,29.137596
12.829643,8,29.204881
21.414087,14,29.329832
19.808538,8,29.397942
14.967263,6,29.450816
16.604566,10,29.533902
16.229169,6,29.585713
18.987443,12,29.711956
13.769752,6,29.785505
15.085958,7,29.876886
14.181179,11,29.971372
11.961809,5,30.026847
13.892648,11,30.127112
14.652132,5,30.167304
18.843896,21,30.34956
13.765773,14,30.467307
17.743512,6,30.528968
18.69898,13,30.639391
9.530167,5,30.687772
9.366958,10,30.777766
16.593941,7,30.842396
9.483556,14,30.943304
7.172108,10,31.0117
13.671668,7,31.065356
17.744266,10,31.138451
16.490592,7,31.195004
15.033921,7,31.247069
17.035906,14,31.363396
16.005206,5,31.412275
10.886818,7,31.472827
15.704776,7,31.534838
10.64385,5,31.577635
11.785844,8,31.649396
23.506358,23,31.868029
14.626967,7,31.931458
17.405521,9,32.018224
15.614711,7,32.0797
15.254264,7,32.153566
16.015592,6,32.210076
13.784945,6,32.262977
13.326071,7,32.323155
3.064002,14,32.461847
12.533194,9,32.543655
19.30465,12,32.640955
12.178113,10,32.722167
14.331761,7,32.782339
11.794072,13,32.896563
6.58176,11,32.997073
19.630641,8,33.067385
20.506009,7,33.128784
10.96742,17,33.274675
10.988657,17,33.430632
20.956686,8,33.504806
12.626413,7,33.567719
17.331609,15,33.684526
16.245439,8,33.75474
11.398066,7,33.824944
12.56077,14,33.950687
11.554922,6,34.009002
14.184922,10,34.097285
12.055844,5,34.143042
7.215029,11,34.246846
15.066387,7,34.307229
17.029967,6,34.359961
12.110147,10,34.446543
18.401252,8,34.51341
19.724843,13,34.622075
14.253694,11,34.719699
14.466546,12,34.824155
13.981435,10,34.914256
12.488534,12,35.029511
13.524964,8,35.145665
8.530281,13,35.258585
8.885645,11,35.352702
12.005136,5,35.401915
16.083167,13,35.513606
17.882916,10,35.598675
14.37217,5,35.642416
13.313135,11,35.734735
8.815532,5,35.776469
15.979916,10,35.861484
14.641719,8,35.928956
11.981076,6,35.981179
15.034098,14,36.102883
17.595308,17,36.248309
13.978748,7,36.311337
17.343609,7,36.374987
6.666572,12,36.480019
15.635247,8,36.559022
9.325512,13,36.670747
11.874327,6,36.726699
16.978555,7,36.78854
10.07537,11,36.896554
11.22908,10,36.983327
11.178375,7,37.046166
13.77993,10,37.129056
16.49687,13,37.250077
17.444931,10,37.338258
14.502497,9,37.41775
16.151761,8,37.491164
16.049551,9,37.571738
14.343314,11,37.660505
7.110179,7,37.723457
14.707451,7,37.77955
14.705886,5,37.818779
19.092229,23,38.024869
11.277902,7,38.083338
19.046246,10,38.173425
16.270866,6,38.229707
16.011585,9,38.309593
9.223796,7,38.369978
17.803053,16,38.515872
16.640734,7,38.576027
12.95572,18,38.73368
25.542349,20,38.906491
15.906665,10,38.995865
12.479982,5,39.039891
18.782634,6,39.092458
8.033121,8,39.157137
18.801081,9,39.242848
10.061944,11,39.35604
14.571369,5,39.399559
19.742147,21,39.584907
14.825273,9,39.667279
8.592992,6,39.721513
9.63185,6,39.776009
13.895309,8,39.842903
15.069903,13,39.959084
16.323292,6,40.012316
15.642256,14,40.146472
12.876821,6,40.195477
14.776005,7,40.292296
17.554835,15,40.463661
13.060668,7,40.527903
14.408833,6,40.577798
16.60432,11,40.678
5.014106,10,40.769399
8.150907,10,40.855267
13.358583,5,40.906621
13.383556,7,40.969716
14.906355,10,41.053946
14.751428,12,41.169686
18.966261,9,41.248333
19.134942,14,41.38595
18.148959,9,44.215815
18.122526,6,44.268509
17.532287,16,44.433843
17.997685,7,44.49128
18.188647,8,44.558537
