# {"env_id": "HopperBulletEnv-v0", "t_start": 1553100826.1814933} 
r,l,t
18.136181,7,1.544233
6.208255,16,1.626992
10.444545,8,1.664356
15.519976,10,1.716579
11.680127,11,1.769524
13.676971,8,1.808244
17.16657,8,1.851085
14.355304,5,1.876415
4.780643,12,1.93403
16.967433,8,1.970733
12.509781,6,1.999943
7.843349,16,2.0772
11.442512,16,2.154082
14.856414,10,2.201628
13.584968,7,2.236622
10.339524,7,2.268496
14.931244,7,2.303626
8.455057,14,2.370551
15.797013,12,2.428253
16.547406,8,2.466889
6.566859,5,2.492109
14.051911,8,2.527498
8.939848,9,2.571492
15.150735,13,2.632205
14.225326,19,2.718364
6.277768,8,2.754679
8.452994,9,2.795096
14.12461,11,2.848131
17.388245,8,2.889614
17.238262,6,2.920449
11.622997,13,2.98878
6.394603,12,3.051823
13.193629,20,3.156025
11.696885,12,3.218834
13.302039,7,3.252377
12.517274,18,3.340539
11.616455,11,3.396105
8.96157,10,3.44575
15.576367,6,3.477944
15.912553,10,3.529239
12.12662,13,3.595294
15.135571,12,3.661535
4.219928,12,3.722967
11.158134,9,3.768519
14.062509,8,3.80655
11.742236,8,3.844509
9.456574,9,3.888482
14.436106,8,3.930896
16.7337,11,3.992167
21.718588,19,4.096908
13.327995,13,4.166181
16.656734,8,4.208366
6.412547,11,4.26844
15.645245,8,4.310113
15.192622,7,4.348042
13.836458,10,4.401048
10.00334,11,4.459311
15.293985,11,4.517364
11.160598,15,4.595382
11.739222,8,4.636626
17.57619,11,4.694298
17.291885,16,4.785113
18.635827,10,4.838824
13.00862,23,4.958779
10.042253,13,5.027778
14.002599,10,5.081138
12.135098,10,5.134584
18.972502,20,5.237874
7.302939,12,5.302004
11.906983,10,5.353392
12.605815,5,5.378655
12.267268,10,5.429838
0.348576,12,5.493289
10.551634,13,5.56094
12.949346,12,5.624253
9.99919,7,5.660743
16.973233,15,5.74066
15.145766,9,5.788935
12.513325,12,5.85496
13.608513,17,5.945298
13.347484,5,5.972949
15.254879,10,6.026324
21.247081,14,6.10131
8.402298,7,6.138579
17.122853,15,6.221674
10.164512,6,6.252549
18.074041,17,6.343359
10.472618,10,6.399046
12.317002,13,6.469017
15.917836,6,6.502673
16.440841,7,6.540817
12.044977,9,6.589297
13.309947,6,6.621722
12.86903,10,6.677153
11.572202,5,6.704575
6.464186,11,6.763962
12.190813,11,6.821852
13.391077,8,6.861625
17.236321,18,6.957663
15.114327,5,6.98325
15.067268,6,7.014486
9.576926,11,7.071351
7.67912,7,7.109123
7.826945,16,7.193505
9.860031,18,7.289963
14.968905,13,7.360651
17.347444,8,7.402783
15.642993,8,7.446002
11.244854,9,7.492846
10.632983,17,7.581658
10.833164,5,7.608138
4.621593,9,7.653212
9.145921,11,7.711541
13.393269,9,7.761833
14.326572,9,7.81005
13.27794,6,7.842758
12.906927,6,7.874623
19.4723,16,7.960634
17.590411,12,8.02556
16.749025,8,8.067354
13.548957,7,8.104763
15.598832,9,8.151587
19.074172,14,8.225775
11.334248,8,8.268243
8.480205,11,8.326137
13.927629,14,8.397476
12.816925,8,8.439643
15.764429,12,8.499781
12.030801,18,8.593531
12.744096,8,8.635317
14.946897,7,8.672676
14.154965,7,8.709037
1.485719,13,8.781243
16.746317,5,8.815836
15.832012,8,8.875284
15.523741,10,8.94227
14.528983,7,8.986596
17.763981,11,9.046468
17.379815,11,9.103379
12.57731,7,9.141079
8.437003,11,9.198892
10.921624,16,9.283068
17.308461,8,9.325082
12.503477,11,9.382759
9.602942,11,9.441914
17.93486,14,9.516372
14.785976,8,9.557522
19.672212,16,9.641943
7.347918,5,9.668106
16.253518,14,9.741822
19.086574,13,9.808921
14.288757,9,9.857114
7.606648,14,9.935125
9.745845,5,9.962602
11.99523,5,9.990496
17.178229,6,10.021838
9.112849,6,10.05393
7.770859,14,10.128032
15.58448,10,10.178924
12.682561,6,10.211095
13.708086,14,10.28505
11.893954,8,10.325556
14.463993,11,10.383243
16.295268,25,10.513499
11.501159,7,10.549316
11.20271,13,10.615673
15.253321,9,10.663288
5.56962,14,10.737762
9.534572,16,10.826406
8.958752,12,10.889467
12.821783,9,10.936575
15.305728,10,10.991777
16.880751,11,11.047351
7.724212,14,11.122468
16.934571,7,11.158276
9.174074,8,11.200481
9.038989,14,11.276572
15.792587,8,11.319232
15.532396,6,11.351719
8.093656,6,11.38409
16.074676,11,11.44037
13.898679,6,11.472104
12.185139,13,11.541677
8.09478,9,11.591554
22.224124,21,11.711613
8.109635,13,11.78147
13.147032,10,11.837279
14.727625,11,11.894937
8.212313,8,11.937912
8.011317,11,11.995152
17.946079,13,12.061379
13.176519,16,12.144742
6.920352,15,12.224807
22.141958,14,12.795828
7.324802,9,12.843284
9.423872,7,12.880683
17.731068,6,12.913773
15.978222,8,12.955454
13.866038,6,12.988534
14.174333,6,13.020878
3.758034,13,13.090825
15.020754,7,13.130848
14.962776,8,13.172619
12.424268,15,13.251832
17.281293,9,13.299759
11.745521,12,13.364369
14.853509,6,13.395485
16.008682,8,13.43917
12.727261,5,13.465981
13.204571,8,13.5092
18.336875,9,13.556788
14.920234,6,13.587244
17.642253,9,13.6351
16.488333,6,13.667711
10.73961,11,13.725617
15.154894,7,13.765608
14.482007,5,13.791624
18.577403,7,13.828819
18.032509,8,13.873013
17.60234,8,13.91582
11.269327,13,13.986848
19.382804,8,14.035496
14.078386,6,14.078261
12.334018,7,14.128542
6.927423,9,14.192891
17.72459,9,14.254529
14.545796,5,14.281957
20.688833,8,14.325662
10.965034,13,14.395139
9.111576,12,14.457773
10.884251,6,14.487829
12.763464,5,14.513774
15.282128,8,14.555839
10.507707,6,14.58824
11.097804,7,14.624753
14.962091,7,14.66177
9.233872,7,14.700637
15.459831,16,14.78289
16.42371,6,14.812945
12.733859,5,14.83859
13.20853,8,14.881376
14.284782,11,14.940044
16.930837,7,14.977274
13.591962,7,15.014012
8.594524,9,15.062123
14.789761,7,15.098467
14.342255,5,15.123813
14.191105,7,15.161001
21.518801,14,15.239103
9.584962,14,15.321494
14.089668,11,15.383208
13.600743,8,15.424656
11.235912,7,15.463897
13.932357,13,15.540725
13.508897,5,15.570083
9.544599,12,15.646013
13.358653,6,15.682989
13.358912,7,15.724668
19.688139,24,15.874815
17.443199,6,15.909371
7.95606,12,15.973464
9.406852,12,16.035713
9.257606,6,16.067067
12.387064,7,16.104178
12.61798,9,16.151378
13.285319,14,16.233035
5.442821,12,16.302317
10.813808,5,16.328495
10.542096,6,16.362921
12.524383,6,16.393907
6.474066,5,16.421262
6.685317,11,16.480298
13.528882,9,16.52845
19.59635,15,16.608923
16.645863,11,16.67275
17.498706,7,16.710948
10.43484,11,16.769605
9.999901,13,16.837862
6.875828,7,16.875505
16.47883,19,16.975452
8.132692,7,17.013208
9.447029,10,17.067521
17.852192,11,17.123286
16.803499,9,17.169659
11.279312,11,17.226603
12.748495,13,17.294321
16.692709,9,17.344574
15.284049,7,17.381804
7.246785,8,17.423722
15.578888,12,17.48796
14.110956,9,17.53749
17.371398,8,17.579015
13.428692,14,17.653625
18.402352,10,17.70824
13.662191,16,17.792964
14.125512,9,17.841345
8.557181,13,17.91024
8.874655,7,17.945993
13.158766,7,17.983041
21.654167,9,18.032849
9.118515,11,18.089883
15.985929,8,18.132207
15.52869,7,18.16886
-5.482939,13,18.239035
11.326106,8,18.283589
21.817224,19,18.389928
13.982676,7,18.428606
17.281935,7,18.46629
15.390236,7,18.503843
11.482116,13,18.573904
14.215942,5,18.601779
17.784966,11,18.657842
8.602166,15,18.737413
9.532831,6,18.769974
13.734895,14,18.845119
16.863732,8,18.889276
17.493562,8,18.93288
15.093949,7,18.969058
13.583003,9,19.017411
6.902054,16,19.107394
12.621498,8,19.149072
9.846772,15,19.228235
14.825205,10,19.290302
13.828932,8,19.345148
10.625394,7,19.391254
13.8287,8,19.44182
14.870048,5,19.473474
15.208595,6,19.50665
16.570003,6,19.538447
8.781788,6,19.57156
7.585234,13,19.64256
13.846491,10,19.694602
10.808969,15,19.773349
20.220116,11,19.834775
15.245329,13,19.906179
11.513,20,20.013475
22.575717,20,20.122142
13.570401,6,20.155242
15.367189,7,20.193353
15.355156,8,20.236125
12.240913,19,20.336406
14.538139,7,20.371472
15.344205,18,20.468538
18.090211,23,20.589364
15.571874,7,20.629162
13.315874,9,20.676505
16.681425,10,20.730346
11.639231,5,20.755756
14.865559,8,20.797234
14.866394,7,20.835032
12.484248,9,20.883669
14.986717,5,20.90998
15.467589,7,20.948134
10.904639,5,20.976627
17.360843,19,21.079608
11.514663,13,21.149005
16.255296,11,21.205761
6.343409,7,21.244193
14.632683,8,21.287543
15.871345,10,21.340958
16.331155,9,21.391222
6.785086,5,21.420031
15.38643,12,21.48501
17.936702,10,21.538076
12.53205,10,21.593306
12.169432,6,21.625387
15.033039,16,21.711293
13.392283,6,21.744137
16.238471,9,21.794745
7.022897,5,21.82059
17.939826,10,21.872652
17.88427,9,21.919489
5.97801,16,22.002992
16.480487,5,22.028975
15.019401,6,22.060577
15.807182,7,22.097965
14.739086,7,22.134642
14.212948,11,22.193833
13.795912,10,22.246413
12.087346,6,22.276728
5.150785,14,22.351988
3.862743,4,22.373182
4.433406,19,22.476436
14.669786,6,22.507371
7.897769,14,22.581257
17.173084,11,22.638635
10.20048,5,22.664273
8.580358,10,22.71744
16.02566,8,22.759198
10.248162,8,22.801093
8.733983,6,22.834229
11.361249,8,22.878303
15.448541,6,22.909812
14.333946,8,22.951859
12.936718,8,22.99465
17.285412,7,23.03237
12.695132,16,23.116749
11.852887,6,23.14911
11.862188,22,23.264221
17.083203,8,23.305992
19.230391,15,23.385819
17.552248,7,23.422916
12.948301,7,23.459853
7.672139,13,23.528722
6.007261,11,23.586854
16.177441,7,23.623396
15.603072,6,23.655892
16.240577,8,23.698335
12.731947,7,23.736523
16.615163,5,23.763648
16.04796,12,23.828472
13.137015,6,23.861022
10.314835,11,24.238904
14.636323,9,24.287543
11.206601,10,24.341982
17.844398,10,24.395476
8.033105,8,24.437199
17.23523,6,24.474596
12.086752,6,24.514062
12.781575,5,24.548392
16.966758,10,24.617773
15.686527,7,24.664213
14.681856,7,24.706975
15.35966,10,24.759846
14.360963,8,24.803052
12.500042,6,24.836061
15.128624,5,24.862555
18.868579,8,24.905822
13.966834,10,24.959231
9.534585,8,25.003573
16.571758,7,25.04072
16.264192,6,25.071653
4.730507,9,25.119106
19.362771,15,25.199824
13.923757,13,25.271868
17.9664,7,25.309978
14.98823,9,25.356534
16.230205,6,25.388515
16.602205,8,25.431066
16.142881,9,25.479277
17.120021,10,25.534382
11.018535,14,25.611091
12.653322,12,25.678022
17.235234,12,25.743349
14.064698,6,25.777155
10.607963,7,25.813404
14.429243,6,25.849556
15.587714,5,25.875168
15.96343,6,25.907077
10.981893,8,25.949735
16.299052,8,25.990026
11.176948,14,26.06328
15.880614,6,26.095898
9.831238,5,26.123824
13.469063,11,26.183039
12.227565,7,26.22102
11.964486,9,26.268206
13.086738,6,26.300185
15.592483,7,26.338084
13.214025,15,26.416976
10.610747,7,26.454242
16.049323,12,26.52286
16.212618,6,26.554947
15.561389,9,26.601445
12.415062,8,26.644622
13.588252,10,26.697872
15.525024,9,26.74735
18.149621,7,26.786047
15.300317,6,26.818575
11.667644,14,26.891357
10.5767,7,26.927877
14.67544,7,26.965185
13.327871,7,27.001453
5.515379,11,27.06029
10.637582,9,27.107819
13.740286,6,27.138887
12.840142,7,27.174721
9.651907,8,27.216729
17.974212,14,27.289647
17.391229,7,27.327028
17.640905,7,27.365232
12.283467,7,27.401456
19.368595,9,27.450001
9.313532,6,27.481896
19.585066,6,27.51447
8.399882,8,27.556988
14.183433,7,27.59263
8.233982,8,27.63541
11.586258,9,27.682788
17.778878,6,27.716579
7.954666,12,27.780419
13.375528,6,27.812593
14.322786,9,27.861943
12.855367,10,27.916521
14.452227,6,27.948913
12.60659,8,27.989951
8.861182,7,28.028544
20.160585,12,28.091169
15.398379,9,28.140925
8.367856,5,28.168304
15.471122,9,28.217831
14.311426,12,28.281528
14.586656,5,28.308756
15.554637,5,28.336823
13.431542,6,28.368917
14.25652,15,28.449375
14.157131,10,28.502577
14.605446,6,28.532738
14.270635,5,28.559968
18.683887,7,28.597152
16.162047,5,28.622494
12.050284,12,28.687289
15.156328,14,28.767285
9.025584,8,28.811759
15.779183,12,28.882205
15.705413,9,28.929812
15.89934,11,28.990441
15.333523,14,29.064992
13.416987,7,29.103314
19.976197,11,29.162347
12.344382,12,29.225077
12.455351,10,29.277349
15.559744,8,29.320936
15.946414,10,29.374089
15.11326,12,29.43908
9.932764,11,29.498864
17.409208,12,29.563865
14.996544,8,29.606356
18.677446,9,29.65687
12.105198,5,29.685444
13.505993,11,29.756711
19.353294,14,29.859927
15.731776,8,29.919961
10.953831,9,29.968029
12.121824,6,30.000263
20.24805,26,30.138483
14.844925,13,30.208041
9.764878,7,30.244568
15.265889,5,30.269838
12.281362,21,30.383171
9.349978,6,30.416269
13.893082,8,30.458919
16.016222,7,30.496902
17.463817,7,30.535327
14.246282,6,30.566154
17.130342,10,30.619401
12.620834,6,30.650841
13.093853,13,30.724997
13.648047,7,30.762711
18.232931,8,30.804601
20.797667,11,30.862604
11.189758,14,30.935647
11.038217,11,30.993362
10.455642,12,31.057248
17.588949,9,31.105089
15.856448,6,31.136671
15.778235,6,31.166683
18.279451,7,31.203828
10.114141,12,31.267821
14.396808,6,31.298614
15.380551,10,31.352254
14.05993,7,31.388854
10.44046,7,31.427123
6.690126,11,31.487035
10.886742,10,31.540519
11.221363,6,31.572062
16.35449,12,31.634973
16.445064,15,31.715052
13.023492,8,31.757045
12.085116,7,31.793659
6.428839,7,31.835167
7.0327,5,31.863486
16.448148,5,31.890986
15.252976,8,31.93431
16.777122,5,31.962355
14.73265,6,31.995056
11.868031,10,32.049803
16.490312,7,32.088523
14.331922,16,32.172671
16.09951,6,32.206552
18.295295,10,32.260289
19.518811,7,32.298808
16.357596,9,32.345628
16.680103,9,32.393297
12.808389,6,32.424787
9.895888,7,32.462496
12.653555,5,32.488211
13.714469,5,32.513988
14.736363,7,32.549892
12.126834,6,32.58265
7.690389,7,32.620584
22.2685,13,32.689
16.517455,7,32.72854
11.362781,9,32.775284
16.351073,6,32.808205
8.614811,7,32.846786
9.082675,12,32.909981
16.533798,9,32.958782
19.86732,6,32.990325
15.092436,5,33.017305
13.365583,5,33.046046
15.545749,5,33.07341
14.632703,7,33.110373
15.768037,5,33.13662
19.499591,8,33.180149
15.266138,10,33.234653
18.110407,11,33.293051
9.698258,18,33.390053
7.754717,5,33.416663
9.629767,8,33.458725
17.460373,7,33.495611
12.209473,16,33.583919
17.22813,7,33.621229
13.188021,10,33.674511
15.758319,7,33.714545
17.584058,6,33.74703
12.488155,8,33.788534
7.955853,5,33.815348
19.726216,11,33.87843
10.300729,7,33.91935
19.235678,12,33.982278
17.258892,7,34.017979
12.506652,7,34.054343
10.457259,7,34.091768
11.43614,8,34.134599
14.766344,13,34.202451
13.416487,7,34.238905
13.864881,11,34.2965
14.611024,10,34.348892
10.382501,7,34.385798
15.393153,5,34.413815
18.526186,9,34.462012
18.579376,9,34.509036
9.491554,7,34.545662
15.552165,8,34.586892
14.374476,12,34.650092
17.423042,6,34.682867
17.20988,5,34.712289
15.990172,6,34.743682
13.964261,6,34.776244
15.059715,6,34.810484
12.58537,5,34.837875
9.950744,15,34.919941
15.486712,5,34.951648
14.327548,8,35.012148
11.315506,8,35.06853
17.655393,10,35.144187
13.524706,9,35.194371
9.226619,10,35.245771
14.079258,11,35.302523
13.14404,6,35.334959
12.268238,8,35.700243
12.045908,8,35.743491
17.771533,8,35.786509
14.644469,12,35.851939
14.741894,6,35.884966
14.181229,14,35.958283
16.162998,7,35.997022
8.77067,15,36.076985
16.563712,6,36.108946
14.631787,7,36.146092
15.533592,11,36.20342
17.050588,6,36.236288
17.493408,6,36.267679
11.570228,7,36.305197
14.739938,5,36.333678
15.481285,5,36.359087
16.088531,16,36.449502
10.788656,10,36.502145
7.615065,7,36.538277
12.633249,6,36.569018
12.839995,8,36.612955
9.517343,8,36.65585
17.099556,7,36.695163
7.119261,16,36.781408
15.248498,16,36.867673
20.962319,13,36.937174
9.081442,15,37.017514
16.362,6,37.052027
18.416983,6,37.083934
17.45747,6,37.115462
23.555228,12,37.18156
19.179647,10,37.235907
18.714431,13,37.304148
6.609596,16,37.388202
13.286185,7,37.428469
9.008104,9,37.477986
11.536027,9,37.525301
12.675871,6,37.557478
11.941905,8,37.598781
18.555558,10,37.653966
18.123137,8,37.696376
12.285376,11,37.755194
12.682884,5,37.783655
15.699216,8,37.82772
15.139633,12,37.892997
16.063354,5,37.920928
14.16842,7,37.960806
16.182437,7,37.997671
14.711418,7,38.036828
17.658395,8,38.079418
19.073262,9,38.131611
13.118531,8,38.176398
14.948969,6,38.208417
16.33029,9,38.256875
14.374019,5,38.283485
20.146565,7,38.323069
15.619045,5,38.349393
14.093954,6,38.381837
15.217272,6,38.413399
7.767217,7,38.452294
14.794872,6,38.485316
16.402961,7,38.522881
12.354762,5,38.548259
13.730997,7,38.584586
11.175335,10,38.640168
9.168668,9,38.689949
13.176616,7,38.728467
14.008927,5,38.756582
13.575031,13,38.832986
18.431599,10,38.885167
13.131133,5,38.912585
19.674283,9,38.960747
12.053272,19,39.063723
14.713263,13,39.134417
12.790133,6,39.165859
19.898237,7,39.203104
13.583299,7,39.242822
12.648323,8,39.286866
18.409342,7,39.325069
12.966087,6,39.35749
14.481326,7,39.395587
17.435846,6,39.427825
13.566327,10,39.482375
17.341859,7,39.520835
15.817321,5,39.549358
14.879722,5,39.576483
14.70115,6,39.607879
18.009468,15,39.690674
15.516687,6,39.722302
13.111999,7,39.759066
12.054761,5,39.785442
17.739791,6,39.817873
12.590874,6,39.853672
12.50208,5,39.88246
16.554752,10,39.935467
14.021652,7,39.971456
15.728996,7,40.009553
11.089178,5,40.035928
17.744954,6,40.068768
18.610063,8,40.111789
16.165086,8,40.157244
13.186614,7,40.202178
15.433098,5,40.235916
15.971965,12,40.316995
15.529758,7,40.361984
14.467635,5,40.391685
16.35796,7,40.430443
14.666044,7,40.467034
15.25575,6,40.499101
22.503809,11,40.558652
18.882514,11,40.620965
15.184372,5,40.649833
12.752867,6,40.681723
17.679565,16,40.768724
19.124944,15,40.849871
18.667707,9,40.900999
16.683443,11,40.960517
10.087313,16,41.046414
17.153664,9,41.097222
16.955716,8,41.141518
10.601868,7,41.180294
18.203208,9,41.230196
12.478522,7,41.267724
18.07474,14,41.34398
14.101406,10,41.397434
14.653336,6,41.429874
18.207444,10,41.482461
14.795608,8,41.525151
13.919161,7,41.562089
21.243005,10,41.615317
14.518652,7,41.653521
16.064587,7,41.690521
14.643236,10,41.744741
16.031413,5,41.772441
16.968866,6,41.8052
10.608187,6,41.837967
8.163073,17,41.928706
16.994973,5,41.95531
12.552075,9,42.005547
16.649009,13,42.076521
21.709537,16,42.162274
19.058334,10,42.214333
16.05833,5,42.242033
12.770013,11,42.300617
16.373887,6,42.333549
14.684971,6,42.364186
10.872656,6,42.396276
17.212898,8,42.439087
12.691097,6,42.470948
14.9519,8,42.513109
12.260211,9,42.560343
17.290507,6,42.592757
16.233478,8,42.635501
18.311528,11,42.694643
17.462773,7,42.731557
15.33446,7,42.767903
13.802813,15,42.851491
12.664735,5,42.879553
13.814376,19,42.978006
14.713475,9,43.026939
