# {"t_start": 1553080369.1269445, "env_id": "HopperBulletEnv-v0"} 
r,l,t
10.468229,5,1.483765
18.007708,7,1.517675
8.903345,11,1.566534
9.281962,15,1.637148
17.937537,8,1.675456
7.665905,8,1.711382
11.746322,6,1.741856
8.832572,13,1.809895
6.692366,9,1.861079
9.873523,6,1.898699
13.427831,10,1.955077
10.135264,13,2.017509
14.899502,6,2.043857
14.885341,6,2.075538
13.913114,11,2.135173
10.270279,13,2.19639
9.071448,8,2.235806
9.324621,8,2.275111
11.692524,17,2.357963
16.275687,6,2.386899
11.447883,7,2.420407
12.297034,7,2.45299
12.941205,11,2.505398
10.598196,8,2.542518
16.893567,8,2.581311
13.557753,6,2.610485
10.190431,14,2.677376
10.175882,12,2.737253
12.900697,11,2.793687
14.206615,12,2.85812
10.681395,13,2.92733
14.568284,11,2.987149
5.763062,13,3.058163
14.642547,10,3.108424
11.922597,11,3.162433
15.134138,13,3.222762
12.323585,9,3.267448
12.323368,6,3.298285
15.433996,6,3.325748
10.75792,22,3.439299
6.340496,9,3.487906
14.300379,6,3.520198
6.004868,18,3.617907
14.587036,11,3.677696
13.754496,8,3.724244
14.744985,6,3.755795
17.290473,6,3.787481
14.402275,15,3.864666
9.295037,7,3.902202
3.084885,18,3.998387
11.819531,7,4.036448
14.846375,13,4.103371
12.041985,5,4.129338
14.341892,13,4.201307
16.645538,8,4.24356
16.579584,5,4.269952
16.905149,14,4.345306
20.39643,14,4.418202
17.627757,11,4.477239
10.05933,12,4.543282
-3.381279,14,4.620586
13.410507,12,4.685107
10.176868,13,4.757854
15.730242,5,4.784653
6.216155,5,4.811212
15.616296,8,4.856335
21.097546,18,4.954831
16.796975,9,5.003595
19.905473,11,5.063969
9.202806,11,5.127489
14.005941,7,5.165959
10.811832,13,5.235039
15.517403,14,5.309506
14.868034,10,5.36621
17.903119,11,5.42761
13.866651,16,5.512455
18.08891,7,5.550182
17.168135,19,5.649525
9.788693,15,5.730237
18.108608,8,5.773134
17.160914,8,5.81685
8.337842,11,5.875202
4.796268,12,5.939577
11.732114,6,5.970508
13.607079,17,6.057126
9.626818,13,6.127114
24.453628,44,6.357381
