# {"t_start": 1553046031.1403787, "env_id": "HopperBulletEnv-v0"} 
r,l,t
12.177363,5,1.866454
13.258052,6,1.915748
7.116205,6,1.964811
9.074148,8,2.032568
13.824632,12,2.140356
14.809292,8,2.216384
15.830258,7,2.270212
11.283641,10,2.355846
11.927274,9,2.440483
15.845471,10,2.532125
1.502341,8,2.601154
12.119001,5,2.636735
15.862047,8,2.702664
15.263057,6,2.754305
12.779549,8,2.821643
7.043707,15,2.942448
15.250988,15,3.076269
14.468225,8,3.149227
7.184605,14,3.281325
15.592252,8,3.359906
2.823638,6,3.418229
12.558262,9,3.501051
10.164811,9,3.579619
11.103074,17,3.731346
13.262069,8,3.795669
14.925868,13,3.91661
21.507396,19,4.088101
12.150761,11,4.176442
11.476541,15,4.299235
13.822546,9,4.372598
8.289937,7,4.424506
12.051883,12,4.517906
6.500393,14,4.657528
8.903115,15,4.818086
7.140034,12,4.950484
14.248133,11,5.054646
12.678973,8,5.119002
14.173684,13,5.240198
10.514767,8,5.307137
14.886859,13,5.425978
17.041571,6,5.475321
15.669525,9,5.553878
16.62174,13,5.665137
20.515031,20,5.830177
18.476658,18,5.987907
6.312978,10,6.073091
17.401973,8,6.145462
14.023735,13,6.267763
11.574105,5,6.312284
15.324567,9,6.390545
17.67128,13,6.505471
16.137854,7,6.566132
12.790598,8,6.634971
8.864389,7,6.694665
12.553824,6,6.749975
13.832202,19,6.918788
11.238606,12,7.028604
12.068274,6,7.085234
17.901112,10,7.173487
11.588268,14,7.309688
7.089498,9,7.406734
13.814696,18,7.565794
15.13387,16,7.700194
18.745906,15,7.838724
11.486881,13,7.961371
16.201988,15,8.089175
15.130707,9,8.167648
11.83768,6,8.22463
10.049343,14,8.35828
13.372659,13,8.47331
7.5051,10,8.565418
8.556103,12,8.670181
6.768383,22,8.859022
17.493404,18,9.006352
8.554791,12,9.12863
15.932469,15,9.271656
18.099046,9,9.345785
13.41879,10,9.410919
14.777945,7,9.462158
14.35041,8,9.523213
15.102311,11,9.604056
18.007847,15,9.717721
15.057653,7,9.768452
15.362287,15,9.880958
15.243213,8,9.941275
