# {"env_id": "HopperBulletEnv-v0", "t_start": 1553046051.5916064} 
r,l,t
9.225689,12,2.104717
17.311314,11,2.227639
9.567004,11,2.344852
13.521942,7,2.445996
16.724928,9,2.541997
15.523942,10,2.659007
0.592445,11,2.782093
6.387471,10,2.906809
18.193703,7,2.993808
3.738031,14,3.207042
12.962718,11,3.365361
17.763906,6,3.459206
19.342402,8,3.57675
8.516097,15,3.772646
14.902811,7,3.876538
9.051041,11,4.03278
9.580917,10,4.169446
13.542806,14,4.367508
15.692238,8,4.485682
14.864916,13,4.653727
16.36442,14,4.813134
8.361124,21,5.096752
10.208221,9,5.208143
16.44558,9,5.313503
15.858761,11,5.472073
13.683539,7,5.556004
12.226004,9,5.678716
12.680332,7,5.760586
17.413961,11,5.910285
9.446766,5,5.985353
8.901852,15,6.167262
1.681035,11,6.299376
12.186956,10,6.422574
12.816708,13,6.573182
15.334056,11,6.717329
9.857943,12,6.870866
11.423568,9,6.976562
11.534734,13,7.153026
17.222723,8,7.265237
17.442227,8,7.368876
16.73964,13,7.538339
11.565387,9,7.648945
13.234926,5,7.710219
15.190528,9,7.828148
10.920614,9,7.955069
13.784776,8,8.066607
9.987519,15,8.248573
9.681434,12,8.395954
15.36119,10,8.517717
11.319271,6,8.601439
15.450165,7,8.68816
13.512334,12,8.85702
9.595802,11,8.992368
6.436046,9,9.10479
17.654893,7,9.193689
8.150592,8,9.303853
12.727726,10,9.446416
15.364624,6,9.531414
9.564204,8,9.622555
15.022978,7,9.704946
10.309791,10,9.836079
15.67968,6,9.910555
10.233616,7,10.002171
13.721479,7,10.09906
20.119944,9,10.209427
19.948139,7,10.292872
10.363891,13,10.448972
15.66508,30,10.839514
13.332038,11,10.981349
14.064741,6,11.054125
5.230989,21,11.303374
11.522099,5,11.36799
15.917947,17,11.577173
15.658644,8,11.679862
12.696626,17,11.891219
9.336053,6,11.972869
6.628695,6,12.048457
12.378459,7,12.130356
16.582609,11,12.263178
17.912383,9,12.367796
9.785376,7,12.462708
13.323246,14,12.642765
12.319092,6,12.712789
11.56188,13,12.860183
16.702507,11,12.997304
15.434051,11,13.117172
17.257098,11,13.250432
14.94072,7,13.328915
10.614853,18,13.546391
21.981199,15,13.735711
11.065577,6,13.808719
8.743551,9,13.908491
16.028525,9,13.997041
13.382578,12,14.119442
11.915466,11,14.223378
14.597713,8,14.310161
8.862844,12,14.450307
14.199003,7,14.524504
13.558209,12,14.647901
12.285302,10,14.749144
7.211642,14,14.895878
17.825864,11,15.019761
10.605543,13,15.175544
8.285814,11,15.295341
12.131865,12,15.420678
13.483313,12,15.543682
12.260046,7,15.61049
13.886289,8,15.69285
12.349066,5,15.740025
17.491468,6,15.79963
13.44603,9,15.90329
19.189594,17,16.090752
13.543521,11,16.199009
17.180876,6,16.263895
12.113616,13,16.40511
18.297025,10,16.510345
18.33248,13,16.652667
3.335041,13,16.796428
11.189304,13,16.961201
13.703621,7,17.059496
13.152497,9,17.172834
9.053269,7,17.248892
11.786558,8,17.337243
13.528138,6,17.402575
6.873815,7,17.483927
19.635077,12,17.624037
16.058168,8,17.718943
17.097979,7,17.796222
6.133161,13,17.953576
8.911181,10,18.077576
12.607256,7,18.160665
11.708923,7,18.236812
15.255962,6,18.309367
13.649334,5,18.368294
7.076523,8,18.448404
14.243437,12,18.615951
13.343572,5,18.694441
11.621401,5,18.750498
18.497577,13,18.916329
14.031341,10,19.042441
10.871984,6,19.108873
15.093288,6,19.184518
7.81632,9,19.288692
11.708101,11,19.415438
10.047187,17,19.626789
11.718476,12,19.779167
18.296241,13,19.934726
12.323127,8,20.037163
18.25011,7,20.130923
11.709109,6,20.194883
14.412808,15,20.384327
12.998057,13,20.537631
3.310913,14,20.730757
14.771648,16,20.925022
7.176646,16,21.10812
14.444017,18,21.326644
5.939304,14,21.520894
9.628546,15,21.713432
12.443475,10,21.817107
7.113893,12,21.959505
14.122517,5,22.013977
10.844694,6,22.098791
19.066724,20,22.34023
9.921144,6,22.434456
15.960662,8,22.542857
15.017949,6,22.61428
17.428816,14,22.78051
10.996987,15,22.982288
9.525602,11,23.117043
14.701792,8,23.214661
10.737075,6,23.290057
17.096985,9,23.409443
7.761713,6,23.494369
7.061735,18,23.724143
15.469716,10,23.871042
16.308113,7,23.950026
11.540563,9,24.05218
17.169813,8,24.163539
16.260759,6,24.249009
10.328441,6,24.322991
5.713486,8,24.41661
16.584366,14,24.584911
11.778513,9,24.705994
12.692314,22,24.980081
12.308818,13,25.136896
11.683403,20,25.37531
13.798166,8,25.467549
12.995864,15,25.676281
8.170617,10,25.802771
6.929267,7,25.904382
6.760237,21,26.161338
10.279177,21,26.422538
16.646041,11,26.560882
13.907318,10,26.698715
15.193889,15,26.904486
13.74743,12,27.053796
13.493227,12,27.219372
13.915477,8,30.48764
14.426627,7,30.573338
16.831342,12,30.704971
16.148418,6,30.765643
10.026234,7,30.839159
18.165956,7,30.913613
12.365995,11,31.037498
16.084206,9,31.136519
16.683576,6,31.200271
12.509429,5,31.265812
8.799212,6,31.34004
16.936852,11,31.465297
11.932191,7,31.546923
15.723784,9,31.674083
14.776363,6,31.751419
8.904327,12,31.906902
9.483129,10,32.037557
6.54254,10,32.166494
12.280976,10,32.316813
17.298934,13,32.483747
19.613321,9,32.586676
11.598314,15,32.791746
7.61798,18,33.036801
6.343806,18,33.249935
16.148838,6,33.330233
17.33439,9,33.460461
17.586828,10,33.59514
17.229616,12,33.750058
