# {"env_id": "HopperBulletEnv-v0", "t_start": 1553042642.5538995} 
r,l,t
8.337205,8,1.926626
14.907691,7,1.987618
13.54452,13,2.143271
14.451739,12,2.24992
5.619289,13,2.365971
15.378323,10,2.460061
12.531206,6,2.512464
14.673483,8,2.586794
11.530977,12,2.69956
11.054747,9,2.782411
6.180919,8,2.851805
16.075873,10,2.931478
12.819631,7,3.001287
17.530452,6,3.049514
8.188371,8,3.124038
17.210545,12,3.22396
14.763381,10,3.311505
13.537678,25,3.541995
15.059529,12,3.645422
17.297184,9,3.727841
14.203189,16,3.879288
14.705513,14,3.999291
12.944543,7,4.060236
14.449404,5,4.09716
13.849285,7,4.161779
4.280205,14,4.276442
14.557278,6,4.323149
14.723284,6,4.381183
6.325838,10,4.466907
7.353087,13,4.577229
16.231099,5,4.618658
13.968266,14,4.743884
10.04638,8,4.82446
15.610387,11,4.914026
12.853717,7,4.980792
10.10984,11,5.078342
7.144826,10,5.157513
13.389747,12,5.249035
18.691888,10,5.340144
12.828944,9,5.424372
14.861582,17,5.568689
7.374743,7,5.62932
15.448521,11,5.722642
14.448275,14,5.836298
9.732645,14,5.950627
15.154146,6,5.998422
1.762044,14,6.108391
12.995689,7,6.173077
8.024169,16,6.297816
10.018053,6,6.342692
7.551592,10,6.423182
16.22222,6,6.473392
13.695544,12,6.578507
15.149975,7,6.632019
19.622058,13,6.747079
14.138908,10,6.838421
14.088195,13,6.942231
14.855813,9,7.019572
15.341752,10,7.113172
12.051363,10,7.213669
15.612466,6,7.28386
17.108844,7,7.358464
3.536206,10,7.4458
11.700492,6,7.494611
12.294675,14,7.613603
13.421673,9,7.693317
17.034821,7,7.753556
20.092761,9,7.829874
11.942264,8,7.907324
8.254681,9,7.990019
10.989212,16,8.128968
11.90776,17,8.284379
16.808863,9,8.368057
13.594226,17,8.522811
13.696661,7,8.581659
14.168011,7,8.639982
11.610722,9,8.720274
9.483086,7,8.788417
13.498249,16,8.923027
15.323071,6,8.978663
13.229192,9,9.058207
14.150553,10,9.159131
8.912283,7,9.213611
11.408922,12,9.321447
16.53073,6,9.375688
11.62061,10,9.460906
13.317143,12,9.561173
9.668984,12,9.669113
10.632686,6,9.714396
9.765771,13,9.805946
7.652631,19,9.942486
2.989592,33,10.194617
11.24457,11,10.278805
9.761727,9,10.345151
13.98668,11,10.424697
14.277475,16,10.546529
16.441165,11,10.625279
19.68083,13,10.720368
16.163136,16,10.830042
8.070125,18,10.960798
11.379806,11,11.04345
12.923405,8,11.103345
8.580282,9,11.170699
18.053799,8,11.22826
15.419069,6,11.274529
9.833697,15,11.375173
14.574272,12,11.461896
13.100805,11,11.537949
12.642943,7,11.595224
12.370129,10,11.667135
6.260149,8,11.719901
13.933778,8,11.776
10.958926,7,11.828513
4.593636,23,11.987
14.731513,9,12.055773
18.264525,11,12.147699
16.104748,10,12.235122
10.299924,10,12.315933
8.858592,9,12.39584
8.964736,19,12.60126
14.31264,8,12.669088
13.882085,5,12.720849
7.838207,19,12.885074
12.94806,14,13.000298
7.533363,17,13.145567
11.465046,13,13.267699
11.166118,7,13.330745
14.181709,13,13.438946
0.44031,11,13.529609
