# {"t_start": 1553046031.1370575, "env_id": "HopperBulletEnv-v0"} 
r,l,t
17.498032,8,1.930821
16.206439,7,1.988123
12.631348,6,2.036135
18.76856,14,2.157706
13.804414,10,2.254544
11.704445,7,2.310862
19.933786,9,2.379813
13.579217,6,2.442214
19.613392,12,2.550638
10.225519,6,2.601764
17.347037,6,2.652795
4.094134,10,2.733703
9.492247,7,2.793617
12.878558,6,2.840815
16.08867,9,2.915449
12.792776,12,3.017285
21.306979,10,3.103701
-3.126434,18,3.280654
10.080695,7,3.342416
13.922337,10,3.434811
13.794504,9,3.515214
17.855215,15,3.652923
10.649576,16,3.796613
15.177833,11,3.887868
11.457431,11,3.988896
14.675879,12,4.099922
8.636083,13,4.204471
17.613932,8,4.275292
6.536824,24,4.461887
12.669976,19,4.63281
17.812189,11,4.73548
13.206887,16,4.912507
15.743767,9,5.005672
15.128055,8,5.078361
18.069023,11,5.176722
7.979888,13,5.295362
15.415752,10,5.38363
20.039567,16,5.526199
14.792675,6,5.576998
12.878383,13,5.68318
11.40295,8,5.758025
9.090755,14,5.872356
10.520478,12,5.977215
14.289147,8,6.042036
13.935056,16,6.185564
7.79398,10,6.279544
17.621463,7,6.34256
10.283782,8,6.412128
9.905148,22,6.602981
9.897769,10,6.690497
17.252991,8,6.759924
11.236595,13,6.876972
14.480945,7,6.938951
8.92459,15,7.078174
7.145586,16,7.220782
11.602268,7,7.288095
15.344724,8,7.365478
13.728435,7,7.440218
9.814866,5,7.486752
7.070979,23,7.68496
12.873439,11,7.779845
11.50659,17,7.937378
6.562045,5,7.989428
12.140833,15,8.120574
14.432239,14,8.244967
15.268161,15,8.386541
10.858757,12,8.493943
9.599057,14,8.623527
16.026053,10,8.707113
12.746127,7,8.768441
16.336421,14,8.886893
7.856344,16,9.020765
12.300423,11,9.124772
14.470763,10,9.226226
13.546908,8,9.297031
2.813616,20,9.455029
10.134666,8,9.508543
5.92345,11,9.592481
21.734495,13,9.682386
17.805243,8,9.747572
15.96801,19,9.888656
16.164393,7,9.942535
17.367799,10,10.019833
5.042114,12,10.108045
10.453187,9,10.174229
19.320831,8,10.234728
12.798814,5,10.270807
11.162927,10,10.342233
10.703829,16,10.454678
14.471178,5,10.488969
14.596772,5,10.533595
5.466525,9,10.602721
13.793313,6,10.649531
9.151307,8,10.702806
10.822464,9,10.769638
13.980059,13,10.865
12.15762,11,10.942257
10.591054,7,10.993023
13.557586,7,11.046076
12.049843,11,11.126159
16.139686,8,11.183575
11.926428,7,11.229132
13.315918,8,11.287128
9.684496,7,11.3345
13.724619,16,11.451123
18.511615,8,11.506117
6.197123,11,11.587041
15.870161,12,11.678235
10.658582,12,11.765141
7.710861,10,11.851391
15.554217,13,11.966941
13.172894,8,12.032099
10.878271,5,12.072974
15.389074,12,12.171315
15.430596,6,12.225594
16.628825,10,12.307152
2.239275,17,12.455688
17.337087,14,12.571502
18.213308,9,12.649235
13.920734,7,12.713119
14.708741,13,12.823675
7.983643,10,12.909446
12.733478,13,13.015178
18.480788,12,13.121633
13.280003,12,13.216228
10.907478,7,13.278254
8.36121,12,13.380023
20.402407,15,13.507205
10.557124,6,13.56782
12.434322,7,13.63284
9.93939,8,13.698772
9.785776,5,13.739947
17.808011,8,13.803421
13.752457,10,13.891945
13.941639,17,14.041234
16.306951,12,14.14224
17.57258,10,14.235442
17.851251,12,14.335253
7.361287,6,14.393338
20.667001,10,14.486247
10.053789,15,14.627605
14.342442,10,14.723102
13.491013,8,14.799632
15.053984,5,14.843902
15.103093,6,14.8962
13.267597,8,14.961701
16.701759,10,15.052919
5.210369,12,15.158606
13.06329,8,15.231102
17.647273,8,15.29406
14.817359,8,15.362021
7.592727,10,15.442377
13.972806,19,15.603969
15.917322,14,15.733077
13.507335,14,15.877549
15.517654,13,15.994356
16.997187,14,16.117505
9.716441,6,16.167157
13.613184,6,16.220112
1.121055,13,16.335781
11.206307,9,16.415251
15.503655,9,16.494504
9.441251,7,16.563267
16.712892,5,16.602875
14.42882,7,16.65868
5.710342,14,16.775415
11.470058,10,16.873369
15.435777,8,16.961413
9.006369,11,17.107234
4.056525,12,17.238317
14.340468,6,17.301087
13.405305,8,17.380406
13.243068,5,17.435575
14.494998,7,17.499314
5.296666,12,17.623945
14.366651,9,17.724256
17.503194,12,17.868272
12.806363,5,17.91488
14.039281,9,18.014276
11.503004,23,18.277059
12.104869,8,18.359524
9.888051,6,18.422839
17.909574,6,18.470608
15.976224,6,18.533772
6.404989,17,18.725664
2.037993,14,18.883142
10.853625,15,19.042788
12.278613,9,19.13491
12.324427,10,19.246395
10.353698,12,19.379871
12.361322,10,19.513029
8.591271,8,19.610395
11.060136,5,19.659565
11.21461,5,19.71733
12.743912,9,19.812019
15.217007,11,19.935834
13.6629,11,20.049009
14.772799,11,23.304993
10.432197,9,23.419251
12.762127,7,23.497622
11.575656,7,23.609143
13.190254,7,23.730346
14.057776,6,23.82372
13.25457,9,23.949143
21.516935,12,24.131285
7.196677,16,24.305347
15.323716,13,24.479044
18.940087,16,24.704078
15.895507,7,24.803821
15.985829,17,25.012015
21.434184,25,25.325849
12.416008,13,25.49553
7.14117,18,25.736973
13.15799,9,25.84661
18.043233,6,25.910023
9.013271,6,25.989288
12.696361,5,26.059502
18.062509,12,26.234998
17.222963,6,26.304821
17.144388,7,26.387957
11.217545,7,26.486815
15.46667,5,26.552342
13.222388,8,26.648523
17.195581,13,26.820739
17.384285,9,26.927189
11.280347,13,27.092818
10.603061,7,27.174399
13.852748,5,27.23601
15.517858,8,27.3246
9.501311,8,27.41373
15.757127,7,27.503139
15.383851,6,27.590127
10.085414,10,27.722456
8.762699,14,27.892873
16.172513,13,28.076389
9.945709,10,28.221039
11.080238,9,28.328563
17.350501,8,28.431978
13.567687,12,28.594432
9.984643,16,28.783759
14.68411,11,28.913193
5.301206,8,29.02344
9.580939,6,29.108051
18.289753,9,29.233842
15.190892,8,29.339661
15.497247,8,29.441163
12.973144,8,29.54706
11.235316,7,29.633631
11.887958,13,29.790322
4.950511,13,29.93945
10.775736,12,30.089292
15.127013,13,30.268134
16.301417,11,30.399852
9.936496,8,30.502172
8.528256,12,30.653575
15.839366,11,30.790347
12.557222,8,30.893219
8.543107,14,31.059611
17.929898,19,31.308872
18.98394,9,31.416317
16.224133,10,31.570274
17.783615,9,31.69576
6.758213,13,31.859984
13.476225,11,32.006419
16.057264,7,32.089164
15.249933,6,32.170362
18.182714,11,32.321465
14.318732,9,32.437032
17.120197,6,32.517699
15.69604,6,32.588468
18.626456,8,32.67665
9.85804,12,32.822867
14.645689,14,33.002936
12.564138,6,33.079055
15.083655,19,33.32791
13.533299,6,33.403864
14.784412,11,33.563782
12.856947,18,33.797419
15.255609,6,33.876081
9.318684,5,33.934028
16.634576,6,34.007565
15.893927,15,34.194735
20.105981,10,34.310891
13.445478,7,34.388656
11.396587,14,34.53325
12.46983,14,34.696486
16.883313,6,34.754386
