# {"t_start": 1553024609.1284502, "env_id": "HopperBulletEnv-v0"} 
r,l,t
18.136181,7,1.444393
6.208255,16,1.524577
10.444545,8,1.566729
15.519976,10,1.617226
11.680127,11,1.673249
13.676971,8,1.710459
17.16657,8,1.749868
14.355304,5,1.777024
4.780643,12,1.839522
16.967433,8,1.880326
12.509781,6,1.910375
7.843349,16,1.992273
11.442512,16,2.070782
14.856414,10,2.120709
13.584968,7,2.156266
10.339524,7,2.192625
14.931244,7,2.226979
8.455057,14,2.294357
15.797013,12,2.356275
16.547406,8,2.397619
6.566859,5,2.421893
14.051911,8,2.460718
8.939848,9,2.507305
15.150735,13,2.573479
14.225326,19,2.668924
6.277768,8,2.707037
8.452994,9,2.751068
14.12461,11,2.807028
17.388245,8,2.847722
17.238262,6,2.876931
11.622997,13,2.940984
6.394603,12,3.000567
13.193629,20,3.099779
11.696885,12,3.157618
13.302039,7,3.189719
12.517274,18,3.273069
11.616455,11,3.32323
8.96157,10,3.371138
15.576367,6,3.399039
15.912553,10,3.44558
12.12662,13,3.504231
15.135571,12,3.561463
4.219928,12,3.619124
11.158134,9,3.666228
14.062509,8,3.708978
11.742236,8,3.753396
9.456574,9,3.800992
14.436106,8,3.845974
16.7337,11,3.90251
21.718588,19,4.004861
13.327995,13,4.074192
16.656734,8,4.116491
6.412547,11,4.177783
15.645245,8,4.218257
15.192622,7,4.255629
13.836458,10,4.312349
10.00334,11,4.373891
15.293985,11,4.431868
11.160598,15,4.516148
11.739222,8,4.557853
17.57619,11,4.618297
17.291885,16,4.705149
18.635827,10,4.759983
13.00862,23,4.880985
10.042253,13,4.95155
14.002599,10,5.003534
12.135098,10,5.066407
18.972502,20,5.171323
7.302939,12,5.234464
11.906983,10,5.287713
12.605815,5,5.312528
12.267268,10,5.367395
0.348576,12,5.432062
10.551634,13,5.503449
12.949346,12,5.56948
9.99919,7,5.607059
16.973233,15,5.694889
15.145766,9,5.74592
12.513325,12,5.816039
13.608513,17,5.916627
13.347484,5,5.947247
15.254879,10,6.00425
21.247081,14,6.08793
8.402298,7,6.129441
17.122853,15,6.223059
10.164512,6,6.261149
18.074041,17,6.368928
10.472618,10,6.431356
12.317002,13,6.506225
15.917836,6,6.541448
16.440841,7,6.581102
12.044977,9,6.630635
13.309947,6,6.662984
12.86903,10,6.720268
11.572202,5,6.747352
6.464186,11,6.805604
12.190813,11,6.8652
13.391077,8,6.905149
17.236321,18,7.001245
15.114327,5,7.027179
15.067268,6,7.059291
9.576926,11,7.115135
7.67912,7,7.152231
7.826945,16,7.236578
9.860031,18,7.333076
14.968905,13,7.405026
17.347444,8,7.445938
15.642993,8,7.489872
11.244854,9,7.538628
10.632983,17,7.631071
10.833164,5,7.656818
4.621593,9,7.706024
9.145921,11,7.764513
13.393269,9,7.812048
14.326572,9,7.860862
13.27794,6,7.89305
12.906927,6,7.925531
19.4723,16,8.010105
17.590411,12,8.072236
16.749025,8,8.114408
13.548957,7,8.151775
15.598832,9,8.200515
19.074172,14,8.274956
11.334248,8,8.318155
8.480205,11,8.377168
13.927629,14,8.450785
12.816925,8,8.491853
15.764429,12,8.551777
12.030801,18,8.648302
12.744096,8,8.692087
14.946897,7,8.72978
14.154965,7,8.765799
1.485719,13,8.834965
16.746317,5,8.861686
15.832012,8,8.905256
15.523741,10,8.955975
14.528983,7,8.991406
17.763981,11,9.047587
17.379815,11,9.103496
12.57731,7,9.14141
8.437003,11,9.197573
10.921624,16,9.281473
17.308461,8,9.322001
12.503477,11,9.380131
9.602942,11,9.438938
17.93486,14,9.513438
14.785976,8,9.556555
19.672212,16,9.640066
7.347918,5,9.668183
16.253518,14,9.741658
19.086574,13,9.812894
14.288757,9,9.861236
7.606648,14,9.9384
9.745845,5,9.965457
11.99523,5,9.99438
17.178229,6,10.025161
9.112849,6,10.05563
7.770859,14,10.132687
15.58448,10,10.185798
12.682561,6,10.218507
13.708086,14,10.295703
11.893954,8,10.338831
14.463993,11,10.399339
16.295268,25,10.532705
11.501159,7,10.570058
11.20271,13,10.638192
15.253321,9,10.688782
5.56962,14,10.765129
9.534572,16,10.848185
8.958752,12,10.911572
12.821783,9,10.959011
15.305728,10,11.016549
16.880751,11,11.072896
7.724212,14,11.14676
16.934571,7,11.182152
9.174074,8,11.226922
9.038989,14,11.301419
15.792587,8,11.342757
15.532396,6,11.373214
8.093656,6,11.405096
16.074676,11,11.462456
13.898679,6,11.493814
12.185139,13,11.562502
8.09478,9,11.60804
22.224124,21,11.718725
8.109635,13,11.788876
13.147032,10,11.843135
14.727625,11,11.900494
8.212313,8,11.942585
8.011317,11,12.0008
17.281659,11,12.764681
16.046445,14,12.839819
11.167602,10,12.892104
15.000832,11,12.95275
16.314719,13,13.021825
5.920028,8,13.064993
12.773852,7,13.102812
11.553477,5,13.129536
16.672474,10,13.184388
16.002479,9,13.233125
6.435366,13,13.303988
14.940361,6,13.33721
16.659128,11,13.393393
12.571887,15,13.473972
16.486408,9,13.525036
