approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.001922418,0.013818358,150.0,-18.74908621,-0.0018864870071411133,2013,1,2.8314185,-0.0019841376,2048,12.20499849319458,24576,23.372068
0.0021540434,0.013431802,150.0,-9.43466759,0.019471287727355957,2129,10,2.681251,-0.0019356211,20480,115.1915111541748,245760,3.2692478
0.0022904552,0.016695155,150.0,-9.55844388,0.06528341770172119,2137,20,2.5328093,-0.0022167952,40960,232.07860350608826,491520,3.935206
0.0016311299,0.007849119,150.0,-8.11908295,0.2426096796989441,2138,30,2.3885922,-0.001760456,61440,344.63144612312317,737280,4.129426
0.0016736686,0.01259765,150.0,-6.19283948,0.41428208351135254,2110,40,2.2525508,-0.0022804902,81920,460.5457170009613,983040,3.1166246
0.0022567764,0.017130531,150.0,-5.16108136,0.5614755749702454,2143,50,2.0938706,-0.002036138,102400,575.772557258606,1228800,2.9401681
0.0024068793,0.016365556,150.0,0.018971940000000097,0.6434640288352966,2131,60,1.9229323,-0.0019894498,122880,691.4783666133881,1474560,2.6567123
0.0023898913,0.019193526,150.0,5.6714396,0.7156946361064911,2134,70,1.7463396,-0.0023981503,143360,809.3044295310974,1720320,2.754661
0.0021694193,0.020939121,150.0,8.40429767,0.7864472717046738,2120,80,1.5621674,-0.0025154764,163840,924.270120382309,1966080,2.5135326
0.0028941426,0.03143311,150.0,10.24836643,0.8219394087791443,2205,90,1.3837411,-0.0038284622,184320,1036.4143900871277,2211840,1.7961063
0.0020613775,0.018949375,150.0,14.50690605,0.8646004498004913,2251,100,1.2052845,-0.0019879595,204800,1151.295336484909,2457600,1.716543
0.002653377,0.031905122,150.0,12.313960799999997,0.8955530747771263,2165,110,1.0336169,-0.002495446,225280,1263.3281207084656,2703360,1.2546905
0.0019259851,0.019445807,150.0,14.487276360000001,0.9207827523350716,2146,120,0.85498524,-0.0022774471,245760,1377.7845137119293,2949120,1.1366929
0.002283686,0.02589925,150.0,14.65787247,0.9443032704293728,2274,130,0.7055166,-0.0027708036,266240,1485.1523385047913,3194880,0.7442099
0.0018515667,0.020971676,150.0,14.75008467,0.9625758416950703,2337,140,0.53805095,-0.003008477,286720,1591.188972711563,3440640,0.550009
0.0019097695,0.021907557,150.0,16.15463138,0.967886496335268,2123,150,0.38508266,-0.0026877837,307200,1699.4542081356049,3686400,0.47773394
0.0022002629,0.029561365,150.0,16.56093314,0.9774359967559576,2147,160,0.22936821,-0.0034898673,327680,1814.4648044109344,3932160,0.36570925
0.0023927516,0.037093095,150.0,15.44775754,0.974361713975668,2121,170,0.06731293,-0.0024849116,348160,1929.3096578121185,4177920,0.37088042
0.0019950396,0.028710935,150.0,18.368556690000002,0.981601731851697,2166,180,-0.06680535,-0.0026259974,368640,2044.877230644226,4423680,0.27835798
0.002077511,0.033544935,150.0,16.94244903,0.9790941886603832,1951,190,-0.21137318,-0.002951954,389120,2162.1955840587616,4669440,0.3400601
0.0023578745,0.04308269,150.0,16.823412910000002,0.9799805879592896,1926,200,-0.33073822,-0.0030555404,409600,2285.844513654709,4915200,0.30384725
0.002356009,0.04433188,150.0,16.554209849999996,0.9817544892430305,2013,210,-0.45892677,-0.0030626818,430080,2408.578192949295,5160960,0.29451913
0.002457039,0.049283855,150.0,17.35436885,0.9820144884288311,1972,220,-0.5732244,-0.0033242032,450560,2530.835771083832,5406720,0.2879848
0.002182228,0.04405112,150.0,18.230772769999998,0.9866956919431686,1884,230,-0.6501043,-0.0025648936,471040,2653.4190289974213,5652480,0.24172327
0.0021709925,0.0454834,150.0,18.34569075,0.9821740668267012,2010,240,-0.755998,-0.0032612782,491520,2776.2600853443146,5898240,0.30839854
0.0021787374,0.048868813,150.0,17.28293903,0.9867661613970995,1922,250,-0.8578207,-0.0028604462,512000,2899.2731623649597,6144000,0.23310113
0.0021582458,0.052315257,150.0,17.17956448,0.9881981695070863,2020,260,-0.94799805,-0.0030201352,532480,3021.994954586029,6389760,0.19057229
0.0021093376,0.0536743,150.0,17.3189254,0.9852664191275835,2006,270,-1.0151752,-0.002746819,552960,3144.1817030906677,6635520,0.22894791
0.00196381,0.049519848,150.0,17.078580249999998,0.9886465268209577,2008,280,-1.0911963,-0.0032458745,573440,3269.186026096344,6881280,0.17524464
0.0019116614,0.050899237,150.0,18.649804370000005,0.9868100387975574,2005,290,-1.1572628,-0.0029848646,593920,3392.2065839767456,7127040,0.22870703
0.0021899212,0.065885395,150.0,16.981082819999997,0.9889238234609365,2055,300,-1.2240183,-0.0029598589,614400,3513.8830177783966,7372800,0.16788451
0.0017648382,0.051086433,150.0,18.15054243,0.9902800284326077,2027,310,-1.278588,-0.0028025701,634880,3636.9808599948883,7618560,0.17001691
0.0016747772,0.051025398,150.0,19.060247070000003,0.9896784946322441,2003,320,-1.3350675,-0.0024224685,655360,3758.413807153702,7864320,0.1565647
0.0019812686,0.0679484,150.0,17.80035825,0.9871681313961744,2024,330,-1.3847606,-0.0023341898,675840,3881.9894156455994,8110080,0.20985928
0.0017844478,0.062113445,150.0,18.68501114,0.9873808706179261,2039,340,-1.4295161,-0.0019970196,696320,4005.132663965225,8355840,0.22272785
0.0016922692,0.060302746,150.0,18.0060885,0.9876060001552105,1963,350,-1.4766108,-0.0021410552,716800,4127.703005075455,8601600,0.20271787
