# {"t_start": 1553142680.388322, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-18.934986,150,4.93488
-41.673665,150,5.970093
-40.731562,150,7.011495
-4.529407,150,7.887088
-15.136928,150,8.873267
-30.294057,150,9.796983
-20.174179,150,10.731577
-18.458172,150,11.669823
-27.763349,150,12.641238
-13.08843,150,13.606362
-13.124158,150,14.537476
1.258118,150,15.51234
-47.397769,150,16.431999
-10.786514,150,19.153859
-14.969585,150,20.127074
-11.070807,150,21.127252
-15.532701,150,22.054264
-9.688618,150,22.970672
-14.616853,150,23.918143
-22.073249,150,24.836971
-11.524754,150,25.72482
-11.10971,150,26.683991
-16.975597,150,27.592863
-35.457377,150,28.52302
-0.051202,150,29.409579
-17.795624,150,30.265023
-19.833357,150,31.211451
-38.168776,150,33.535399
-14.469603,150,34.450422
-20.756314,150,35.366374
-8.112694,150,36.265718
-25.374107,150,37.196723
-6.340119,150,38.10599
-13.457357,150,39.086677
-6.150233,150,40.017669
-55.610995,150,40.946731
-32.674176,150,41.858606
-4.964754,150,42.786951
-9.15815,150,43.711418
-14.051409,150,44.59215
-26.750091,150,46.990822
-6.250286,150,47.850475
1.562348,150,48.702734
-14.780627,150,49.587566
4.58101,150,50.484354
-26.667286,150,51.417572
-3.891382,150,52.314455
-53.327799,150,53.224686
-23.977596,150,54.190325
-0.690858,150,55.140683
-28.621392,150,56.063504
-21.589831,150,56.971836
-6.359318,150,57.833474
-1.140857,150,58.756104
-3.963305,150,61.146206
-5.05303,150,62.070393
-10.258778,150,62.989217
-16.383235,150,63.941454
-16.785642,150,64.863119
2.453816,150,65.789877
-7.680408,150,66.724129
-7.786841,150,67.680458
-17.746657,150,68.570519
-15.532793,150,69.457425
-3.563864,150,70.379454
-4.711566,150,71.304078
-9.037906,150,72.236889
-2.870181,150,73.08736
-31.990324,150,75.510108
-14.813611,150,76.460408
-26.429066,150,77.35058
1.787227,150,78.252882
-14.606511,150,79.21353
-5.752373,150,80.090533
-19.121176,150,80.990353
2.353809,150,81.849988
-16.254468,150,82.736016
-1.365461,150,83.636879
-5.656102,150,84.505156
4.112093,150,85.359781
-16.176756,150,86.221152
-7.200757,150,88.589433
-12.239174,150,89.440993
-13.101319,150,90.348905
-14.63748,150,91.297017
-21.637595,150,92.18763
-5.961178,150,93.105851
1.513831,150,94.084257
9.569768,150,95.067733
-15.332457,150,96.047265
-7.901479,150,97.049758
-3.231319,150,98.026983
-31.457004,150,98.9994
-32.022903,150,99.909462
-0.522095,150,100.830579
-6.80749,150,103.105028
-9.350792,150,104.015114
-16.820449,150,104.88529
-11.105044,150,105.801919
2.923304,150,106.728386
9.164752,150,107.620446
-15.811051,150,108.515614
-23.247761,150,109.41199
-26.657035,150,110.337533
-8.779482,150,111.292202
5.369566,150,112.181854
-13.651042,150,113.079587
-31.843899,150,113.961792
-9.804294,150,114.843324
1.694538,150,117.031147
-24.256303,150,117.956411
8.947811,150,118.867385
4.256998,150,119.796418
-0.954131,150,120.679005
-6.72159,150,121.611414
-7.397368,150,122.539866
9.352946,150,123.499454
-14.167282,150,124.421872
-12.324354,150,125.342531
5.687107,150,126.327486
-26.406973,150,127.27381
0.486831,150,128.187391
-18.330407,150,130.533904
-12.517172,150,131.369163
-40.907268,150,132.274757
-14.681789,150,133.174368
1.433025,150,134.066623
-13.058415,150,134.981768
3.429768,150,135.835805
4.446074,150,136.731587
-13.428498,150,137.678311
6.292868,150,138.627736
9.819372,150,139.520584
3.959448,150,140.451772
0.652059,150,141.330076
-14.846976,150,142.214722
2.624873,150,144.485538
-4.154472,150,145.355563
-8.446334,150,146.263458
-19.85823,150,147.178208
-31.79879,150,148.117427
-9.433547,150,149.011958
1.564766,150,149.956889
-13.842566,150,150.856028
17.028583,150,151.700533
-27.588801,150,152.635172
-4.136675,150,153.483282
4.926423,150,154.422713
-2.578329,150,155.30104
-7.940171,150,156.140294
-1.59909,150,158.425616
-16.368274,150,159.324178
-15.12888,150,160.242574
-2.673227,150,161.157091
17.63502,150,162.095127
-19.072945,150,163.045161
2.52749,150,163.952706
-7.465008,150,164.850136
-20.434416,150,165.760096
-6.90147,150,166.635652
-16.287776,150,167.554279
5.42279,150,168.43161
0.276835,150,169.32127
-5.224949,150,171.727995
0.788918,150,172.560225
-8.115824,150,173.440265
2.738196,150,174.319856
-2.481526,150,175.184445
-2.844372,150,176.049795
-18.725222,150,176.960696
-10.680206,150,177.831464
-15.735873,150,178.740938
9.370581,150,179.64249
16.140932,150,180.557706
-2.44359,150,181.434277
-14.238512,150,182.362361
-5.553304,150,183.142402
-16.488757,150,185.492265
10.213143,150,186.336947
2.374549,150,187.267271
9.808877,150,188.154563
-8.665652,150,189.077682
-4.414273,150,189.958479
8.579125,150,190.85046
-1.999508,150,191.800267
14.064153,150,192.718726
10.618401,150,193.653227
11.909688,150,194.533787
24.280912,150,195.436977
-16.18296,150,196.219336
2.575955,150,196.916301
-3.538914,150,199.371773
-2.661991,150,200.28626
8.026168,150,201.205577
-0.01041,150,202.102853
7.832308,150,203.035399
-13.93874,150,203.962593
1.177044,150,204.840689
12.991193,150,205.731803
-27.92159,150,206.627322
-4.295502,150,207.542895
-0.91168,150,208.459927
-2.510952,150,209.231891
-18.692541,150,209.959872
20.161047,150,212.467523
-14.186395,150,213.340785
11.423721,150,214.240226
9.556043,150,215.103581
20.580363,150,215.96607
19.460868,150,216.808807
-16.590862,150,217.688555
-10.906625,150,218.604496
-11.672575,150,219.502421
-22.809929,150,220.396682
-2.734724,150,221.288927
18.92989,150,222.221596
12.117243,150,223.106325
6.420894,150,223.933691
28.2795,150,226.820704
18.816595,150,227.855298
22.187248,150,228.841831
11.626524,150,229.803332
15.236824,150,230.85277
17.925756,150,231.81607
7.799602,150,232.736228
9.874309,150,233.628242
8.129182,150,234.584213
-7.231381,150,235.510571
4.176424,150,236.369682
12.62381,150,237.137498
-10.423969,150,237.891734
-4.711248,150,238.799424
20.831842,150,241.41329
17.061284,150,242.341763
-0.165793,150,243.25693
16.567855,150,244.205271
-3.683863,150,245.125734
3.942332,150,246.030015
-15.247781,150,246.915777
3.233589,150,247.866524
-14.268178,150,248.786316
26.805918,150,249.651705
5.194844,150,250.363526
-10.428488,150,251.081606
-13.076514,150,251.93138
-5.414257,150,254.617507
15.131275,150,255.481601
7.075614,150,256.48048
13.867953,150,257.414065
14.540761,150,258.27643
12.518517,150,259.183204
-13.447028,150,260.120861
19.001918,150,261.028339
-3.603084,150,261.975492
5.189911,150,262.881694
4.146191,150,263.620924
-2.569437,150,264.349076
5.301139,150,265.166892
3.761877,150,266.05213
-4.290488,150,268.640018
23.019049,150,269.559026
-3.653193,150,270.484942
7.53861,150,271.388029
5.291787,150,272.31683
2.803602,150,273.196697
13.112825,150,274.139351
3.278992,150,275.019445
4.524016,150,275.823335
7.396081,150,276.607383
1.218856,150,277.336278
10.969678,150,278.040341
-0.900106,150,278.955502
2.830659,150,279.819442
11.226542,150,282.429596
16.739651,150,283.335311
-7.446485,150,284.207797
10.497614,150,285.159391
9.43295,150,286.074657
5.554743,150,287.014887
9.275433,150,287.891318
6.815681,150,288.732147
25.238337,150,289.650002
-15.828511,150,290.377533
0.462612,150,291.085007
-0.538878,150,291.932941
-7.02779,150,292.837203
24.206703,150,295.466915
22.23014,150,296.320166
8.603544,150,297.263926
12.754143,150,298.222505
13.716942,150,299.163708
2.428591,150,300.087999
6.663298,150,300.960013
3.808629,150,301.88274
3.19303,150,302.84403
25.880838,150,303.576241
9.002198,150,304.288979
7.566658,150,305.038382
-0.617419,150,305.929644
6.870199,150,306.836958
11.010485,150,309.361896
-0.02881,150,310.289946
26.571617,150,311.209226
20.019591,150,312.0771
3.364456,150,312.990933
0.097725,150,313.84705
4.293022,150,314.718326
-7.50158,150,315.640491
19.793097,150,316.433002
5.298338,150,317.154941
-2.823481,150,317.885837
7.238173,150,318.768434
-1.269294,150,319.654334
3.006549,150,320.539903
16.930563,150,323.02847
9.022939,150,323.938309
30.072045,150,324.841344
13.525278,150,325.718863
-1.184886,150,326.618332
24.798023,150,327.479955
-0.837129,150,328.367903
28.051776,150,329.243186
8.863187,150,329.950465
20.666596,150,330.678
14.768664,150,331.489426
21.227759,150,332.472423
0.536342,150,333.367186
9.727904,150,336.010998
29.086571,150,336.721357
6.486812,150,337.643127
10.683314,150,338.587823
11.18049,150,339.461524
3.761961,150,340.330646
20.615594,150,341.229336
17.638187,150,342.092728
-4.081968,150,342.813429
1.636907,150,343.51036
21.093908,150,344.231877
1.207284,150,345.195804
31.175001,150,346.069568
27.998227,150,346.986326
8.981286,150,349.493539
1.001666,150,350.199983
10.329708,150,351.110855
17.806633,150,351.962029
28.290185,150,352.853204
11.431492,150,353.687571
18.462478,150,354.558372
26.293076,150,355.434451
7.461313,150,356.146213
11.401743,150,356.861167
11.569319,150,357.625261
11.6453,150,358.496288
-4.021827,150,359.396623
20.83482,150,362.082139
10.73518,150,362.753475
26.056522,150,363.516033
10.866945,150,364.42592
13.290216,150,365.303436
11.31844,150,366.183825
15.638424,150,367.043626
30.33997,150,367.944942
28.531511,150,368.824096
9.874699,150,369.55149
-1.031978,150,370.283623
10.150584,150,371.12519
13.908739,150,371.999211
22.219686,150,372.911159
8.342769,150,375.584478
18.50518,150,376.315055
17.999907,150,377.128296
15.197065,150,378.00862
18.078365,150,378.900204
32.510736,150,379.750773
-1.734404,150,380.65187
8.394929,150,381.534203
16.748116,150,382.275025
29.415122,150,382.996182
14.504509,150,383.743208
-0.049968,150,384.590929
24.674037,150,385.488689
11.235179,150,386.349838
4.603863,150,388.982304
-0.168993,150,389.680911
-4.571149,150,390.439481
11.56696,150,391.340243
-4.613245,150,392.203379
3.024743,150,393.08745
11.849774,150,393.963825
18.631891,150,394.757276
20.307933,150,395.518629
10.064321,150,396.237799
14.469729,150,397.085424
27.336513,150,397.988841
10.781995,150,398.903318
8.981121,150,401.805889
-4.047376,150,402.575326
26.680945,150,403.394946
9.227382,150,404.317918
20.560736,150,405.317705
16.704591,150,406.231841
-8.479782,150,407.163911
8.896285,150,408.040782
