# {"t_start": 1552896708.3735697, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-5.891555,150,1.668248
-12.9679,150,2.045395
-26.397345,150,2.386264
-18.974551,150,2.733104
-38.006339,150,3.109984
-10.861506,150,3.493479
-6.392586,150,3.83266
-24.889718,150,4.18782
-27.388043,150,4.55277
-11.448527,150,4.909278
-17.128983,150,5.259946
-25.885327,150,5.613724
-8.238266,150,6.032999
-17.863038,150,6.622498
-24.061552,150,6.993608
-16.349916,150,7.386621
-10.906503,150,7.799266
-9.323039,150,8.269095
-18.843473,150,8.661182
-24.887374,150,9.036198
-19.165212,150,9.461667
-14.006129,150,9.944919
-54.455812,150,10.413576
-23.413751,150,10.896591
-17.476694,150,11.373628
-9.514547,150,11.849356
-0.274548,150,12.320701
-16.222415,150,12.938793
-11.813065,150,13.411
-23.583045,150,13.900024
-34.911218,150,14.385122
-2.40948,150,14.90119
-5.014027,150,15.388261
3.336093,150,15.947243
-2.674637,150,16.483185
-4.535729,150,17.024025
-11.115953,150,17.600452
-19.95275,150,18.175933
-15.282443,150,18.72963
-18.26922,150,19.384212
-24.579685,150,20.136975
-14.161438,150,20.753791
-5.83452,150,21.383382
-13.625629,150,22.017611
-9.742857,150,22.661556
-11.137745,150,23.305647
-25.359786,150,23.943848
-10.075855,150,24.568104
-32.648239,150,25.235498
-3.931067,150,25.874987
-15.881843,150,26.51104
6.533087,150,27.182207
-2.731227,150,27.844055
1.745552,150,28.467192
-6.007178,150,29.282073
-26.691313,150,29.909775
-6.98928,150,30.631358
-19.875934,150,31.280697
-17.324529,150,31.912988
3.033727,150,32.550438
-0.083723,150,33.195401
-21.294442,150,33.823416
-16.865347,150,34.466504
-10.88123,150,35.112782
-19.738504,150,35.797921
-12.370846,150,36.444146
-11.793569,150,37.065324
-3.753407,150,37.700695
-18.327126,150,38.522853
-20.562002,150,39.150031
-18.154807,150,39.80338
-14.693571,150,40.438438
-8.570186,150,41.105062
1.313997,150,41.749444
-30.13556,150,42.402636
-11.843376,150,43.035329
2.02724,150,43.655418
-14.413684,150,44.291722
-9.336954,150,44.912629
-27.085691,150,45.537955
-9.765815,150,46.200777
2.786997,150,47.001365
8.993115,150,47.638472
2.232725,150,48.266692
-21.542538,150,48.902962
-20.255334,150,49.541065
-1.958897,150,50.16878
-13.655539,150,50.827767
-18.099726,150,51.461699
-22.979124,150,52.103098
-18.280126,150,52.748876
-9.735432,150,53.394298
-16.553985,150,54.04089
-15.104079,150,54.670041
-20.346481,150,55.299645
-4.861657,150,56.168824
-20.610302,150,56.843474
-3.012057,150,57.497772
-24.874562,150,58.136474
1.797779,150,58.7739
-5.255274,150,59.41379
0.641089,150,60.065452
-11.444303,150,60.705725
-14.517968,150,61.396451
-24.708396,150,62.034898
-13.529144,150,62.679009
3.3453,150,63.315267
-23.200234,150,63.950497
-31.915675,150,64.592627
-28.715034,150,65.424774
-5.74291,150,66.089888
-3.651952,150,66.76215
-16.050506,150,67.3909
-22.660795,150,68.02536
-6.353385,150,68.683118
-18.486317,150,69.296315
-14.217903,150,69.937212
-14.846253,150,70.567835
-21.506254,150,71.234233
-13.424783,150,71.910352
-18.234464,150,72.57806
-4.435149,150,73.240736
-14.90275,150,74.069383
-33.856269,150,74.712618
-10.134485,150,75.361851
-12.216165,150,76.001413
-43.216291,150,76.671434
-1.630866,150,77.318671
-17.991761,150,77.963211
-12.474013,150,78.603783
5.599984,150,79.231719
-14.68196,150,79.892883
-9.162771,150,80.546345
-5.108726,150,81.182856
-20.261836,150,81.897441
-22.280148,150,82.571746
-15.479244,150,83.397436
-9.651363,150,84.043195
-27.860414,150,84.685267
3.593424,150,85.329802
-13.643723,150,86.002318
-31.147842,150,86.732981
-6.362601,150,87.377847
-16.37426,150,88.026722
-6.962675,150,88.671839
-28.380713,150,89.301915
10.771842,150,89.934568
-10.5549,150,90.554916
-1.725312,150,91.203785
-11.408096,150,91.849039
-6.982684,150,92.649283
-9.685849,150,93.287836
-6.888349,150,93.920182
-9.25154,150,94.564447
-16.138316,150,95.19768
-1.589345,150,95.839151
-6.523914,150,96.477146
-9.116747,150,97.145839
0.503367,150,97.765435
-18.197812,150,98.40637
-9.173464,150,99.044816
-26.747298,150,99.670996
-17.887095,150,100.318673
-7.767815,150,101.14823
-18.747842,150,101.813585
-13.28351,150,102.476406
1.785111,150,103.125608
-25.937177,150,103.775923
-5.067404,150,104.409724
-26.308169,150,105.031198
-4.061761,150,105.654506
-9.392654,150,106.293574
2.222908,150,106.941047
-17.20166,150,107.612812
-18.458187,150,108.244437
3.493829,150,108.880316
-12.679242,150,109.518571
-17.543948,150,110.332506
-15.797478,150,110.971205
-23.000735,150,111.593377
-12.16331,150,112.251129
-19.731916,150,112.920098
-2.600569,150,113.56916
-18.813972,150,114.22282
-0.680074,150,114.867276
6.451335,150,115.512087
-13.745412,150,116.178857
-16.748412,150,116.842737
-8.025551,150,117.514038
6.983949,150,118.141489
-28.194895,150,118.776988
2.885276,150,119.594554
-21.344462,150,120.241496
-26.226545,150,120.861997
-31.703189,150,121.498978
-17.32272,150,122.129663
-3.18768,150,122.805496
-8.876367,150,123.432175
-16.238538,150,124.074518
-28.108524,150,124.750643
-8.708364,150,125.437894
8.064097,150,126.095611
-21.078734,150,126.760087
13.77308,150,127.444765
-23.815348,150,128.345801
-21.163653,150,129.071877
-15.761618,150,129.75108
-17.808728,150,130.386529
-1.406607,150,131.015611
-12.095209,150,131.669271
1.17316,150,132.293577
-12.939379,150,132.941364
-15.502479,150,133.569886
-21.548065,150,134.186683
-19.814324,150,134.815794
-18.013694,150,135.457836
-15.171497,150,136.093563
-16.488072,150,136.715395
-18.941934,150,137.508806
-20.56423,150,138.152523
-17.800008,150,138.782516
2.520084,150,139.433936
-4.101193,150,140.075999
-15.5605,150,140.722874
-29.745586,150,141.35369
-29.507262,150,141.978777
-8.549724,150,142.618356
-10.870625,150,143.279279
-8.361059,150,143.925168
-6.564117,150,144.554945
4.203928,150,145.16823
-0.955101,150,145.813243
7.780233,150,146.713174
-16.952077,150,147.3556
-19.554017,150,147.981821
-20.951856,150,148.647214
-21.21942,150,149.287133
-16.495069,150,149.930341
-17.622105,150,150.545769
-25.958702,150,151.176262
-17.680167,150,151.798676
1.384147,150,152.427682
-15.706193,150,153.07603
-29.035129,150,153.753162
-9.139652,150,154.398989
-26.919316,150,155.205155
-11.541275,150,155.836901
-2.826957,150,156.467102
1.631231,150,157.124923
-16.918549,150,157.756913
-23.23071,150,158.400282
-26.619794,150,159.080085
-26.11955,150,159.712332
11.724809,150,160.357929
1.163941,150,161.018667
-18.827561,150,161.65086
-16.656354,150,162.290526
-9.91185,150,162.922579
-20.547844,150,163.578608
-32.774953,150,164.38623
2.991332,150,165.036309
1.353686,150,165.677605
-7.67868,150,166.312725
-0.302195,150,166.946098
-20.723061,150,167.576026
-29.935594,150,168.208009
-12.55546,150,168.861504
4.1173,150,169.488692
-13.18825,150,170.12485
2.423581,150,170.766191
-2.13604,150,171.39883
-2.387668,150,172.02417
-6.167328,150,172.661617
-25.682871,150,173.484604
-14.29387,150,174.17486
-22.527104,150,174.800984
1.591485,150,175.438426
-10.383238,150,176.09884
-1.102765,150,176.791221
-9.388224,150,177.435676
-34.043378,150,178.064535
6.416108,150,178.709244
-2.258191,150,179.380103
-7.886103,150,180.073325
2.349538,150,180.739303
-28.580249,150,181.429361
-6.953928,150,182.307981
-11.942289,150,182.967885
-13.395472,150,183.640485
-12.500684,150,184.322732
-4.110592,150,184.992774
-14.06314,150,185.682641
9.402006,150,186.354342
-5.352284,150,187.028162
-11.698154,150,187.713603
-18.231162,150,188.405529
-2.175439,150,189.06946
-8.126881,150,189.783198
-2.85658,150,190.436396
-10.134446,150,191.086209
-27.710988,150,191.923889
-13.42383,150,192.560138
-6.662549,150,193.202998
-17.083158,150,193.844738
0.454442,150,194.522883
-27.185712,150,195.17241
-3.631796,150,195.804588
-3.947158,150,196.439466
-6.893041,150,197.077557
-12.585725,150,197.706031
-13.940455,150,198.325191
-29.620647,150,198.950926
7.392009,150,199.614769
-3.916239,150,200.248791
-18.040018,150,201.062664
-20.689391,150,201.686723
-16.134637,150,202.318151
-10.492064,150,202.95858
-8.087257,150,203.599311
-14.109313,150,204.227072
5.172301,150,204.876421
-21.779103,150,205.525054
-21.375513,150,206.170188
-11.176904,150,206.862317
-18.067764,150,207.505225
-29.330425,150,208.166311
2.062637,150,208.812278
-11.656963,150,209.664999
-17.211133,150,210.298055
6.924071,150,210.929209
-12.04567,150,211.599844
9.588733,150,212.25206
-0.949093,150,212.880337
5.691692,150,213.498512
1.615521,150,214.132243
-2.732418,150,214.773783
-10.941433,150,215.405053
4.400568,150,216.037872
-15.47062,150,216.681764
-2.786237,150,217.312637
1.940094,150,217.953449
-9.919034,150,218.768715
-7.757868,150,219.413954
-15.138635,150,220.080612
-29.429634,150,220.706852
-24.093659,150,221.35855
-24.489078,150,221.989701
12.489082,150,222.639408
-10.428857,150,223.265962
4.485818,150,223.903239
2.658797,150,224.538705
-3.980261,150,225.182703
-11.807318,150,225.808803
-6.098571,150,226.452943
9.081259,150,227.281771
-3.544937,150,227.924724
-30.408469,150,228.545309
7.854256,150,229.204239
-5.508569,150,229.846134
1.542598,150,230.526236
-15.478166,150,231.148962
-12.789128,150,231.792046
