# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1552896727.2267869} 
r,l,t
-76.973862,150,2.444065
-14.335802,150,3.064329
-19.468892,150,3.675419
-3.105294,150,4.296518
-12.061554,150,4.927263
-45.512109,150,5.545786
-22.261155,150,6.188633
-30.390396,150,6.847612
-4.227222,150,7.494895
-16.876437,150,8.14028
-10.326434,150,8.790119
-14.871939,150,9.417536
-1.476571,150,10.036462
-21.876469,150,10.991793
-15.08457,150,11.696368
-12.239283,150,12.326413
-22.97684,150,12.959623
-5.298864,150,13.605416
-18.900647,150,14.234858
-21.9818,150,14.867916
-16.314344,150,15.469672
-40.048127,150,16.091636
-25.925205,150,16.769491
-22.523935,150,17.380044
-18.847391,150,17.987999
-3.816677,150,18.623047
-9.442073,150,19.243288
-23.105335,150,20.066499
1.531031,150,20.696381
-5.246717,150,21.323992
-17.510958,150,21.98792
-28.310583,150,22.616511
2.521267,150,23.239948
-28.398346,150,23.874462
-4.004066,150,24.507458
-27.708893,150,25.13504
-20.1329,150,25.764515
-6.951485,150,26.38322
-9.32322,150,27.056685
-9.859238,150,27.699148
-44.225909,150,28.510335
-11.798255,150,29.143284
-12.040864,150,29.764962
-4.733938,150,30.388199
-25.999752,150,31.005488
-13.75405,150,31.640615
9.114077,150,32.30102
-13.258221,150,32.927089
-11.996344,150,33.552498
-22.543624,150,34.169421
-10.044859,150,34.799077
-30.111429,150,35.428927
-3.664019,150,36.065129
-3.954738,150,36.699552
8.348582,150,37.551579
-6.678769,150,38.182779
-11.524884,150,38.831191
-34.140502,150,39.451652
2.808518,150,40.069467
1.847989,150,40.706545
-17.155449,150,41.338144
-17.506992,150,41.96256
-11.704326,150,42.623083
-15.143683,150,43.248753
-7.699409,150,43.885008
-11.809657,150,44.509851
-18.058462,150,45.145645
-13.487857,150,45.771279
-9.812146,150,46.588037
-18.272532,150,47.228834
-20.365019,150,47.89993
-7.427789,150,48.522996
8.189802,150,49.160162
-18.113357,150,49.784151
-9.85757,150,50.421785
-5.102676,150,51.037051
-1.23063,150,51.655989
-9.358918,150,52.293446
-9.346487,150,52.975981
-6.596516,150,53.605308
-16.180298,150,54.240655
-2.046495,150,55.054777
-12.010586,150,55.698666
-10.734139,150,56.315604
-13.047624,150,56.950746
-24.524624,150,57.630944
-8.512429,150,58.251179
-11.987147,150,58.878835
-12.164496,150,59.52082
-12.629683,150,60.14413
-1.818459,150,60.781422
