# {"t_start": 1552980397.2169468, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-17.960005,150,1.899863
-38.218048,150,2.348051
-0.814936,150,2.796097
-19.818492,150,3.253651
-17.55527,150,3.717017
-9.07409,150,4.200227
-12.31632,150,4.707826
-9.734692,150,5.166533
-53.808441,150,5.652611
-15.853715,150,6.097648
1.224018,150,6.557354
1.931902,150,7.064392
-18.684395,150,7.558863
-15.387154,150,8.29143
-28.803872,150,8.773071
-27.406591,150,9.2665
-19.97274,150,9.758697
-19.001005,150,10.259725
0.096969,150,10.762892
-6.870271,150,11.258958
-39.299716,150,11.7549
-25.772251,150,12.240259
11.309877,150,12.748062
-16.11769,150,13.260107
-35.254295,150,13.801937
-14.847977,150,14.352317
8.083782,150,14.909877
5.718179,150,15.645886
-14.506045,150,16.298567
-17.859315,150,16.934533
-18.289161,150,17.534664
-3.182265,150,18.154361
-10.780494,150,18.797257
-18.132246,150,19.41973
-36.601601,150,20.025249
-12.534615,150,20.771272
-26.030501,150,21.544316
-12.649716,150,22.280286
-7.681907,150,23.014911
-33.572839,150,23.741063
-22.104015,150,24.639129
-11.03006,150,25.349714
-6.160239,150,26.052422
-5.053069,150,26.76641
-38.64728,150,27.526509
-11.284067,150,28.268812
-4.042248,150,28.997113
-31.446277,150,29.712009
-1.339104,150,30.391628
-3.579003,150,31.116309
-14.496358,150,31.843334
-19.609878,150,32.566397
-37.310246,150,33.293883
-6.143332,150,34.022449
-17.366446,150,34.925929
-18.73158,150,35.653416
-9.341658,150,36.546421
-19.445497,150,37.391314
-21.502291,150,38.232156
-8.301475,150,39.108649
-2.378336,150,40.004289
-7.863365,150,40.861409
-24.06963,150,41.814807
-29.960544,150,42.790049
-32.866208,150,43.776569
-6.733901,150,44.750583
4.502707,150,45.70865
-10.54751,150,46.676007
-26.548829,150,47.910438
-19.266866,150,48.933638
-5.728625,150,49.937296
-4.108818,150,50.921336
-18.819002,150,51.900042
-14.019807,150,52.884586
-12.623558,150,53.883396
-19.196857,150,54.806546
-20.923016,150,55.804204
9.822622,150,56.787078
-27.951831,150,57.757092
3.289735,150,58.729939
-14.640098,150,59.724935
-16.663778,150,60.960167
9.524933,150,61.981759
-32.61251,150,62.962528
-20.846607,150,63.937203
2.783599,150,64.91991
-2.435146,150,65.899674
3.324709,150,66.861914
-47.163948,150,67.805584
-13.935392,150,68.781481
-13.220641,150,69.769225
-2.87118,150,70.74232
-12.641566,150,71.698639
-5.462108,150,72.683217
-2.463773,150,73.644902
-11.444587,150,74.823756
-6.571026,150,75.789839
-0.362028,150,76.724627
-16.513069,150,77.657154
-3.049985,150,78.610072
-14.269414,150,79.568616
-29.245604,150,80.51444
-10.337986,150,81.459881
-3.587354,150,82.379948
-5.610826,150,83.284346
-5.958979,150,84.221608
-18.366225,150,85.184545
-23.83448,150,86.144448
-2.37429,150,87.103776
-27.571135,150,88.28375
6.868105,150,89.234996
-11.543459,150,90.177387
-15.054431,150,91.135231
-12.498533,150,92.073049
-19.249362,150,93.022799
4.338096,150,93.937403
-27.200657,150,94.870866
-22.477773,150,95.836801
-11.495281,150,96.790219
-16.230849,150,97.757776
-7.461056,150,98.723094
-6.570378,150,99.691682
-27.628287,150,100.852795
-14.541417,150,101.828824
-28.055759,150,102.780414
-26.937599,150,103.77499
-23.346431,150,104.746655
-10.917194,150,105.715635
-31.465176,150,106.674838
-0.081518,150,107.630889
5.819767,150,108.567059
-11.479729,150,109.506824
-2.727076,150,110.440706
-10.48701,150,111.380434
-25.626016,150,112.322192
-24.639843,150,113.270626
-2.997539,150,114.433701
-12.500422,150,115.38733
-10.564842,150,116.315026
-13.354529,150,117.294681
1.473413,150,118.239827
4.663821,150,119.185371
-0.922302,150,120.059677
-24.193638,150,120.986197
-32.845265,150,121.929283
-14.556464,150,122.898251
-0.457445,150,123.875692
-30.579644,150,124.806071
-29.540334,150,125.768602
-14.380928,150,126.733414
-21.505249,150,127.914939
-9.287689,150,128.871798
2.05892,150,129.81462
-11.940248,150,130.747816
-7.527257,150,131.693965
-9.513867,150,132.643014
0.014634,150,133.558274
-3.069027,150,134.496618
