approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0021240157,0.0031636558,150.0,-19.45403848,7.37309455871582e-05,2395,1,2.830165,-0.0025916612,2048,10.26072072982788,24576,21.79611
0.004189343,0.013295491,150.0,-11.910063619999995,0.008030116558074951,1902,10,2.6169555,-0.0005529399,20480,124.85691499710083,245760,3.1694531
0.0035549575,0.009470622,150.0,-8.657185590000001,0.05606639385223389,1904,20,2.4056427,-0.0017066493,40960,254.0410032272339,491520,3.0868068
0.004940164,0.017893473,150.0,-8.61890098,0.11673247814178467,1879,30,2.2273903,-0.0018708357,61440,384.71910977363586,737280,3.8592803
0.0038490857,0.0116170235,150.0,-8.303096909999999,0.21350830793380737,1847,40,2.0281935,-0.0013923076,81920,516.7465679645538,983040,3.2638776
0.0064245174,0.030873615,150.0,-3.6074980000000005,0.3809050917625427,1854,50,1.792253,-0.0012730755,102400,649.6872501373291,1228800,3.554497
0.005626479,0.027720131,150.0,-6.6207679499999985,0.4704572558403015,1865,60,1.6101066,-0.0014615888,122880,782.8779587745667,1474560,3.2858682
0.0057254783,0.029500326,150.0,-0.6364328900000001,0.6505321264266968,1810,70,1.4459165,-0.0024541449,143360,918.6483390331268,1720320,2.9220257
0.004376744,0.018707275,150.0,0.47934020000000016,0.7158686816692352,1856,80,1.3132882,-0.0015197597,163840,1053.2520542144775,1966080,3.3434443
0.0052920785,0.024546305,150.0,5.432867560000001,0.7795771658420563,1839,90,1.1750479,-0.0018386078,184320,1187.3121905326843,2211840,2.51185
0.0035645415,0.011291504,150.0,5.64275258,0.8114037215709686,1854,100,1.0372744,-0.0013614313,204800,1321.4295842647552,2457600,2.7024157
0.006950859,0.041371662,150.0,6.7295459399999995,0.844269186258316,1798,110,0.8750959,-0.0026150956,225280,1455.8274261951447,2703360,1.8828038
0.005781146,0.032979332,150.0,10.1281181,0.8772915378212929,1876,120,0.72388583,-0.0012629672,245760,1589.3052945137024,2949120,1.5452274
0.0045911395,0.025014242,150.0,9.62893063,0.8985880985856056,1882,130,0.5765484,-0.0020518072,266240,1719.1915323734283,3194880,1.21991
0.0045397347,0.02420044,150.0,13.57885586,0.9307181090116501,1868,140,0.42327476,-0.0022554372,286720,1849.7088823318481,3440640,1.0082519
0.0054378035,0.037455242,150.0,12.64111255,0.9217161610722542,1718,150,0.23895334,-0.0023607642,307200,1981.8413615226746,3686400,0.8894522
0.0057434402,0.038828533,150.0,16.88391883,0.9583493359386921,1877,160,0.063880324,-0.0020178633,327680,2117.811402320862,3932160,0.6936145
0.0050344956,0.03508504,150.0,15.311332700000003,0.9470884427428246,1744,170,-0.08030343,-0.0018366706,348160,2254.136962413788,4177920,0.8075091
0.006577754,0.054514565,150.0,16.637099959999997,0.967643927782774,1803,180,-0.20836413,-0.0016995801,368640,2391.769449234009,4423680,0.50216335
0.0050797267,0.04175822,150.0,15.375857899999996,0.966997142881155,1808,190,-0.33667544,-0.0016588832,389120,2529.9483799934387,4669440,0.53369313
0.008037375,0.07852173,150.0,16.65454359,0.9695465620607138,1726,200,-0.43856686,-0.0008366242,409600,2667.412678718567,4915200,0.47267404
0.004525404,0.03794352,150.0,18.26805727,0.9789700750261545,1804,210,-0.5545827,-0.002252868,430080,2802.541013240814,5160960,0.33945504
0.006611746,0.06804403,150.0,15.54022524,0.9768407680094242,1856,220,-0.6694654,-0.0018848946,450560,2936.0065944194794,5406720,0.33782044
0.0048995386,0.045379642,150.0,18.23080224,0.9731313325464725,1894,230,-0.76405835,-0.0014317521,471040,3067.0941240787506,5652480,0.41918907
0.0048043323,0.0459493,150.0,18.142709410000002,0.979821352288127,1856,240,-0.8649856,-0.00097214483,491520,3200.5696239471436,5898240,0.33286536
0.0055021215,0.06126912,150.0,16.54109145,0.9787797518074512,1855,250,-0.934012,-0.0011949384,512000,3334.657449245453,6144000,0.3413214
0.005457154,0.06120809,150.0,19.012878830000002,0.9833766222000122,1831,260,-1.0024257,-0.0014633187,532480,3468.2413697242737,6389760,0.272934
0.0045334375,0.048217773,150.0,16.813702810000002,0.984681106172502,1815,270,-1.0785024,-0.0020921442,552960,3602.2474615573883,6635520,0.24282953
0.0046397992,0.05340576,150.0,17.90550577,0.9859397588297725,1829,280,-1.1407981,-0.0019994404,573440,3734.678457260132,6881280,0.23503183
0.0060620345,0.08317057,150.0,17.83631275,0.9850073838606477,1881,290,-1.2294008,-0.0020562964,593920,3866.846434354782,7127040,0.2600845
0.0044204546,0.057810463,150.0,17.18359046,0.987148710526526,1879,300,-1.2728565,-0.0009488698,614400,3998.3051919937134,7372800,0.22088894
0.0047478112,0.06678263,150.0,19.418413110000003,0.9854414146393538,1876,310,-1.340733,-0.0011595396,634880,4128.121814727783,7618560,0.23428756
0.005004381,0.07455444,150.0,18.330466200000004,0.986623253673315,1862,320,-1.4004347,-0.0006696102,655360,4259.930870294571,7864320,0.23096861
0.004684178,0.070241295,150.0,16.342623619999998,0.9853872191160917,1878,330,-1.4583383,-0.001390506,675840,4391.394344091415,8110080,0.23040846
0.0045635495,0.07411702,150.0,18.21905287,0.9867327827960253,1825,340,-1.5171417,-0.00056697446,696320,4523.127455711365,8355840,0.2466753
0.006754989,0.12650552,150.0,18.52080126,0.9867071229964495,1862,350,-1.5867277,0.00059358793,716800,4654.687564134598,8601600,0.21549192
0.0045555164,0.082326256,150.0,19.28121074,0.987034204415977,1897,360,-1.6165706,-0.0009881033,737280,4785.78039932251,8847360,0.22861178
0.0031533386,0.054219563,150.0,18.21413124,0.9875633828341961,1877,370,-1.6621965,-0.0022432904,757760,4917.5069942474365,9093120,0.21455452
0.0048974575,0.09411621,150.0,18.30597814,0.9884622739627957,1880,380,-1.709615,-0.001172741,778240,5049.085344314575,9338880,0.18231396
0.0043016206,0.08912149,150.0,18.20723859,0.9861382944509387,1891,390,-1.7558271,-0.0010868724,798720,5180.161061048508,9584640,0.22299364
0.0058418945,0.13411458,150.0,19.48232466,0.9874829845502973,1878,400,-1.7809153,0.0012728648,819200,5311.62510228157,9830400,0.2336051
0.004780372,0.11387125,150.0,16.678932839999998,0.9870668118819594,1866,410,-1.815593,-5.819483e-05,839680,5442.396000146866,10076160,0.18425407
0.003216344,0.07319132,150.0,18.79244636,0.9868263239040971,1867,420,-1.8535477,-0.0009886202,860160,5573.477873802185,10321920,0.22402862
0.003201431,0.078053795,150.0,19.72762251,0.9886878309771419,1896,430,-1.8892996,-0.0013072833,880640,5704.905748605728,10567680,0.20885274
0.003553723,0.097076416,150.0,17.32429712,0.989373367279768,1863,440,-1.929534,-0.00080819236,901120,5836.25124168396,10813440,0.18943949
0.003548248,0.10480753,150.0,17.59191296,0.983520096167922,1869,450,-1.9601423,-9.4739575e-05,921600,5967.415975093842,11059200,0.27441418
0.002740405,0.08152263,150.0,16.96876769,0.9897827180102468,1846,460,-1.9980352,-0.0012354063,942080,6099.875809669495,11304960,0.18097775
