# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1552980436.5198798} 
r,l,t
-10.290181,150,3.044822
-23.187126,150,3.997204
-2.194642,150,4.949202
-0.705564,150,5.918214
-18.164338,150,6.884328
-9.757503,150,7.834629
-26.658054,150,8.791096
-4.852817,150,9.748967
-23.939768,150,10.701271
-36.051973,150,11.669362
-19.993612,150,12.627454
-3.384185,150,13.575415
-28.91305,150,14.530778
-20.395185,150,15.846247
-24.080308,150,16.804629
-3.923197,150,17.777673
-3.488178,150,18.735367
-15.849023,150,19.719877
-0.823846,150,20.675597
-31.93753,150,21.6006
-20.93008,150,22.520613
-46.436364,150,23.470051
-23.820744,150,24.418479
-26.763938,150,25.379086
-25.038712,150,26.354107
-37.300353,150,27.332642
-22.907195,150,28.250044
-4.327052,150,29.422972
-25.068542,150,30.377195
-6.244298,150,31.340959
-10.568053,150,32.268189
-21.937642,150,33.228897
-14.329307,150,34.167099
-24.141389,150,35.138984
1.555809,150,36.050158
-24.570586,150,37.007528
-19.180112,150,37.922351
-35.722655,150,38.849846
-23.440588,150,39.773449
-29.732678,150,40.692014
-26.212782,150,41.807373
-11.411597,150,42.750745
-0.315892,150,43.702625
0.881405,150,44.662087
-16.365097,150,45.617584
-29.28565,150,46.547089
-13.376549,150,47.482908
-2.267258,150,48.413798
-21.052537,150,49.342522
-13.200678,150,50.310572
-23.940596,150,51.215573
-12.057627,150,52.169704
-12.493005,150,53.092975
-20.073884,150,54.021288
-11.612952,150,55.157545
-20.836631,150,56.105443
-6.244938,150,57.069437
-21.486548,150,58.048487
-15.280342,150,59.009103
2.409363,150,59.936938
-10.448135,150,60.886281
-18.551044,150,61.821348
-4.550172,150,62.759126
-24.355039,150,63.720428
-19.677774,150,64.673391
-7.250376,150,65.608377
-39.420236,150,66.548172
-10.127916,150,67.462023
-20.347673,150,68.678443
-6.801838,150,69.673821
-8.567042,150,70.638379
2.289845,150,71.57032
-16.913733,150,72.521343
-1.624234,150,73.456389
-28.514361,150,74.378783
-19.377232,150,75.278551
-16.482223,150,76.202214
-6.223077,150,77.145794
0.862002,150,78.071294
-24.677008,150,78.990895
-8.909996,150,79.898651
-19.480923,150,81.07962
-24.111018,150,82.026545
-18.478759,150,82.989904
-6.673938,150,83.954892
6.041372,150,84.881745
3.530779,150,85.826928
-6.057914,150,86.753656
-26.497973,150,87.661455
-4.873234,150,88.575116
-14.154079,150,89.496179
-14.62298,150,90.430643
-13.601027,150,91.38567
-25.362378,150,92.335039
-9.903755,150,93.234398
-16.21872,150,94.408957
-32.181621,150,95.362423
-15.251091,150,96.303595
-2.331765,150,97.228175
-14.081237,150,98.147696
-14.675443,150,99.05494
-2.457516,150,99.999051
-22.471544,150,100.964065
4.913136,150,101.928398
-29.996531,150,102.928856
-11.654686,150,103.895234
-17.994184,150,104.868613
-0.842206,150,105.797155
0.624812,150,106.722788
-12.441615,150,107.89635
-9.175696,150,108.864653
-20.35746,150,109.788902
-32.556564,150,110.754292
-15.705268,150,111.684011
-23.741425,150,112.621165
-2.038411,150,113.566391
-6.433876,150,114.496043
-10.090448,150,115.464687
-7.834966,150,116.41747
-11.600865,150,117.378978
-6.941705,150,118.409591
3.51234,150,119.366386
-16.257246,150,120.54136
-1.114403,150,121.461652
-29.179348,150,122.408652
-2.2603,150,123.339577
-18.096311,150,124.279527
-18.405315,150,125.224256
-16.14011,150,126.164423
-3.714802,150,127.098782
-19.398706,150,128.063931
1.069877,150,129.024764
-15.559794,150,129.993444
-13.069835,150,130.913022
-16.321992,150,131.820007
-15.882727,150,132.755093
-24.949281,150,133.930061
7.925466,150,134.840111
-17.92695,150,135.792675
-26.438592,150,136.758326
2.056435,150,137.678123
-21.649849,150,138.640927
-2.346356,150,139.575877
0.209353,150,140.482211
-17.626875,150,141.427204
-20.136241,150,142.334058
-19.508625,150,143.272297
-17.821808,150,144.198442
-8.765744,150,145.097153
1.705732,150,146.029647
-21.225007,150,147.219172
-21.595559,150,148.157929
-2.867051,150,149.092733
4.910611,150,150.062315
-14.999235,150,151.015448
-0.775139,150,151.973642
-26.331144,150,152.919258
-17.868307,150,153.837139
-10.512542,150,154.773429
-8.502526,150,155.702252
-28.899269,150,156.658005
-6.505111,150,157.568885
-21.646661,150,158.504082
6.428254,150,159.689407
-14.336348,150,160.616027
5.107307,150,161.550106
-13.768568,150,162.468718
7.803749,150,163.424174
-16.357324,150,164.383661
-19.892322,150,165.322826
3.303475,150,166.253195
4.004228,150,167.186379
-5.453011,150,168.137004
-30.369318,150,169.105488
-15.200318,150,170.062437
-17.358404,150,170.968712
9.217028,150,171.934468
-19.118712,150,173.099155
-12.884667,150,174.04127
-14.921869,150,174.996798
-11.310825,150,175.951962
-7.846624,150,176.921521
-18.931811,150,177.898549
-13.173508,150,178.808988
-10.333855,150,179.718415
-5.966779,150,180.659517
-4.453834,150,181.583282
-20.137009,150,182.531562
7.855318,150,183.457461
-1.673644,150,184.407728
-11.912261,150,185.328986
8.507122,150,186.491648
-22.098059,150,187.456898
-24.57564,150,188.389452
6.978404,150,189.307821
-14.961479,150,190.236934
-14.53245,150,191.177915
-10.742503,150,192.121458
-10.931071,150,193.038453
-31.500825,150,193.973257
11.604489,150,194.953909
-14.041752,150,195.900649
-8.508216,150,196.799926
-11.604933,150,197.746399
3.500909,150,198.905704
-26.750365,150,199.810753
-16.817392,150,200.745559
-17.654838,150,201.655806
-13.243298,150,202.580369
8.425218,150,203.515187
-10.723054,150,204.461474
5.001405,150,205.403023
-8.49179,150,206.319161
-34.05484,150,207.265896
0.010326,150,208.185866
-16.440239,150,209.097893
-16.561461,150,210.026203
-27.327138,150,210.963786
-12.160296,150,212.179313
-13.881683,150,213.127543
-27.6086,150,214.096435
-18.426218,150,215.062895
8.843581,150,215.996472
-9.080222,150,216.936
-1.98798,150,217.873575
-14.407994,150,218.827265
-13.063192,150,219.770382
2.298217,150,220.724349
9.45175,150,221.680688
-22.849848,150,222.625314
-12.371701,150,223.568662
-6.43076,150,224.50712
-11.788116,150,225.709052
-3.076489,150,226.656694
-5.574205,150,227.617879
-18.441504,150,228.578829
-17.721395,150,229.520837
-5.462791,150,230.438773
1.359995,150,231.382678
-16.534646,150,232.293389
-11.772921,150,233.196476
-11.002934,150,234.122824
-9.779658,150,235.064088
-9.256281,150,236.00066
-3.374946,150,236.919562
-9.531541,150,238.100805
3.282625,150,239.065023
-25.244236,150,240.035608
-11.167396,150,240.995417
-15.8026,150,241.997139
-2.64816,150,243.000391
-32.32665,150,243.941473
-10.509778,150,244.888879
-13.767007,150,245.837249
-2.99944,150,246.804765
-16.098433,150,247.777328
-4.649878,150,248.706694
-24.168642,150,249.661374
2.881357,150,250.621071
-9.378292,150,251.830069
-3.021715,150,252.831163
-9.071463,150,253.823509
-24.660273,150,254.752662
4.779498,150,255.728855
-17.416898,150,256.662969
10.116968,150,257.611478
-3.90357,150,258.542081
-15.845574,150,259.467237
-9.783494,150,260.382029
-16.271925,150,261.256904
-11.275323,150,262.173204
-0.683578,150,263.08747
-12.309367,150,264.038922
-14.104028,150,265.222352
-12.777087,150,266.180831
-11.089471,150,267.206597
-3.277453,150,268.19411
-17.872283,150,269.162463
-11.18402,150,270.152179
-17.219793,150,271.089665
-18.532373,150,272.066416
-4.165704,150,273.006708
-4.050979,150,273.963769
-1.529139,150,274.925494
10.74079,150,275.88344
-7.346392,150,276.846082
-0.28264,150,278.038274
-6.870227,150,278.998224
-16.144467,150,280.000995
-24.206845,150,280.992812
7.933678,150,281.99075
9.946488,150,282.989588
-16.846613,150,283.953064
-5.202093,150,284.917089
-16.3289,150,285.858372
0.48562,150,286.81478
-9.182139,150,287.807671
-1.332358,150,288.78341
-4.082806,150,289.751532
-0.749097,150,290.705332
-28.902366,150,291.907524
-0.470917,150,292.880653
-8.876703,150,293.875276
5.950434,150,294.865384
-12.621679,150,295.815769
-1.360223,150,296.779684
-17.160631,150,297.72278
16.193627,150,298.666675
-15.017069,150,299.554029
-15.451028,150,300.477731
5.920584,150,301.417813
6.79704,150,302.36924
4.468014,150,303.295426
-0.142413,150,304.220712
-6.421615,150,305.423762
-21.475964,150,306.373561
-23.509185,150,307.328449
5.532165,150,308.259212
-12.797824,150,309.208947
-0.321167,150,310.142133
9.742872,150,311.078047
-12.96532,150,311.99171
-5.462156,150,312.955143
7.093513,150,313.902676
-5.470993,150,314.882324
-30.388699,150,315.837025
5.708231,150,316.773808
-12.192865,150,318.002475
-0.827508,150,318.964948
11.053983,150,319.919439
3.224806,150,320.902993
-8.261254,150,321.89034
-5.271982,150,322.829048
-3.913066,150,323.790581
13.275192,150,324.728082
-17.384341,150,325.691633
-12.375167,150,326.635098
-20.65002,150,327.586769
-14.106937,150,328.543324
-16.918692,150,329.464578
1.287757,150,330.386587
-22.059447,150,331.572998
4.32995,150,332.536337
-20.941548,150,333.490629
-16.882487,150,334.475067
-8.309565,150,335.436856
6.716008,150,336.37077
-1.991729,150,337.280576
-2.973786,150,338.174489
-15.130002,150,339.115141
-9.936695,150,340.076406
10.95079,150,340.984124
-0.062918,150,341.931134
-4.143471,150,342.892478
-7.600603,150,344.101166
12.645038,150,345.084356
-11.154191,150,346.056016
-11.304697,150,347.035316
-25.999399,150,347.971561
8.92951,150,348.955625
-8.385076,150,349.944553
-26.733812,150,350.892538
-22.677087,150,351.823715
-10.505728,150,352.782134
-0.966777,150,353.750508
-21.592707,150,354.698105
10.2267,150,355.633696
1.096457,150,356.598621
-10.975417,150,357.794411
13.108204,150,358.791408
-18.082937,150,359.762764
-15.758998,150,360.722573
-8.395431,150,361.688971
-4.919728,150,362.673109
-7.708533,150,363.618261
6.540727,150,364.554364
8.117509,150,365.492794
-18.576579,150,366.40602
2.955684,150,367.317206
-1.199512,150,368.271785
11.882881,150,369.240173
-14.787889,150,370.202292
-16.779063,150,371.416996
-1.479756,150,372.400987
3.12958,150,373.381499
-6.642125,150,374.318261
-12.836671,150,375.251008
0.241327,150,376.19135
-8.785414,150,377.124648
-20.986512,150,378.066917
-15.40501,150,379.015945
-9.21447,150,379.982401
6.479783,150,380.953098
-6.58257,150,381.924994
-1.44892,150,382.878808
-13.037258,150,384.050778
10.469251,150,385.061882
-11.099641,150,386.03049
-5.145319,150,386.988669
-17.075092,150,387.972553
-1.149034,150,388.935448
-28.971212,150,389.926889
-16.981493,150,390.857931
-5.584753,150,391.81346
-8.672369,150,392.77484
-6.043397,150,393.750077
-18.335565,150,394.708688
-0.926927,150,395.692048
-19.376946,150,396.645841
-10.622747,150,397.85128
-15.131294,150,398.833925
12.323567,150,399.81745
-19.458116,150,400.772197
