# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1553133091.3341923} 
r,l,t
-19.036999,150,2.720328
-27.157475,150,3.524783
-7.759366,150,4.344395
-1.266654,150,5.141898
-26.598921,150,5.958612
-0.420982,150,6.893938
-33.015602,150,7.887738
-36.467638,150,8.853467
-12.696008,150,9.817165
-20.235024,150,10.855456
-21.766316,150,11.86
-23.530601,150,13.022522
-23.418632,150,14.077864
-0.746547,150,18.269301
-26.349596,150,19.417264
-21.023995,150,20.748531
-27.067561,150,22.015994
6.209141,150,23.514911
-15.875,150,24.992217
-2.382825,150,26.381122
-37.672539,150,27.704783
-18.345445,150,29.10814
-26.105429,150,30.433593
-9.617106,150,31.810451
-8.662986,150,33.106642
-11.900878,150,34.659033
1.562647,150,36.029298
-12.652525,150,41.034555
-13.772368,150,42.299577
-30.28745,150,43.586754
-9.655459,150,44.994296
-7.414927,150,46.167901
-53.482482,150,47.368123
-38.750891,150,48.611534
-20.432134,150,50.13016
-8.278341,150,51.438005
15.937521,150,52.699093
-2.754615,150,53.991605
-17.797157,150,55.483804
2.858065,150,56.92986
-37.927789,150,61.857595
-1.218813,150,63.207548
-23.116643,150,64.484349
-19.89829,150,65.935345
-13.804297,150,67.21559
-4.9944,150,68.599141
-1.714573,150,69.987716
-27.009919,150,71.578884
-16.722513,150,72.997137
0.038716,150,74.301008
-33.612706,150,75.56528
-4.24169,150,76.839867
2.304959,150,78.038909
-7.370504,150,79.354224
-22.48181,150,84.446681
4.974268,150,85.662322
-11.472233,150,87.157708
-16.217297,150,88.523618
-9.46368,150,89.897046
2.028576,150,91.345281
-17.546264,150,92.803228
-25.713423,150,94.297598
-9.257206,150,95.748182
-42.248057,150,97.152928
-18.695165,150,98.430742
-8.946459,150,99.760198
-30.219751,150,101.053972
-28.045584,150,102.439916
-19.267935,150,107.102684
-10.222446,150,108.42186
-8.056609,150,109.686018
8.981946,150,111.072694
7.371882,150,112.43087
-1.011483,150,113.886847
-20.761702,150,115.249125
-3.922251,150,116.75655
-27.216136,150,118.184214
1.447787,150,119.532449
3.232452,150,120.860863
-33.669462,150,122.209359
0.059056,150,123.592349
-3.568507,150,128.475591
-26.772625,150,129.814566
-8.057299,150,131.059325
-11.018587,150,132.393557
-11.401445,150,133.680888
-23.750341,150,134.949138
-3.528361,150,136.172322
-0.840035,150,137.506933
1.413423,150,138.846726
4.748461,150,140.283126
-6.402066,150,141.554287
-16.14623,150,142.832693
-8.502803,150,144.158334
-17.514878,150,145.608972
-1.195061,150,150.672076
-15.546919,150,151.911558
1.856431,150,153.198673
-1.930855,150,154.596574
-1.928366,150,156.093481
-9.236685,150,157.529664
