# {"t_start": 1552933368.0664668, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-27.159517,150,12.393449
-29.483573,150,12.976102
-13.020922,150,13.597104
-20.710434,150,14.27326
-30.451631,150,15.030655
-34.740829,150,15.798431
-11.383076,150,16.651354
-22.353766,150,17.428227
-2.62066,150,18.236421
3.390247,150,19.041332
-20.798894,150,19.849755
-30.31092,150,20.636265
-35.783188,150,21.429744
4.310449,150,23.420389
-24.540959,150,24.356479
-23.817173,150,25.313272
-7.538634,150,26.26088
-16.069983,150,27.287556
-15.280164,150,28.237915
-34.856845,150,29.169373
-21.767377,150,30.178481
-14.335473,150,31.152983
-5.963131,150,32.130171
-29.65037,150,33.071096
-7.588246,150,34.158525
-26.820273,150,35.305581
-15.676226,150,36.432533
-28.170154,150,37.923031
2.484294,150,39.081984
-17.591373,150,40.231058
-30.003292,150,41.375891
-19.828599,150,42.553922
-20.454129,150,43.679012
-29.47852,150,44.840166
-4.530559,150,45.993164
-24.427837,150,47.129894
1.293006,150,48.275626
-43.036888,150,49.409175
-16.270807,150,50.552706
-15.383778,150,51.65254
-15.6269,150,53.153812
-6.625987,150,54.300873
-2.393641,150,55.401864
-3.294462,150,56.522537
-26.152212,150,57.672555
-12.294237,150,58.845829
-5.010778,150,59.984077
-13.295111,150,61.111889
-14.210175,150,62.245662
-0.114129,150,63.393452
-20.231405,150,64.538594
-12.012394,150,65.659961
-14.309272,150,66.799066
-32.865592,150,67.914478
4.206254,150,69.343115
-29.810208,150,70.486882
-6.204139,150,71.634131
-29.03633,150,72.779527
-31.434426,150,73.930885
-4.932884,150,75.023267
-1.493823,150,76.182941
16.623276,150,77.283547
0.809712,150,78.413498
-5.761762,150,79.593531
4.927409,150,80.740683
-15.375552,150,81.880018
1.356707,150,83.055954
-11.980284,150,84.200561
-19.812208,150,85.594194
-7.916126,150,86.727462
-7.581732,150,87.829366
-20.501363,150,88.975346
-29.075248,150,90.129183
-6.402635,150,91.291577
7.166214,150,92.447043
-21.87966,150,93.565879
-11.010238,150,94.773303
-7.895134,150,95.864939
-21.621007,150,96.972319
-12.249304,150,98.091301
-14.073651,150,99.216444
5.905349,150,100.699487
-19.193176,150,101.84106
-28.014773,150,102.975109
-9.931358,150,104.131524
-19.339233,150,105.33846
-22.714674,150,106.486773
-10.100458,150,107.552396
-25.66057,150,108.680342
-29.068052,150,109.899517
-10.373663,150,111.046386
-11.781819,150,112.200567
-0.750165,150,113.341024
-15.006544,150,114.550176
-12.552767,150,115.727704
-24.611289,150,117.201433
-2.564089,150,118.413769
-17.054197,150,119.681264
-24.783673,150,120.821987
-17.653851,150,122.037308
-26.856174,150,123.157392
-9.899189,150,124.250893
-29.507291,150,125.414031
-16.48311,150,126.505311
5.65545,150,127.648512
-10.220309,150,128.771473
-14.015279,150,129.873099
-9.037633,150,130.995191
-13.820792,150,132.129664
-8.407062,150,133.508273
-21.677928,150,134.609192
-9.854531,150,135.793477
3.535695,150,136.918337
1.656433,150,138.022512
4.379246,150,139.185663
-12.159475,150,140.261809
-10.129526,150,141.448404
-11.2946,150,142.59357
-26.434284,150,143.730317
-18.157756,150,144.813712
-10.007334,150,146.030376
-25.919008,150,147.183045
-14.342344,150,148.594897
-22.008963,150,149.736092
-11.584118,150,150.888801
-24.161268,150,152.13261
-13.388803,150,153.297005
-22.490193,150,154.439718
1.245322,150,155.628155
6.248469,150,156.817998
-17.446076,150,158.011147
-12.982762,150,159.124614
-8.079358,150,160.231162
-2.387005,150,161.432029
-30.044226,150,162.572973
-15.577364,150,163.695347
-2.661661,150,165.093665
0.809928,150,166.264631
-15.858684,150,167.450806
-20.182722,150,168.594907
-35.678299,150,169.758361
-14.57329,150,170.873702
-12.927926,150,172.07718
-8.85047,150,173.181499
-21.155577,150,174.314185
-12.558433,150,175.451486
-25.867252,150,176.60455
-3.47289,150,177.79987
-11.470133,150,178.940743
1.530596,150,180.060797
6.371148,150,181.537165
2.845426,150,182.799976
-23.015551,150,183.981894
-10.759789,150,185.120436
-20.855015,150,186.305773
-32.305748,150,187.54882
-34.584667,150,188.668825
-3.3474,150,189.803154
-5.630052,150,190.931147
-6.661534,150,192.076262
-16.043904,150,193.247622
-37.548414,150,194.379766
-15.205187,150,195.525896
-7.501202,150,196.956283
8.258916,150,198.154779
-9.134776,150,199.29199
-13.135508,150,200.429909
-10.736572,150,201.557079
-14.539683,150,202.676936
1.386819,150,203.876952
-10.20399,150,205.024308
-8.86656,150,206.161537
1.093848,150,207.286371
-22.09114,150,208.498136
-4.550755,150,209.628551
-2.627394,150,210.774806
-15.343911,150,211.951716
5.541209,150,213.509732
2.273139,150,214.701575
-17.797293,150,215.829157
-6.955036,150,216.993744
-31.420283,150,218.149728
4.550134,150,219.338662
6.359557,150,220.487972
-17.152226,150,221.627678
-14.708365,150,222.794454
-15.231887,150,223.958318
-17.923826,150,225.143765
-8.261777,150,226.311933
-9.334663,150,227.443427
1.579153,150,228.58728
-17.8366,150,230.031149
-15.088577,150,231.195898
-10.527918,150,232.381938
-18.197913,150,233.529653
1.56329,150,234.704714
0.029574,150,235.829747
1.219153,150,236.972108
-26.773828,150,238.105037
-32.145986,150,239.233335
3.802194,150,240.446769
-25.23663,150,241.614508
3.285111,150,242.750947
-9.85904,150,244.035228
-7.618092,150,245.477243
-9.927741,150,246.621061
4.396114,150,247.745021
-11.120805,150,248.864643
-13.95657,150,250.065354
-31.777914,150,251.232802
-11.231321,150,252.363649
-18.133294,150,253.48897
1.62874,150,254.657082
0.214103,150,255.790159
-21.119096,150,256.937814
-1.588117,150,258.079299
-2.831899,150,259.200449
-11.410645,150,260.429713
-3.854901,150,261.874403
-2.961729,150,262.982555
-4.143232,150,264.160616
0.871663,150,265.242042
-23.57317,150,266.412887
9.115063,150,267.557721
6.584354,150,268.720178
1.577686,150,269.848194
0.532843,150,271.072381
-17.170923,150,272.234858
-12.062387,150,273.415364
5.207181,150,274.607131
-19.143951,150,275.755428
-17.307175,150,276.94009
-11.335973,150,278.34801
-2.316993,150,279.471607
-17.045945,150,280.613329
-18.369633,150,281.821015
-9.736177,150,282.968537
-5.876866,150,284.125731
5.005162,150,285.236135
-6.058072,150,286.33868
1.570083,150,287.434908
-19.420007,150,288.529528
-17.768704,150,289.614017
-6.396646,150,290.732483
-23.798037,150,291.912264
-15.285419,150,293.286258
-5.969278,150,294.429607
7.14577,150,295.619749
-0.71596,150,296.768708
-16.034243,150,297.866814
-21.38935,150,298.972294
-10.650052,150,300.106401
-18.649836,150,301.267622
-6.925972,150,302.41785
-12.545758,150,303.604871
1.928689,150,304.826124
6.887594,150,305.973246
3.001774,150,307.164518
5.141398,150,308.312095
-26.715918,150,309.669538
-3.399586,150,310.771488
-8.559515,150,311.929612
6.054803,150,313.129084
-15.296577,150,314.284791
-3.938569,150,315.434017
-24.337692,150,316.57793
-7.803437,150,317.758543
-13.184793,150,318.899785
3.427489,150,320.048098
-3.203633,150,321.123667
-12.586632,150,322.229532
-9.316558,150,323.4367
-1.269724,150,324.571977
7.468344,150,325.989607
-6.6989,150,327.05171
-10.73374,150,328.251759
-11.690193,150,329.354361
2.847291,150,330.455527
-29.518557,150,331.561756
-23.491782,150,332.725772
-11.05244,150,333.975346
-6.142611,150,335.18032
-28.808056,150,336.332817
-18.380276,150,337.472426
-16.750612,150,338.619644
0.501955,150,339.717439
0.085259,150,341.184423
-20.190123,150,342.324064
-12.812639,150,343.497874
9.177699,150,344.62767
-15.590328,150,345.784095
-9.698235,150,346.966688
-10.755366,150,348.068599
-15.57473,150,349.201896
-9.023212,150,350.387457
5.183998,150,351.498327
-8.403626,150,352.62449
-9.497574,150,353.813185
-11.525283,150,354.940862
-3.983312,150,356.066502
-15.889483,150,357.495832
-14.044933,150,358.75371
