# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1552933394.763688} 
r,l,t
-25.624925,150,3.113552
-19.621859,150,4.099031
-12.652921,150,5.036653
-48.50209,150,6.067077
-27.61922,150,7.157348
-13.141692,150,8.270664
-26.211678,150,9.363493
-23.141292,150,10.543116
-26.218495,150,11.686013
-31.720106,150,12.860144
-30.0253,150,13.978424
-2.99165,150,15.111135
10.46392,150,16.318999
-25.649098,150,17.868149
-14.144757,150,18.989639
-21.993139,150,20.149821
-36.475221,150,21.354399
-20.348018,150,22.466859
-19.412835,150,23.563831
-32.331008,150,24.662924
-22.435789,150,25.796063
-27.416949,150,26.946066
-18.405556,150,28.060756
-26.418684,150,29.203736
-22.684327,150,30.319016
-19.11541,150,31.497249
-10.308196,150,32.577694
0.676637,150,33.973252
1.316629,150,35.128603
-27.720692,150,36.226716
-12.262389,150,37.403756
-31.02586,150,38.515216
-20.535146,150,39.60136
-22.039697,150,40.690627
-13.625804,150,41.893146
-33.212387,150,43.049947
-30.196612,150,44.162884
-4.753685,150,45.282366
-21.120677,150,46.402277
-32.763936,150,47.611676
-21.590784,150,48.980459
-6.013979,150,50.079829
-34.136172,150,51.176624
2.208799,150,52.355804
1.564776,150,53.457743
-10.185152,150,54.58602
-2.72233,150,55.726642
-26.937348,150,56.85732
-28.795301,150,58.021437
-33.859687,150,59.146376
-17.735782,150,60.307492
1.469339,150,61.412624
-22.443509,150,62.54461
-5.055114,150,63.686921
-33.654387,150,65.03639
-4.108549,150,66.192364
-2.461173,150,67.285389
-33.055161,150,68.466367
-21.468436,150,69.631767
-24.719889,150,70.761376
2.123452,150,71.863871
3.192056,150,72.992144
-13.131707,150,74.069498
-3.404487,150,75.191082
-13.561262,150,76.323333
-18.867275,150,77.477031
-9.368667,150,78.633209
4.132031,150,79.782367
-11.355925,150,81.106437
-19.075424,150,82.22664
-12.619725,150,83.395144
-7.886915,150,84.546417
-5.327499,150,85.686797
-7.943379,150,86.819654
-6.602565,150,87.980798
-4.877719,150,89.166791
-7.504533,150,90.271512
3.299193,150,91.462667
-12.092933,150,92.703402
-16.267546,150,93.938626
