# {"t_start": 1552933368.0620081, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-5.959657,150,12.399352
-3.973353,150,12.962941
-2.595113,150,13.569597
-4.925696,150,14.236804
-31.989658,150,14.989889
-13.979273,150,15.771484
4.51068,150,16.591545
-14.312477,150,17.349491
-27.236113,150,18.181086
2.168156,150,19.00525
-24.9212,150,19.789063
-22.919193,150,20.612485
-5.61138,150,21.44225
-17.063033,150,23.402797
5.611251,150,24.331055
-8.889364,150,25.259278
-34.890696,150,26.199994
-24.878288,150,27.194365
-35.405514,150,28.120998
-20.361484,150,29.110406
-14.223639,150,30.056503
-54.85502,150,31.013007
-8.812785,150,31.971621
-24.421342,150,33.011028
-15.772415,150,34.17709
-5.172576,150,35.288038
-14.769971,150,36.440842
-16.552958,150,37.909282
-41.438189,150,39.090786
-12.865387,150,40.208322
-8.748856,150,41.327951
-15.69686,150,42.490652
-29.104165,150,43.625535
-20.203773,150,44.74983
-29.011079,150,45.940215
-0.133005,150,47.075236
-32.849116,150,48.279059
-14.516373,150,49.453758
-6.264055,150,50.554241
-19.517707,150,51.697623
-10.474916,150,53.147153
-2.940363,150,54.315968
-30.44835,150,55.448041
-15.089624,150,56.552979
-36.857673,150,57.701114
-12.86098,150,58.865833
-0.459386,150,60.023474
-19.063894,150,61.118519
-8.883116,150,62.283065
-12.853976,150,63.454756
-17.694272,150,64.602314
-29.097905,150,65.694439
-20.59983,150,66.834447
-19.173558,150,67.969841
-32.658018,150,69.435686
-19.377829,150,70.561138
-19.500983,150,71.703721
-22.249915,150,72.860179
-35.583396,150,74.003399
0.311911,150,75.105055
1.318996,150,76.213283
-16.617172,150,77.288037
-10.896486,150,78.415706
-2.780894,150,79.58817
-8.437006,150,80.725097
3.674824,150,81.828984
-1.255798,150,82.932687
-13.84766,150,84.127126
-9.466278,150,85.557313
-12.154208,150,86.691908
-19.907739,150,87.835059
-36.083538,150,88.961888
-15.803426,150,90.149053
-6.803875,150,91.225172
-12.72612,150,92.390773
-18.497419,150,93.494755
-16.952257,150,94.623394
-21.414817,150,95.747231
-6.574541,150,96.856471
0.433381,150,98.004963
-14.057087,150,99.178021
-33.598471,150,100.635522
-27.42423,150,101.786467
-38.475865,150,102.920681
-34.074492,150,104.052683
-19.686931,150,105.20987
-27.19132,150,106.320683
0.517887,150,107.471879
-25.76367,150,108.63273
-30.958891,150,109.827128
