# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1552933404.92751} 
r,l,t
-10.124144,150,3.246271
-31.198095,150,4.376844
1.586868,150,5.487678
1.626021,150,6.633594
-11.792829,150,7.774858
-28.452239,150,8.872161
-21.034505,150,9.963163
-6.917862,150,11.127182
-34.338867,150,12.232242
-40.444126,150,13.304752
-37.713048,150,14.407988
-18.101084,150,15.499689
-32.802961,150,16.699404
-18.016394,150,18.283091
-43.864621,150,19.407422
-7.447366,150,20.506636
-16.794765,150,21.700227
-13.139908,150,22.803584
1.232675,150,23.923944
-22.764324,150,25.030923
-28.789378,150,26.165186
-26.653825,150,27.313509
-32.982281,150,28.44056
-27.993722,150,29.541726
-5.98345,150,30.672869
-37.128093,150,31.813534
-21.998822,150,32.928862
-11.561077,150,34.309779
-29.602509,150,35.472563
-19.106288,150,36.612348
0.401771,150,37.777406
-12.255725,150,38.901872
-15.562876,150,39.996069
-31.517695,150,41.086059
-15.431751,150,42.268749
-21.361394,150,43.378857
-17.060219,150,44.534612
-13.334822,150,45.637437
-21.568548,150,46.744825
-10.382205,150,47.894245
-43.404522,150,49.23566
-6.868985,150,50.3398
-7.302711,150,51.477435
4.069543,150,52.65372
-39.572952,150,53.796009
-11.8179,150,54.935622
-13.348666,150,56.094788
5.06908,150,57.196498
-24.712122,150,58.361309
-18.076818,150,59.497021
-27.856815,150,60.647565
-14.133042,150,61.748255
-10.817493,150,62.864707
-28.703831,150,63.978377
-8.447109,150,65.384303
-22.581213,150,66.505351
-8.430466,150,67.631891
-11.097399,150,68.778594
-15.80292,150,69.892518
1.549344,150,71.001612
-9.244252,150,72.12773
-12.656072,150,73.31115
-7.218878,150,74.385712
-12.297965,150,75.513078
-24.806025,150,76.685863
-3.916564,150,77.868082
-34.615875,150,79.025498
-9.978461,150,80.092173
-19.577414,150,81.562735
-4.423151,150,82.765678
-8.866385,150,83.949022
-0.987149,150,85.157137
-21.81635,150,86.267758
-1.249911,150,87.439018
-22.938022,150,88.579573
-24.189123,150,89.70078
-6.449389,150,90.856704
-7.970409,150,91.955999
-0.28883,150,93.10916
-23.737999,150,94.231086
-12.511329,150,95.333874
-22.675184,150,96.71169
-22.657948,150,97.856872
-13.913226,150,99.065538
-11.490959,150,100.190665
4.038993,150,101.329103
9.15549,150,102.408695
-5.883044,150,103.533031
-30.277248,150,104.706555
-3.99254,150,105.811738
-8.350168,150,106.94649
-24.737618,150,108.048208
-14.973295,150,109.197861
-18.698111,150,110.337462
-10.006016,150,111.44623
-16.385477,150,112.888133
-32.820752,150,113.995939
-17.414485,150,115.210365
-5.314854,150,116.363394
-10.233363,150,117.514185
-14.313769,150,118.672009
-3.037956,150,119.847951
-19.853192,150,121.008131
6.75348,150,122.148906
-21.472521,150,123.32732
-15.965571,150,124.458213
-12.466724,150,125.657602
-14.933204,150,126.810343
3.647082,150,127.923784
-9.844324,150,129.304148
-6.124098,150,130.521655
-18.150997,150,131.637876
-33.596303,150,132.787735
-15.026161,150,133.933854
-26.357431,150,135.116641
-3.088636,150,136.256995
-12.427397,150,137.420716
-7.549297,150,138.531829
-3.129416,150,139.652676
-11.997688,150,140.834635
-7.495649,150,141.957019
-1.819376,150,143.09776
-18.939574,150,144.521379
-6.524427,150,145.770017
-26.213827,150,146.922789
-4.841854,150,148.02528
-9.479919,150,149.145133
-24.942404,150,150.290791
-14.461025,150,151.423479
-1.346048,150,152.571918
-21.019982,150,153.733263
-3.266809,150,154.886331
-18.169494,150,156.092677
-11.504722,150,157.237424
-14.861518,150,158.350226
-4.804813,150,159.498035
-27.109925,150,161.035424
0.464654,150,162.165415
-15.338424,150,163.289769
-30.192922,150,164.392526
2.126322,150,165.513662
-21.33307,150,166.742097
-1.982327,150,167.903772
-3.425817,150,169.00181
-14.780259,150,170.139368
-21.15969,150,171.286086
-15.0073,150,172.449999
-11.294292,150,173.541936
-9.77343,150,174.667677
2.63798,150,175.852417
-18.552535,150,177.413893
-24.494874,150,178.55634
-4.301843,150,179.711271
8.34388,150,180.838593
-10.939744,150,181.981328
-4.52056,150,183.16065
-27.356582,150,184.294927
-16.425956,150,185.462583
-13.310441,150,186.574392
-6.390861,150,187.757848
-25.780957,150,188.907722
-5.387334,150,190.022631
-17.884542,150,191.138604
1.442668,150,192.650621
-6.232279,150,193.781006
6.71304,150,194.915972
-14.252229,150,196.008749
6.790232,150,197.132847
-17.42908,150,198.283586
-19.982468,150,199.424067
5.475081,150,200.547162
-4.508758,150,201.642838
-4.640942,150,202.837815
-36.506023,150,203.997921
-24.910407,150,205.167385
-14.593283,150,206.349126
2.943029,150,207.551997
-16.274511,150,209.021605
-13.140072,150,210.189846
-14.892379,150,211.310766
-17.050902,150,212.457503
-14.349109,150,213.648643
-16.632729,150,214.793626
-14.356608,150,215.934805
