# {"t_start": 1553133111.8576565, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-15.495043,150,3.500675
-28.885269,150,4.83565
-38.210781,150,6.165797
-50.671592,150,7.64833
-33.713904,150,8.980981
-47.995392,150,10.276753
-19.600576,150,11.598146
-31.107433,150,13.0578
-18.910717,150,14.388112
-17.841945,150,15.658383
-23.312851,150,16.917674
-35.323112,150,18.264039
-7.120006,150,19.491401
-2.118606,150,24.495232
-7.581799,150,25.687187
-13.359152,150,26.92314
-21.781281,150,28.14112
-31.065493,150,29.61604
-30.715269,150,30.972511
-19.979345,150,32.276348
-42.450119,150,33.598984
-14.652103,150,35.096519
-25.641442,150,36.561836
-21.055238,150,37.896833
-13.639637,150,39.278681
-22.942343,150,40.568156
-13.616447,150,41.98886
-12.036449,150,46.917324
-8.735874,150,48.198725
-23.329504,150,49.551929
-27.147026,150,51.025828
-19.334185,150,52.303682
7.960307,150,53.544873
-11.798523,150,54.773654
-13.45386,150,56.041875
-18.907133,150,57.234962
-19.717576,150,58.570464
-25.566561,150,59.899629
-9.367638,150,61.263339
14.952193,150,62.504463
-11.71481,150,67.755583
-22.734586,150,69.031486
-7.176171,150,70.39873
-5.944248,150,71.820955
4.300605,150,73.254017
-5.319367,150,74.63344
-22.326353,150,75.899585
-6.622081,150,77.199398
-25.290667,150,78.48474
-7.956188,150,79.806733
-6.433598,150,81.150859
1.355068,150,82.543957
-19.127081,150,83.761921
-35.94085,150,84.927583
-43.170053,150,89.584166
-36.751729,150,90.943952
-16.957014,150,92.244465
-7.11223,150,93.616254
-8.274396,150,94.929651
-10.863489,150,96.383706
-6.793808,150,97.758367
1.096258,150,99.005298
-7.61159,150,100.270318
-12.538319,150,101.579947
-2.342886,150,102.927565
1.98516,150,104.288745
-9.21616,150,105.540062
-29.039877,150,106.827003
12.909322,150,111.641321
-31.906129,150,112.962599
-20.847685,150,114.228099
1.818177,150,115.405896
-51.287859,150,116.68493
6.458626,150,117.954117
-3.982752,150,119.275381
-21.644809,150,120.512419
16.686433,150,121.754064
-28.185902,150,123.080318
-20.725633,150,124.526776
-22.728774,150,125.934447
-4.495544,150,127.208417
-0.427983,150,132.055048
-22.131022,150,133.340528
-21.015451,150,134.6228
-30.981198,150,135.919284
-13.425549,150,137.155089
8.338467,150,138.397721
-23.955878,150,139.680847
