# {"t_start": 1552934374.9357896, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-0.623108,150,1.880502
-8.428384,150,2.399378
-38.289236,150,2.923834
-29.82596,150,3.471647
-3.24006,150,4.001806
-25.025391,150,4.529358
-13.476298,150,5.054797
5.75344,150,5.518916
-13.217757,150,5.985818
-10.894452,150,6.464311
-5.084983,150,6.948823
-19.00992,150,7.425477
-20.759863,150,7.895657
-47.478274,150,8.589733
-4.420709,150,9.054277
-29.099951,150,9.523269
-26.079791,150,10.010522
-5.887649,150,10.505348
-41.302893,150,10.988028
-15.089509,150,11.478319
-21.205221,150,11.959572
-21.814096,150,12.447703
-7.055466,150,12.916951
0.874459,150,13.400025
-24.855087,150,13.883318
-20.77336,150,14.357835
-19.832504,150,14.837955
-48.434595,150,15.444076
-15.198822,150,15.942312
-16.906035,150,16.426016
-28.792387,150,16.899936
-13.497428,150,17.38834
-15.422194,150,17.873846
-29.181683,150,18.360438
-21.210336,150,18.849895
-39.907917,150,19.340122
-38.359673,150,19.808524
-22.801839,150,20.290145
-42.33313,150,20.769053
0.868257,150,21.247619
-26.213505,150,21.852942
-10.346294,150,22.33479
-51.072933,150,22.807987
-13.321402,150,23.283948
-10.148943,150,23.759809
-21.336516,150,24.232263
-18.698821,150,24.709023
-29.988472,150,25.191117
-22.424585,150,25.666138
-4.131102,150,26.144195
3.105954,150,26.615489
-37.103903,150,27.08945
-3.760977,150,27.578566
-0.539544,150,28.050977
-24.476433,150,28.657041
-32.138113,150,29.146595
-21.278573,150,29.626596
-24.931549,150,30.121611
-41.50627,150,30.605931
-1.585846,150,31.088807
-26.713244,150,31.573531
-14.079056,150,32.049597
-5.847558,150,32.535021
-28.784691,150,33.008296
-34.866708,150,33.484468
-6.924207,150,33.980992
-11.024483,150,34.471664
-38.364202,150,34.951955
-20.158142,150,35.552211
-20.489114,150,36.040417
-33.831761,150,36.5374
-47.881449,150,37.018842
-23.210904,150,37.498926
-14.214851,150,37.99814
-2.17554,150,38.493939
-17.390764,150,38.985149
-20.151229,150,39.450186
-9.854215,150,39.939889
0.629087,150,40.41708
-7.15511,150,40.900724
-11.349378,150,41.381415
-8.995039,150,41.991237
11.972613,150,42.490265
-11.051171,150,42.977999
-24.840177,150,43.456228
-32.158471,150,43.948907
-27.569092,150,44.441913
-3.189763,150,44.924926
-9.815626,150,45.407046
-20.486246,150,45.886952
-18.312971,150,46.368678
-23.006911,150,46.846828
-36.40362,150,47.330929
-12.67715,150,47.808242
9.424859,150,48.291746
-22.749321,150,48.900789
-13.918663,150,49.397337
-14.250654,150,49.892396
-28.411293,150,50.385681
-9.54227,150,50.861542
-13.441916,150,51.339444
-1.21709,150,51.810504
-0.23385,150,52.303024
-27.079442,150,52.799166
-20.872746,150,53.284297
-24.264809,150,53.767663
-29.696353,150,54.25555
-41.617842,150,54.732833
-21.004555,150,55.218787
-25.219532,150,55.819289
-13.912151,150,56.306517
-20.761848,150,56.794771
-4.810772,150,57.275043
-33.874889,150,57.764227
-25.322772,150,58.256835
-3.535545,150,58.739323
-12.963663,150,59.219432
-12.587237,150,59.694592
-26.508088,150,60.1694
-46.09185,150,60.64792
-19.078842,150,61.127555
-13.42232,150,61.614947
-8.737903,150,62.238528
-36.580252,150,62.724344
6.586907,150,63.205766
-16.527389,150,63.685357
-34.650447,150,64.172736
-11.255133,150,64.652786
-22.169463,150,65.12996
7.013585,150,65.617207
-5.27578,150,66.083954
-5.284232,150,66.562129
-30.851942,150,67.032489
-2.343512,150,67.510218
-3.531668,150,67.996403
-20.35982,150,68.472103
-8.834473,150,69.082947
-18.223032,150,69.55451
-3.292732,150,70.052576
-8.265209,150,70.535426
-16.844586,150,71.017537
-24.370848,150,71.511449
-34.646276,150,72.016917
-14.912303,150,72.510636
-14.084061,150,72.995698
0.776295,150,73.483679
-3.698639,150,73.961629
2.885365,150,74.436413
-30.458098,150,74.925031
-0.972411,150,75.408216
-26.412313,150,76.026169
-15.624083,150,76.499885
-8.800313,150,76.973391
-0.864978,150,77.469325
-21.166551,150,77.945547
-5.324175,150,78.431309
-18.125028,150,78.904583
2.543538,150,79.371581
-16.911368,150,79.857552
5.253101,150,80.350738
-21.310908,150,80.825741
-24.727333,150,81.305648
-15.401606,150,81.789511
-2.289959,150,82.416531
-13.99107,150,82.912035
-20.225606,150,83.389036
6.356266,150,83.855899
-18.989422,150,84.346262
-11.136734,150,84.820218
-12.941392,150,85.300292
-23.490599,150,85.775639
-6.129584,150,86.254712
-12.244398,150,86.738177
-23.650919,150,87.213044
-25.334242,150,87.680066
-17.762873,150,88.168611
-7.981676,150,88.649383
-14.006786,150,89.260913
4.270554,150,89.749712
2.109759,150,90.245662
2.840959,150,90.71923
-24.292653,150,91.20821
-15.477853,150,91.681229
-13.390254,150,92.172899
