# {"env_id": "ReacherPyBulletEnv-v0", "t_start": 1553097956.271588} 
r,l,t
-23.175207,150,25.033586
-19.440377,150,25.525614
-6.789878,150,26.020063
-6.620807,150,26.500068
-17.335528,150,26.954932
-15.712389,150,27.411935
-22.475558,150,27.872052
-33.002852,150,28.34809
-32.447984,150,28.838582
-20.09196,150,29.357026
-1.973428,150,29.849127
4.725908,150,30.335549
-13.887921,150,30.825231
-44.145606,150,32.621774
-21.202507,150,33.094189
-1.679925,150,33.547443
8.61669,150,34.033533
-14.898586,150,34.508555
-23.002568,150,34.990664
-8.239489,150,35.453871
-5.015463,150,35.932655
-18.236926,150,36.40818
-20.668322,150,36.880498
-38.585242,150,37.366181
-17.282641,150,37.83567
-3.387682,150,38.361515
-34.032261,150,39.503907
-6.530692,150,39.997007
-3.551439,150,40.466243
-13.130974,150,40.9392
-29.976847,150,41.426269
-16.797278,150,41.904846
-10.699997,150,42.382396
-43.900536,150,42.874598
-16.468094,150,43.336531
-33.884545,150,43.807686
-44.288065,150,44.256252
-12.357331,150,44.728147
-33.808568,150,45.213959
-18.169,150,45.691719
-14.914872,150,46.838082
-17.035627,150,47.308565
-26.879771,150,47.79058
-19.265629,150,48.254627
-6.774552,150,48.710807
-33.736032,150,49.176711
-13.197612,150,49.661242
-13.281659,150,50.135702
-17.486506,150,50.61653
-36.089873,150,51.094888
-23.224393,150,51.560139
-23.22557,150,52.036323
-12.997394,150,52.513461
-22.604019,150,53.573871
-2.800217,150,54.064658
-6.944936,150,54.532539
-36.513856,150,55.00828
-6.664752,150,55.475192
-18.032503,150,55.959567
-31.432488,150,56.430586
-11.69726,150,56.912165
-45.686146,150,57.396843
-3.903367,150,57.882271
-0.193244,150,58.356014
-8.211097,150,58.814563
-33.792346,150,59.289257
-34.081508,150,60.31686
-14.656896,150,60.800636
5.862985,150,61.282967
-37.533066,150,61.766601
2.25786,150,62.248096
-26.712692,150,62.725311
-26.933499,150,63.201232
-14.431157,150,63.675298
-9.276343,150,64.139868
-19.116693,150,64.613885
0.62088,150,65.083445
-29.340424,150,65.552123
-15.878169,150,66.018504
-14.133139,150,66.479582
-24.710393,150,67.517073
1.860815,150,67.990864
-14.115996,150,68.457563
-27.592659,150,68.930637
-26.756677,150,69.396366
-22.103566,150,69.860072
2.010339,150,70.333797
-10.331208,150,70.803996
-10.760447,150,71.260371
-18.443158,150,71.725379
-4.25983,150,72.193004
-6.580957,150,72.6833
0.949744,150,73.180652
-10.051067,150,74.299109
-9.556427,150,74.799389
-39.608427,150,75.300732
-5.660212,150,75.802157
-6.183265,150,76.32786
-0.335293,150,76.8424
-17.138177,150,77.344144
-13.457028,150,77.855335
7.125516,150,78.359089
9.215237,150,78.864583
-3.252596,150,79.364868
-0.03297,150,79.866896
-22.569284,150,80.376996
-23.518782,150,81.503428
-16.520097,150,82.006939
-15.701644,150,82.514355
-7.557148,150,82.990433
-12.929608,150,83.462924
6.558864,150,83.937381
-2.306157,150,84.407355
-31.959791,150,84.88181
0.831529,150,85.359086
-5.793834,150,85.832777
-18.356912,150,86.32078
6.803992,150,86.798894
-16.789002,150,87.268618
-28.484959,150,87.735628
6.356843,150,88.780055
0.712732,150,89.247334
-25.131517,150,89.72352
11.003457,150,90.202345
-11.361243,150,90.670697
-23.200297,150,91.132376
-2.874408,150,91.605704
-1.803388,150,92.062517
-0.937868,150,92.528242
5.185983,150,93.012877
-19.757097,150,93.502124
-11.351808,150,93.977971
-15.091054,150,94.471432
-15.347444,150,95.524416
-19.80359,150,95.999464
-8.348831,150,96.479297
-8.392739,150,96.945779
-10.181326,150,97.419545
1.025853,150,97.883228
-17.525744,150,98.344101
-27.570984,150,98.8148
7.657497,150,99.286083
-22.989518,150,99.764367
-17.743348,150,100.244408
-11.846583,150,100.733915
-23.113259,150,101.203332
-26.752355,150,102.244864
-17.95843,150,102.705354
-24.937643,150,103.232324
-18.469494,150,103.712852
-21.908461,150,104.180192
-7.807301,150,104.649367
-4.334451,150,105.105708
-13.818284,150,105.574372
-1.912998,150,106.040735
-9.077411,150,106.508134
-9.3836,150,106.97073
-13.625871,150,107.44447
-3.110199,150,107.90683
-11.240803,150,108.377512
-10.133408,150,109.423274
5.892599,150,109.916946
2.136621,150,110.409982
-29.813809,150,110.896862
-9.475215,150,111.375958
-4.067538,150,111.8391
-15.332536,150,112.314702
-14.033652,150,112.801718
-11.293788,150,113.269138
-4.160788,150,113.740978
-22.871485,150,114.213701
-18.704161,150,114.682368
-29.690526,150,115.149757
-7.694902,150,116.182221
-11.239577,150,116.663492
-14.379247,150,117.134092
-17.945424,150,117.624078
8.290166,150,118.102842
-14.444107,150,118.578615
-0.743591,150,119.05143
-12.33629,150,119.52325
-17.839702,150,120.007718
-13.837301,150,120.496963
-11.121093,150,120.987379
-28.66208,150,121.47979
-10.460875,150,121.972304
-18.761339,150,123.00285
-11.570652,150,123.475925
5.573718,150,123.950573
-12.203751,150,124.428534
-17.765618,150,124.900238
-19.313892,150,125.370736
-19.304849,150,125.840842
-1.417488,150,126.316442
-17.870988,150,126.791984
-6.035294,150,127.28632
-18.006177,150,127.771392
-19.973411,150,128.259965
-2.271434,150,128.735592
-3.809104,150,129.216355
-27.614037,150,130.267858
-17.055961,150,130.749638
-0.108138,150,131.222877
-18.399765,150,131.709092
-17.241298,150,132.181867
-13.398535,150,132.665996
-28.418135,150,133.13937
2.647469,150,133.621316
-13.376224,150,134.097591
-5.475799,150,134.578543
-21.314688,150,135.057256
-1.207387,150,135.535142
-24.573362,150,136.010654
-18.353741,150,137.052418
-14.987625,150,137.521952
-8.347103,150,138.003581
-13.193964,150,138.493777
-30.425517,150,138.972804
-0.644671,150,139.439149
10.176852,150,139.914509
-12.984084,150,140.38534
-12.496946,150,140.863343
-32.56008,150,141.356785
-6.292973,150,141.837397
