# {"t_start": 1552959509.5769472, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-17.960005,150,1.838564
-38.218048,150,2.308129
-0.814936,150,2.770919
-19.818492,150,3.232563
-17.55527,150,3.707052
-9.07409,150,4.183096
-12.31632,150,4.664817
-9.734692,150,5.146289
-53.808441,150,5.619047
-15.853715,150,6.133404
1.224018,150,6.632087
1.931902,150,7.129753
-18.684395,150,7.627868
-12.396862,150,8.824427
-28.297127,150,9.326327
-27.123748,150,9.834478
-8.808612,150,10.332496
-14.775339,150,10.839535
-16.352087,150,11.331106
-21.769732,150,11.830284
-57.376058,150,12.321062
-6.678496,150,12.811352
9.262199,150,13.333758
-20.604012,150,13.860099
-20.650041,150,14.376732
-17.408991,150,14.894994
-7.060105,150,16.034785
-3.472276,150,16.522058
-36.495145,150,17.00354
-27.34044,150,17.494656
-9.803805,150,17.979434
-18.751402,150,18.484574
-18.668972,150,18.98602
-21.552922,150,19.470902
-43.774143,150,19.964993
-8.307503,150,20.464847
-46.706431,150,20.969284
-38.41054,150,21.478147
2.481854,150,21.982481
-15.849961,150,22.466635
-16.641995,150,23.574694
-35.213378,150,24.094359
-5.403992,150,24.567442
-18.136311,150,25.055074
-23.426837,150,25.54103
-21.799356,150,26.02885
-6.658267,150,26.525258
-38.013092,150,27.025841
5.651831,150,27.521872
-24.225111,150,28.016157
-16.467394,150,28.515676
-40.288495,150,29.011863
-54.374016,150,29.506419
-11.5559,150,30.613948
-38.893622,150,31.107827
-23.782999,150,31.620923
-10.60323,150,32.113646
-30.74571,150,32.617989
-26.875565,150,33.127795
-6.935272,150,33.639167
-17.388088,150,34.138188
-26.891442,150,34.639041
-59.606925,150,35.133183
-10.053708,150,35.630471
-29.499768,150,36.113531
-28.080308,150,36.613183
16.147686,150,37.714674
-5.940769,150,38.225031
-36.051838,150,38.718826
-25.787225,150,39.229218
-8.688264,150,39.729493
-21.571549,150,40.238227
-14.894365,150,40.742789
-15.239972,150,41.241648
-16.939021,150,41.737435
-15.016273,150,42.230959
-16.613641,150,42.722539
-15.306645,150,43.213026
-13.086036,150,43.706449
2.937137,150,44.19208
-16.346187,150,45.332585
-17.545781,150,45.86043
3.121496,150,46.367317
-38.789447,150,46.850665
-25.070419,150,47.337628
2.675867,150,47.828749
-16.987709,150,48.324449
-8.709733,150,48.813494
-33.43522,150,49.308805
-14.31795,150,49.811281
-11.448837,150,50.323269
-7.137617,150,50.803768
-14.46914,150,51.303972
-0.440913,150,52.462504
8.611313,150,52.972471
-14.303308,150,53.493906
-12.576774,150,53.987997
-9.014824,150,54.461012
-12.743225,150,54.941984
-4.746724,150,55.417549
-26.971066,150,55.896566
-23.906542,150,56.40341
-6.264636,150,56.905742
-2.515235,150,57.409194
-8.644424,150,57.924217
-3.667136,150,58.427711
-25.978708,150,59.550622
-17.040755,150,60.045509
-5.585162,150,60.54987
-26.794365,150,61.045922
5.492403,150,61.546791
-14.288163,150,62.044581
-19.343357,150,62.54089
-2.700959,150,63.036816
-4.369098,150,63.53877
14.05369,150,64.028615
-18.502401,150,64.531734
-27.171076,150,65.026007
-14.228128,150,65.527891
-17.825461,150,66.0209
-13.413321,150,67.175519
-6.213097,150,67.68778
-27.075296,150,68.195991
-16.640336,150,68.705788
-27.551799,150,69.199847
-28.143477,150,69.684779
-25.798946,150,70.199363
-10.871897,150,70.702564
-29.40601,150,71.188543
-1.589836,150,71.67944
2.942844,150,72.161129
-7.739909,150,72.666163
-8.773866,150,73.165902
-8.797019,150,74.301267
-27.517751,150,74.789374
-28.493643,150,75.288953
0.161059,150,75.787527
-12.293918,150,76.290041
-9.938416,150,76.775177
-17.212405,150,77.283455
-2.963496,150,77.78689
6.821551,150,78.288506
2.380359,150,78.802917
-28.11075,150,79.317704
-31.043334,150,79.818807
-22.812583,150,80.370177
-10.811339,150,81.585284
-34.206692,150,82.094581
-30.779249,150,82.630005
-12.944417,150,83.12922
-18.384627,150,83.630663
-8.959088,150,84.133135
-0.454167,150,84.635509
-7.21102,150,85.143512
-8.019142,150,85.666342
-14.682881,150,86.181722
0.64225,150,86.695407
-4.106361,150,87.187893
3.019183,150,87.684319
5.46247,150,88.178123
0.141155,150,89.306484
-4.296329,150,89.827075
-14.658959,150,90.33125
-8.126419,150,90.840607
-15.278046,150,91.333403
-26.935854,150,91.849459
-12.088956,150,92.363427
-3.882278,150,92.865426
-4.850823,150,93.376487
-11.100122,150,93.866466
-23.640962,150,94.351322
-10.887109,150,94.852099
-0.880443,150,95.370945
-15.068493,150,96.509768
-18.260535,150,97.018478
-4.897231,150,97.539783
-8.125454,150,98.043918
-0.562531,150,98.5637
-11.967266,150,99.092662
-9.812368,150,99.610575
-5.258914,150,100.116292
-12.997657,150,100.623909
-12.829668,150,101.131411
-10.398648,150,101.639862
2.27684,150,102.150711
-26.94273,150,102.659125
-28.471186,150,103.789467
-11.996284,150,104.276326
-10.039044,150,104.78878
-20.682739,150,105.292505
-22.815345,150,105.788832
0.544141,150,106.299122
-17.993983,150,106.784695
-5.793747,150,107.287585
0.767608,150,107.782579
-20.028406,150,108.287344
8.166425,150,108.795806
-25.456733,150,109.303895
-22.069334,150,109.799493
-8.992234,150,110.295173
-20.911078,150,111.398551
-9.08732,150,111.892183
-38.799737,150,112.383609
-20.096002,150,112.87826
-19.300299,150,113.379505
-8.923238,150,113.878782
-31.163426,150,114.374675
-9.948362,150,114.862038
-8.566676,150,115.351426
-5.210722,150,115.839791
-15.226131,150,116.33276
-12.546009,150,116.828581
-14.739622,150,117.328284
-10.97997,150,118.419819
-18.633999,150,118.919689
-7.20723,150,119.42098
-7.674801,150,119.930192
-7.851856,150,120.441537
-2.966323,150,120.934527
-13.317042,150,121.449224
-15.011697,150,121.949571
-15.263738,150,122.454408
-12.574091,150,122.950403
-19.98045,150,123.458903
-6.63168,150,123.973384
2.522151,150,124.473042
-14.299373,150,125.652605
-15.559978,150,126.150134
9.794221,150,126.665767
-18.694871,150,127.167099
-19.689273,150,127.672263
-5.878838,150,128.197767
-16.820954,150,128.702162
-30.036762,150,129.218439
-15.091562,150,129.730483
-28.899468,150,130.252386
-18.448394,150,130.776191
-12.093427,150,131.279356
-1.352543,150,131.790572
-20.787405,150,132.304598
-13.360815,150,133.434677
-8.62463,150,133.943886
-11.322288,150,134.445922
-28.456635,150,134.942703
1.459902,150,135.437612
-28.508674,150,135.928353
-17.511443,150,136.431389
-23.86417,150,136.93441
-3.366029,150,137.442119
-17.705198,150,137.951169
-18.237227,150,138.467405
-31.735572,150,138.963857
-14.246723,150,139.468987
2.802896,150,140.618033
-26.453821,150,141.129918
9.209657,150,141.634164
-14.708083,150,142.144552
-13.691954,150,142.642247
-12.925416,150,143.145033
-12.269494,150,143.63131
-7.816251,150,144.129843
-0.801281,150,144.63765
-6.954429,150,145.133072
-13.697252,150,145.633601
-8.257317,150,146.127847
-5.231319,150,146.640147
-26.914334,150,147.768842
-10.386653,150,148.259331
-14.096439,150,148.767874
-6.879,150,149.296697
-14.707421,150,149.817534
-17.193193,150,150.348899
-21.209399,150,150.879142
-19.601256,150,151.406282
-1.681342,150,151.925469
-7.155892,150,152.460205
-17.934207,150,152.993705
-21.263588,150,153.523854
-9.973888,150,154.03284
0.649381,150,154.517911
0.251421,150,155.631353
-14.723186,150,156.126249
-20.568819,150,156.598005
4.565781,150,157.074704
-16.270985,150,157.56295
-28.790034,150,158.062918
-10.003802,150,158.569511
-17.432464,150,159.071042
-3.851301,150,159.558356
-17.400792,150,160.041794
-4.746206,150,160.552589
7.581134,150,161.054916
-20.961603,150,161.558011
-5.091595,150,162.704091
-13.109421,150,163.237044
-25.447983,150,163.745604
-14.629593,150,164.260195
-9.316599,150,164.782794
-13.567088,150,165.309081
-9.308095,150,165.828823
2.834808,150,166.331692
-22.320311,150,166.837681
-13.093217,150,167.360327
-14.329876,150,167.858098
-28.029988,150,168.373239
-14.081652,150,168.87853
-0.985606,150,170.047203
-7.036538,150,170.558743
-3.166825,150,171.066179
-15.707805,150,171.595981
-7.450641,150,172.112949
-2.964938,150,172.62334
-4.725809,150,173.136189
-4.478638,150,173.645946
-15.056557,150,174.166579
-2.766757,150,174.679281
0.270502,150,175.192848
-8.99631,150,175.705688
-1.115955,150,176.221377
-7.28965,150,176.719171
-23.450863,150,177.878177
-14.805103,150,178.366888
-4.741212,150,178.857789
-10.402589,150,179.361455
-30.307254,150,179.855671
-2.531762,150,180.374842
-19.008997,150,180.890831
-18.372608,150,181.412099
-16.285625,150,181.905353
-26.501139,150,182.403472
-31.011156,150,182.922219
0.748092,150,183.454028
-21.185634,150,183.967716
-13.92233,150,185.102257
5.823751,150,185.627351
-14.441999,150,186.138084
-5.609935,150,186.628597
4.352892,150,187.101037
-12.789679,150,187.594985
-26.99229,150,188.086983
-16.67461,150,188.590456
-15.2728,150,189.078642
-0.142554,150,189.563473
-14.995979,150,190.0546
-5.875755,150,190.543084
-9.32244,150,191.041407
-6.528867,150,192.169678
-14.122025,150,192.674459
-22.515175,150,193.1693
-14.83751,150,193.637064
1.151507,150,194.147509
3.146223,150,194.631798
-7.6765,150,195.134054
-20.748529,150,195.641654
-2.650459,150,196.148162
-11.28167,150,196.661257
-18.580033,150,197.168478
4.036546,150,197.6692
-8.413356,150,198.199724
-3.611297,150,198.724848
-27.258242,150,199.893534
-8.359397,150,200.410357
-3.501775,150,200.936792
-7.628558,150,201.464872
-1.231925,150,201.986483
-17.671318,150,202.509332
-1.31106,150,203.024327
-1.100842,150,203.54166
-23.627356,150,204.065761
-37.292132,150,204.587584
-4.767501,150,205.108722
-6.143342,150,205.63319
-27.409332,150,206.161602
0.238884,150,207.379663
