# {"t_start": 1552945736.8931017, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t
-36.140998,150,1.86358
-27.37703,150,2.363366
-20.278213,150,2.891965
4.7207,150,3.367246
-12.459264,150,3.848271
-49.382793,150,4.367935
13.260418,150,4.855913
-35.395986,150,5.35397
-12.998141,150,5.854822
-15.37114,150,6.327819
-17.904952,150,6.809321
-19.146312,150,7.338446
-46.787248,150,7.810629
-12.978049,150,9.02499
-17.580039,150,9.487528
-14.494181,150,9.933408
-14.935984,150,10.402347
-15.862207,150,10.881529
2.793353,150,11.396173
-18.731362,150,11.919505
-33.715306,150,12.395038
-33.294506,150,12.848742
-1.643392,150,13.338432
-10.671598,150,13.82153
-15.59756,150,14.310711
-6.145926,150,14.785788
-2.563396,150,15.852983
-8.803788,150,16.31598
-12.671783,150,16.797554
1.278675,150,17.274736
-26.083448,150,17.763544
-7.86971,150,18.253871
-4.112281,150,18.737532
-19.782491,150,19.217597
-31.22487,150,19.688366
0.104443,150,20.161359
-37.160728,150,20.639272
-47.682815,150,21.119166
-37.704065,150,21.596982
-13.659933,150,22.057463
-27.207907,150,23.128678
-11.758253,150,23.614095
-15.637729,150,24.093214
-36.103172,150,24.570781
-10.180188,150,25.059692
-15.725746,150,25.551528
-1.739032,150,26.061626
-13.836256,150,26.51761
-2.496386,150,26.998341
-41.695163,150,27.487739
-21.13634,150,27.984596
-2.369912,150,28.473261
-24.362462,150,28.955024
2.604663,150,30.050038
-17.699808,150,30.54289
-9.94759,150,31.022197
-10.064394,150,31.506517
-6.941325,150,32.002555
-15.371999,150,32.496892
-41.136413,150,32.982603
-25.327099,150,33.463543
-14.175354,150,33.940153
-25.038839,150,34.407947
-9.475689,150,34.879426
-24.645933,150,35.354095
-34.382252,150,35.827953
-8.928919,150,36.920497
-8.95818,150,37.418825
-14.006319,150,37.903899
-18.686168,150,38.384729
-11.743601,150,38.863935
-7.99919,150,39.342263
3.877685,150,39.83778
-29.071161,150,40.320832
-10.888989,150,40.796908
-32.958825,150,41.289701
-3.033081,150,41.76672
-1.728643,150,42.269375
-34.66222,150,42.759739
-21.563051,150,43.237229
-5.217795,150,44.30071
-39.376489,150,44.780986
-10.952598,150,45.262858
-15.297545,150,45.754852
-19.459996,150,46.245258
-2.563583,150,46.725963
-13.660672,150,47.207467
-19.017331,150,47.698994
-30.929488,150,48.1903
-18.46322,150,48.675021
-37.753017,150,49.162117
-15.601592,150,49.638135
-12.088717,150,50.118811
-14.404509,150,51.190966
-14.472955,150,51.673865
0.731357,150,52.159952
-2.355132,150,52.637291
-4.319517,150,53.112189
-11.543609,150,53.593497
4.956791,150,54.084239
-1.390168,150,54.587211
2.400252,150,55.08621
-9.660271,150,55.559564
-5.392382,150,56.050053
-11.270209,150,56.533468
-11.357223,150,57.027837
-34.707514,150,58.14696
-15.895038,150,58.642238
-20.850091,150,59.117243
-11.800696,150,59.605557
3.897511,150,60.087489
-25.172759,150,60.580028
-15.694584,150,61.06663
-15.849925,150,61.545154
-9.615058,150,62.034661
-14.167886,150,62.522174
-21.714662,150,63.001427
-1.633169,150,63.49276
-7.810638,150,63.974888
-12.638628,150,64.455884
-7.048151,150,65.541611
-0.966667,150,66.022029
-28.475695,150,66.51204
-22.67305,150,67.009735
-18.376792,150,67.506404
-5.369855,150,68.000443
-17.239178,150,68.48131
-23.340771,150,68.954235
-6.481342,150,69.429894
0.830319,150,69.915273
-8.389745,150,70.417785
-13.087059,150,70.902451
-16.075743,150,71.402521
1.455179,150,72.500036
1.343159,150,72.990077
-12.476114,150,73.484802
-4.621755,150,73.963902
-16.712854,150,74.446288
3.232692,150,74.940156
-13.191795,150,75.433507
4.269045,150,75.935654
-4.702245,150,76.405719
-12.929997,150,76.883638
-6.003398,150,77.368738
-14.883284,150,77.836659
-25.184343,150,78.327273
-25.322143,150,79.427886
-6.107263,150,79.920873
6.580385,150,80.420957
-14.566118,150,80.909269
-0.299088,150,81.406427
-10.50428,150,81.890716
-18.932245,150,82.395028
-3.564383,150,82.903192
-20.50367,150,83.380945
-21.202685,150,83.854288
-18.040736,150,84.346141
-32.056696,150,84.834072
-11.597228,150,85.324587
-12.718871,150,85.81279
1.094844,150,86.900774
-13.942268,150,87.398228
-4.224068,150,87.863211
-22.704701,150,88.337703
-9.166873,150,88.817789
-11.933279,150,89.30141
-3.513111,150,89.782688
-32.106611,150,90.28725
-31.04186,150,90.769583
-29.02299,150,91.255884
-16.785387,150,91.74408
-6.548863,150,92.233473
-12.348239,150,92.712652
-12.497204,150,93.827104
4.680213,150,94.331426
1.788385,150,94.830766
-14.85534,150,95.319333
-20.005302,150,95.798017
-21.422529,150,96.289732
3.076857,150,96.773054
-29.331874,150,97.250131
-7.358762,150,97.73296
-28.316188,150,98.213906
-17.381829,150,98.694432
-24.324196,150,99.166063
-13.152129,150,99.64871
-14.653974,150,100.785069
-21.64716,150,101.263956
-1.461257,150,101.756763
-19.708328,150,102.23748
-19.530156,150,102.705578
-15.558862,150,103.182945
4.73688,150,103.665509
-10.183627,150,104.152465
-28.848544,150,104.625288
11.910004,150,105.104135
-9.86599,150,105.587511
-10.013023,150,106.076639
-5.584586,150,106.574555
-24.657021,150,107.06334
0.280946,150,108.150266
-10.644047,150,108.65441
-10.082611,150,109.140223
-14.912697,150,109.629907
6.057512,150,110.119248
-2.74169,150,110.60098
-12.536848,150,111.0898
-32.505043,150,111.574736
1.330682,150,112.062142
-10.922495,150,112.542086
0.606827,150,113.025117
-20.574263,150,113.529487
-24.930157,150,114.006907
-8.568483,150,115.079107
-28.056611,150,115.572864
5.011395,150,116.068153
-9.555462,150,116.549746
-3.899726,150,117.033794
-5.542226,150,117.515532
-5.242596,150,118.017183
-12.093129,150,118.509643
-3.614952,150,118.993249
-3.810952,150,119.476344
-10.232956,150,119.954704
-1.811968,150,120.436181
-7.346368,150,120.909619
-22.998829,150,121.984184
-17.627238,150,122.464745
-9.016676,150,122.955767
-15.603983,150,123.43453
-25.849913,150,123.906095
-27.70241,150,124.390734
-27.771524,150,124.864939
-18.745515,150,125.338486
1.643588,150,125.833032
-6.450086,150,126.340536
-16.76368,150,126.827573
-8.964138,150,127.301844
-3.736479,150,127.786925
-1.836613,150,128.27313
-23.506475,150,129.339894
-17.944138,150,129.815804
6.988873,150,130.29734
-26.56133,150,130.777286
-22.53169,150,131.267887
-14.930839,150,131.749595
2.609603,150,132.237327
-20.125213,150,132.712476
-19.947036,150,133.188231
-7.773479,150,133.658764
-3.778842,150,134.140671
-27.667021,150,134.625127
-13.403284,150,135.107438
-11.536332,150,136.178746
-15.673014,150,136.653775
-1.865603,150,137.138741
-17.103317,150,137.639308
-14.465503,150,138.13286
-20.364486,150,138.635302
-7.403073,150,139.114321
-12.535998,150,139.615514
-17.889816,150,140.099211
-20.073584,150,140.583133
-21.545259,150,141.067255
0.912238,150,141.552212
-18.126943,150,142.044244
-0.647348,150,143.126588
-15.50897,150,143.610459
-10.851983,150,144.084195
-18.077156,150,144.562099
-7.445235,150,145.048283
-18.796072,150,145.521225
-16.586567,150,146.001356
-0.411335,150,146.471805
7.210281,150,146.959962
-14.707049,150,147.45075
-9.334759,150,147.94817
-3.623341,150,148.429512
-15.543622,150,148.913139
-5.454093,150,149.403215
-19.989867,150,150.524219
-13.336463,150,151.000287
-3.699076,150,151.4772
-5.609041,150,151.964258
-14.956254,150,152.454898
-14.031339,150,152.935275
1.646851,150,153.417971
-8.379259,150,153.889159
-9.979545,150,154.36689
-10.911326,150,154.845166
-21.621181,150,155.320436
-5.345791,150,155.796029
-28.581112,150,156.274704
-14.717593,150,157.341464
-17.399428,150,157.817487
6.868931,150,158.29645
-13.764273,150,158.764256
-17.409152,150,159.248527
4.057919,150,159.72291
-18.460135,150,160.201755
7.682819,150,160.684999
6.072423,150,161.162493
-12.501788,150,161.635375
-24.147356,150,162.105078
-22.468352,150,162.588132
-16.959871,150,163.066245
-14.977863,150,164.15177
-3.826605,150,164.628479
-8.304312,150,165.108413
-7.304705,150,165.585238
6.776705,150,166.072842
-12.716668,150,166.549919
-12.655951,150,167.010067
-18.80445,150,167.469603
-11.390878,150,167.950274
-18.97235,150,168.454114
-28.020308,150,168.966637
-1.272554,150,169.470272
5.796867,150,169.976285
3.991948,150,170.497101
-21.654413,150,171.696845
1.394036,150,172.218886
-17.02116,150,172.719282
-11.388563,150,173.219256
-16.505627,150,173.696905
-18.197764,150,174.178831
-9.951697,150,174.647871
-10.631828,150,175.129967
-13.611858,150,175.611514
6.173094,150,176.096322
-33.929913,150,176.576042
-18.402216,150,177.053182
2.095,150,177.527971
-12.913376,150,178.606902
-17.261972,150,179.083702
-22.748268,150,179.551308
-8.572367,150,180.027581
-8.375219,150,180.517379
-5.764355,150,181.00176
-2.492836,150,181.47632
-22.541752,150,181.953156
0.893273,150,182.432453
-14.519925,150,182.909945
-8.491772,150,183.389137
-12.815445,150,183.866718
-15.145303,150,184.361356
-26.30868,150,185.431121
-17.351239,150,185.927822
-14.484118,150,186.408437
-28.241809,150,186.885902
-5.604428,150,187.377948
-14.401178,150,187.868808
5.86303,150,188.361053
-17.659971,150,188.846044
-12.276184,150,189.317915
-7.417747,150,189.790523
6.861608,150,190.270881
-9.826158,150,190.747432
-3.682162,150,191.216484
-13.942015,150,191.685731
-15.126755,150,192.760713
-9.517224,150,193.247196
-31.308769,150,193.724689
3.64768,150,194.200713
4.405568,150,194.682477
-30.588236,150,195.156236
-4.510579,150,195.640351
1.560068,150,196.125255
-12.570065,150,196.604552
-8.289165,150,197.09238
-1.110468,150,197.560249
-14.416874,150,198.048152
-3.23595,150,198.535342
-31.537779,150,199.608383
4.822231,150,200.091199
-33.365696,150,200.563246
5.224151,150,201.035987
-8.338205,150,201.521508
-15.371852,150,202.005124
3.648936,150,202.49462
-7.201633,150,202.976271
-27.296374,150,203.453907
-4.030056,150,203.94084
-28.416514,150,204.41648
-8.624722,150,204.897265
-2.903614,150,205.392693
-20.227779,150,206.528317
-24.927836,150,207.017074
-4.264282,150,207.505826
-18.120208,150,207.971124
-17.245516,150,208.453171
-19.278377,150,208.921619
-8.498969,150,209.396603
-4.013084,150,209.886623
-20.690963,150,210.362519
-10.149124,150,210.840287
-11.433999,150,211.33122
-3.833827,150,211.81723
-2.226564,150,212.303216
-12.503428,150,212.788312
-8.930127,150,213.861813
-10.41688,150,214.353082
-4.133011,150,214.835606
-29.710648,150,215.31683
-19.179539,150,215.796337
-4.583352,150,216.283255
-15.848307,150,216.778173
-20.99609,150,217.25914
-31.391306,150,217.733524
-7.95561,150,218.223688
6.837253,150,218.716857
-22.416429,150,219.192896
-11.932557,150,219.675905
-12.118085,150,220.749932
-6.118028,150,221.215927
-18.99098,150,221.693678
-19.993244,150,222.181476
5.816031,150,222.658642
